,value,err_upper,err_lower,units
PERIOD,15.345965217820947,0.006001787137611458,-0.005953743351440721,days
T0,1942.941978782064,0.008699176541995257,-0.008149597851115686,days
ROR,0.031091680017872367,0.0011670036535699202,-0.0010036733462740512,
IMPACT,0.34855242518723173,0.23902919831093317,-0.22388742384741916,
DUR14,0.29997709471429884,0.008436701001710734,-0.006404999620737206,days
ECC,0.1755970408440023,0.3465462663003429,-0.12812010451310407,
OMEGA,88.00168406555893,133.02234504827427,-129.1133671596338,deg
R_PL,5.921509300173458,0.24186762793125194,-0.21677273569461697,R_earth
