,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
1570,4.633846662921376e-06,-7.384967794482061,1694.307194450213,1727.3864330049607,1876.2307973968248,1892.7597117751468,1909.3311647177788,1925.8464866146942,2421.9706292724786,2438.509779927351,2620.442026039087,-3.7701221344163116,0.023049248008855897,0.08501348221832461,0.16282023353221597,0.31287207971494113,-2.044507339344229,0.12944394621041333,16.53784128727947,1694.3143877338314,0
1571,-2.010272493811103e-07,-7.382497194817069,1694.309307244518,1727.3864376266167,1876.230179508678,1892.7569722568064,1909.3309413233349,1925.846993375833,2421.9738172704247,2438.51735600511,2620.439724779547,-3.758283749241026,0.023323735422935775,0.3253671492034538,0.22437980438348304,0.3142287966360111,-2.0706632811190553,0.12610211280960731,16.537885907462012,1694.3142450689834,0
1572,-4.154559354392173e-06,-7.3912114155810436,1694.3096673709902,1727.3872191457162,1876.230342012608,1892.7535889761841,1909.3288297241352,1925.8467143992475,2421.97340761413,2438.519729312247,2620.4378855618547,-3.757735536270505,0.02333652530268429,0.47028004452764527,0.24548206766250802,0.338478438199205,-2.0746506322295803,0.1256003005257979,16.537889500945305,1694.3136836034323,0
1573,-5.7892422044389754e-06,-7.4015878442641,1694.3154915000052,1727.3831956819265,1876.2279655918837,1892.7567459974234,1909.3266789682814,1925.8459680016053,2421.9752929859537,2438.517284889842,2620.4394754015734,-3.71337402700597,0.02439507461730472,0.768228058209001,0.29272729993664814,0.18981317381539586,-2.0553835611333002,0.12804371356559976,16.5378929018413,1694.3136885950835,0
1574,4.10635137235145e-06,-7.4049216402378155,1694.3133696382697,1727.3869519308435,1876.227770309537,1892.7579669815132,1909.3314192367318,1925.842159257644,2421.975296977283,2438.5190581878783,2620.437394111903,-3.7013365714170527,0.024690503785035074,0.7247431846141882,0.23234754855305817,0.23203122023572997,-2.031487141759125,0.1311403517687736,16.53786943716711,1694.3145675010758,0
1575,-8.083470864537945e-06,-7.419275352174182,1694.3184023955064,1727.3847271974469,1876.228226895588,1892.7521955755387,1909.3321200892788,1925.8429819833962,2421.9785225293926,2438.5217023864952,2620.442057225343,-3.7275269393325265,0.02405224500627935,0.7354368621060455,0.28248971863117256,0.19931307572063184,-2.0200095881767535,0.13265419316217292,16.537946936552135,1694.3139321974681,0
1576,9.572513902653699e-06,-7.419025527998446,1694.3110715176833,1727.3899270640813,1876.2345123379964,1892.7593490983488,1909.3348670636592,1925.841266793753,2421.9799192687296,2438.520117267503,2620.440901049163,-3.7641448482711892,0.023187432532433282,0.4481003459696459,0.28027469647075276,0.3230322447998575,-2.0494656991710367,0.12880370513223202,16.537906510511238,1694.3160387655785,0
1577,7.703814249952696e-06,-7.411966802323384,1694.3067989416784,1727.3827875744203,1876.2311599076115,1892.7610516193015,1909.3340007800039,1925.8392460453633,2421.9805255574347,2438.5115033505913,2620.442891643004,-3.7879898590809917,0.022641067876241764,0.3070413344743719,0.3679500273230616,0.4912918472262686,-2.042952751038727,0.12964533475298795,16.537953618889766,1694.3125669442356,0
1578,1.8577824675025756e-05,-7.407220100967117,1694.3080043623008,1727.3885643724527,1876.2302879429214,1892.7511362104922,1909.332824000076,1925.846311380032,2421.9806601028827,2438.506575632034,2620.44097304879,-3.7812177806509024,0.02279491530911492,0.43006489406709664,0.31668532441296793,0.4402884193394261,-2.030900623684325,0.13121729051619904,16.537878926446012,1694.3136876157914,0
1579,2.0315477882764344e-05,-7.389757898552339,1694.3053498807053,1727.3847477126408,1876.2298060071112,1892.759460296512,1909.3288249291884,1925.844473582132,2421.9787166792585,2438.514523874905,2620.4391754851913,-3.7280785634133484,0.024038980867481588,0.45128144949140636,0.30316082078570217,0.4066558531644686,-2.064933293718562,0.12682675042673694,16.537933445508376,1694.312465520277,0
1580,2.0125168517870154e-05,-7.386628328486273,1694.3054982303354,1727.387303896562,1876.2300970821084,1892.759388370377,1909.3273278038812,1925.8466708622466,2421.979117855233,2438.510256834386,2620.43913776918,-3.741581342571127,0.023716569441416896,0.3802656952671491,0.28989805149075343,0.43129887481773754,-2.0550444868693156,0.1280871372550466,16.537889102583073,1694.3134050550493,0
1581,-2.1595897956509863e-06,-7.390362387468273,1694.3046755387977,1727.3850257264885,1876.2249020391466,1892.7525619303756,1909.3386445215126,1925.842305890089,2421.979354739349,2438.512446588684,2620.438571740174,-3.7673972070039627,0.02311214118734596,0.531187659835722,0.25406477959783635,0.27533184294589064,-2.0636276606727617,0.12699244776961038,16.53793524959599,1694.3116938382454,0
1582,3.040722954258577e-06,-7.3960916060853785,1694.3026308309863,1727.3846416836034,1876.223410803582,1892.7527776246325,1909.3339079183681,1925.840461280032,2421.978789650847,2438.509938769505,2620.4402921117257,-3.7607259594770253,0.02326684345689221,0.5218754767008482,0.1829149363987692,0.2247731966463271,-2.064288101702818,0.1269086044364323,16.537967828927886,1694.3096875971653,0
1583,7.3892416959185095e-06,-7.415713094053701,1694.3114960250225,1727.3873516022047,1876.2313382333507,1892.7608603517624,1909.3360566104307,1925.8475981899091,2421.98232298621,2438.509500680515,2620.437938437115,-3.7326114879142405,0.023930260578721156,0.37905404698263234,0.3901965017049662,0.13718917418435583,-2.0803358154660825,0.12488826574467336,16.537821031647074,1694.3170799868938,0
1584,6.966960166545185e-06,-7.415490188517092,1694.3152308668402,1727.3840294896213,1876.228511755643,1892.757566233226,1909.3352086895197,1925.842705664872,2421.979906396242,2438.510867073269,2620.4390280837533,-3.7439349435705314,0.023660815736601833,0.563579607662747,0.13366445337290322,0.2909849934011344,-2.071265599115614,0.12602618210716787,16.53785294904832,1694.3151136989409,0
1585,7.469856783376968e-06,-7.4050907931057965,1694.3130615272237,1727.3836237374662,1876.2281796639547,1892.7589040072307,1909.335738718456,1925.8449563393463,2421.9799335774755,2438.5114942040755,2620.4384581928025,-3.728992515742972,0.024017020421844844,0.5209085868095855,0.16714882133969078,0.20140390953737852,-2.0664415246861596,0.1266356105719807,16.537858544374572,1694.3151351918043,0
