,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
0,8.31851660424291e-06,-7.288044782518296,1852.703925992699,1866.4233932018137,2017.4173515134426,2031.1437878521538,-3.522411583907976,0.029528139648472597,0.6837991331434592,0.419448735426452,0.39829054039180045,-1.6821390161693546,0.18597574515410464,13.726385329657983,1852.70060999725,0
1,2.694052075971987e-05,-7.302653983785058,1852.7114182884732,1866.4226295864319,2017.417564484348,2031.1502256448657,-3.557014998936456,0.028523841460614985,0.6400844714204069,0.42934113867735646,0.1467359712998726,-1.632510405750989,0.19543832826843802,13.726375101759261,1852.7040213395949,0
2,1.1217188098396298e-05,-7.265259862947875,1852.703500934712,1866.423686774444,2017.414595429941,2031.1424294397227,-3.611353382306991,0.027015260138929326,0.26778202140051804,0.30186127153684716,0.5310926214676084,-1.6644882018189862,0.18928751019888213,13.72622781301932,1852.700572360079,0
3,2.648170142856582e-05,-7.309902430213166,1852.7086134953784,1866.4206631059071,2017.4164612301136,2031.1426932096836,-3.5878799768354988,0.027656901587223,0.2661713955174055,0.4154200649034081,0.07402883152788342,-1.6637879463208531,0.1894201062387615,13.726195916042167,1852.7018343059967,0
4,-3.211028889520301e-06,-7.267580166029094,1852.7030791181032,1866.4213931150653,2017.4130324294501,2031.1431157212342,-3.6499256149588772,0.025993062201846363,0.20446764694749764,0.3833671293648009,0.43022828642075095,-1.6395977089505105,0.19405809442446983,13.726305201030808,1852.6991712892636,0
5,3.357413259231654e-05,-7.305677753646286,1852.7120154200793,1866.4231259906664,2017.412784673782,2031.14358535777,-3.5651036803775162,0.028294051794134953,0.15596232359234335,0.3830646629383747,0.20991077904649624,-1.6654093818413085,0.18911322261345734,13.725850533462955,1852.7048493930652,0
6,9.29021090914651e-06,-7.2707206955144885,1852.704475864173,1866.423275904003,2017.4167027705428,2031.1389723644118,-3.631262701798039,0.026482723505181462,0.09501563356991623,0.3488865542967674,0.23688442665862675,-1.6928057310877236,0.18400253743001463,13.726124655293223,1852.7010464663765,0
7,1.7008962916427296e-05,-7.28058365034518,1852.7071588672038,1866.4249017255563,2017.4162238731394,2031.1392877821845,-3.568202813748603,0.028206500490674403,0.1021556662929777,0.35966516136513227,0.15857550483031613,-1.6921523663151863,0.18412279748859367,13.725938687993642,1852.7032915900627,0
8,1.0587195366241131e-05,-7.271373492870151,1852.7030643192957,1866.4223447625018,2017.4119013594886,2031.141834031012,-3.640634661889129,0.026235687889520097,0.09205839450233652,0.3606737265493105,0.4218741009203646,-1.665636742046093,0.1890702306799491,13.726169409721303,1852.6996849548866,0
9,1.240713151424697e-05,-7.275311014786697,1852.7031223658441,1866.4239384638172,2017.4125397586122,2031.1437792654358,-3.6019708988456802,0.02726992318812541,0.12168875129741956,0.3127134837507781,0.4056964107860326,-1.6733494569540475,0.18761759497660263,13.726217772198012,1852.7004294441404,0
