,15th,50th,85th
MEAN,2.731266019882715e-05,3.191297033371914e-05,3.662340177207192e-05
LN_SIGLC,-7.600545066249324,-7.594655208196757,-7.588816744774671
T0,2013.2796216874256,2013.280217553418,2013.2807993499164
LN_PER,2.3283613354133843,2.3283624984009466,2.32836359619639
LN_ROR,-3.1951572689550596,-3.1845933085969764,-3.1729875105883067
ROR,0.04096008312005326,0.04139507740021119,0.04187829896910524
IMPACT,0.16320158471242274,0.374841546991642,0.5071274522479507
PERIOD,10.261113225971014,10.26112515952501,10.261136424147635
LD_U1,0.1736456271563469,0.23098032900904442,0.2873885856580003
LD_U2,0.1691083076288986,0.25351016281149286,0.3367172680280893
LN_DUR14,-1.1722737103039231,-1.1673749961373936,-1.1608281771782722
DUR14,0.3096620584065151,0.3111827259356586,0.313226666258772
ECC,0.16356741542926437,0.2887258530137395,0.603608368187109
OMEGA,8.139555291962887,90.17410739237022,171.16124147466874
