,value,err_upper,err_lower,units
PERIOD,4.360156101571409,1.1306599301263986e-06,-1.1408356135333975e-06,days
T0,1687.1211572378727,0.00016398527623096015,-0.00016262730014204863,days
ROR,0.0720103241998879,0.0005398438039024844,-0.0005896827947826644,
IMPACT,0.603908764836179,0.02794178285147264,-0.03372741724854611,
DUR14,0.09640842375421738,0.0005457479876668642,-0.0005474327492722003,days
ECC,0.10507775498798999,0.2991579116216745,-0.07849606929788666,
OMEGA,86.68737251640417,108.4282734375208,-102.63484315699174,deg
R_PL,6.820088706704296,0.11801445130508892,-0.11807230698461169,R_earth
