,MEAN,LN_SIGLC,TTS,TTS_1,TTS_2,TTS_3,LN_ROR,ROR,IMPACT,LD_U1,LD_U2,LN_DUR14,DUR14,PERIOD,T0,ECC,OMEGA
7034,-5.252540550116963e-06,-7.169537591828508,1393.0861408464486,1403.8401054600824,2124.159498510285,2134.9096518259325,-3.736618324389216,0.023834567778506687,0.056119782030465415,0.346743319657582,0.22943536557598487,-1.976644699538457,0.13853327915111718,10.751050982913286,1393.0875902501787,0.22426112906147708,89.22559219405535
7035,-1.1844035834995692e-05,-7.206900401556803,1393.0879677505009,1403.8351716829454,2124.1540608691885,2134.9099355377775,-3.759113467172691,0.0233043913276031,0.008540248441893192,0.21356197245389708,0.21365632185159678,-2.1356544144363085,0.11816723472376622,10.75103582192435,1393.0860481037132,0.3810459939051265,49.47022556293432
7036,-3.355244724212417e-06,-7.209066579905549,1393.094251078883,1403.8344860826141,2124.1513761965857,2134.9031703752808,-3.6809796341546175,0.025198277646677404,0.19170417762481298,0.32691606138991713,0.2674744952013033,-2.1173161195647556,0.12035421174460693,10.75092400746892,1393.088942675663,0.7794599510706807,-9.214779536749127
7037,-2.6674387890964654e-05,-7.18117095834351,1393.0857060072349,1403.8429737557894,2124.1515651263244,2134.903833590665,-3.7241198172653993,0.024134333704701715,0.6717271663009693,0.49508626500601305,0.21211890332552286,-2.055495101960196,0.12802943226039898,10.750932586495406,1393.088845385912,0.8930373842446477,218.52234079024993
7038,-3.5078515696260806e-05,-7.208039793052161,1393.0856942313146,1403.8342852009507,2124.161219736975,2134.901028922809,-3.7116846071936545,0.02443632297276987,0.6257004081502978,0.36090592520396725,0.23115227183309828,-2.0950344062308983,0.1230660093435916,10.751044617040737,1393.084517735107,0.03015048636936358,82.03493952469135
7039,4.575526220386925e-05,-7.202189698250026,1393.077740199189,1403.8321903179974,2124.153685609579,2134.902396537725,-3.6863474649589687,0.02506337993366597,0.11732566573994996,0.3074318132924585,0.2700961534004298,-2.0818419473252305,0.12470030912805635,10.751074753718376,1393.0794241628384,0.28240867633979033,76.72302827259422
7040,-4.697288625691042e-05,-7.193043241058452,1393.0761955761463,1403.8371074363663,2124.1753230184145,2134.899776160607,-3.7889202624990346,0.022620012345889166,0.5481454507867148,0.3393607780550725,0.29071024695731373,-2.1233442360883052,0.11963088487181177,10.751187838305405,1393.0811201263473,0.16070284155103476,99.20404210925857
7041,2.662285075708153e-07,-7.208630908244061,1393.0887507689026,1403.8383040456708,2124.161882834701,2134.9099836121736,-3.7290373319988306,0.024015944093031358,0.6503445885347094,0.34719651506918114,0.0851603639770202,-2.1378476389237546,0.11790835144929883,10.75106430757305,1393.0880117040917,0.12210100861649474,130.21964370908114
7042,1.308425362719198e-06,-7.205198833269429,1393.0816078885846,1403.8336275198192,2124.154523617112,2134.9043121467416,-3.6110568420282902,0.02702327243962633,0.9023528162277242,0.29346327307323095,0.14094303978057776,-1.9455220046905075,0.14291260281465382,10.751055852143937,1393.0820908940987,0.5398436826170818,-79.97381283349577
7043,-2.2341501301061512e-05,-7.194341751641892,1393.0849971270857,1403.840567250362,2124.159482248488,2134.913004846115,-3.7763907173389866,0.022905213803241165,0.6647771863626388,0.27166376625401334,0.2816784429291086,-2.066730023889463,0.12659908156876837,10.751081063512158,1393.0872161768434,0.0026945429723681602,40.472199266889476
7044,3.6478209372572024e-07,-7.197573294115726,1393.0894693809155,1403.8437893564962,2124.1647375168172,2134.9041062811793,-3.627548255397952,0.026581275081132463,0.8460039796100095,0.227027691569319,0.2275507799053842,-2.182986957488123,0.11270438416579398,10.750996051119968,1393.0911618702137,0.326870312128501,-41.14763116800208
7045,-9.464586923979337e-06,-7.218294648579987,1393.0885806810847,1403.8324407354041,2124.151677833091,2134.9071646515154,-3.628888655457699,0.02654566940668062,0.8099374723112197,0.3335693177978958,0.1759695187728747,-2.0634197993780834,0.12701884732784627,10.751013100486997,1393.0850140084724,0.28870951525859356,-55.98209501374647
7046,-2.2341632807051034e-05,-7.2150251988173535,1393.0846722462843,1403.832380590958,2124.1577450674017,2134.9064813962123,-3.606958380144188,0.027134253562305043,0.7423501355652171,0.4529040130728921,0.30243091940696853,-2.1223649014453905,0.1197481009292337,10.751081540677495,1393.083006671841,0.13455908134449454,-7.704593773581809
7047,9.979193111338309e-06,-7.210306411804759,1393.0976131281145,1403.833537571397,2124.1564954720243,2134.907727099431,-3.701923650821442,0.02467601275288836,0.7121561680148151,0.3876920506447965,0.27215524841198624,-2.066890302951748,0.12657879201272734,10.75097686955275,1393.0901413181723,0.05619951384004947,-58.63128277078727
7048,-1.000055343184315e-05,-7.2068811473824566,1393.0866648364329,1403.838207384002,2124.1501703919466,2134.9036212572164,-3.706369600836563,0.02456654795144535,0.14694900397067925,0.3606983060650877,0.2409417750890872,-2.1099882992661394,0.12123938501485991,10.750948271845008,1393.0869505887467,0.816690785792587,-15.315382813668174
7049,-5.105381304328287e-06,-7.2063262701393835,1393.0864068457643,1403.8322823192013,2124.15240123747,2134.905663040856,-3.757889923416592,0.023332922721246513,0.26695257407431594,0.4425499024500976,0.24985123879421978,-2.030275108278406,0.13129939462895654,10.751024502160575,1393.083843036283,0.9431498507630837,-38.30645246709694
7050,-1.540405156697788e-05,-7.200152669338399,1393.0905852932785,1403.8385345544325,2124.1517656032725,2134.906487924805,-3.728879194064253,0.024019742225133624,0.086323344579674,0.286941920247753,0.22499829698351115,-2.0986150058417614,0.12262614719349194,10.750949595875415,1393.089082286245,0.7014590794105422,-2.195821412651251
7051,-3.4743846534664423e-06,-7.214292029117979,1393.0862369135134,1403.8342510006248,2124.16708802242,2134.89763146583,-3.7272665034097217,0.024058509890668153,0.6259257373578021,0.25201517863410494,0.34210889925637344,-2.0724193986752333,0.12588085700789192,10.751057978872455,1393.0848015794973,0.22023560898007483,164.9108885322276
7052,-2.778206368006633e-05,-7.206954708676811,1393.0826673005784,1403.8418261418337,2124.154453030204,2134.908104203452,-3.6858125958898063,0.025076789146127966,0.6925153780030718,0.1937531795866001,0.10828494501756225,-2.050613476014926,0.12865595203208832,10.751016340304757,1393.0866989285032,0.14196578147185607,186.83432885188736
