,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
3857,-1.7968075305107424e-05,-7.215910174906139,1393.0882639068823,1403.8335070501125,2124.156132515917,2134.907019602104,-3.710975981355291,0.02445364531942931,0.027203153325469697,0.19047316976377404,0.11652309695583041,-2.1884972342760984,0.1120850597054738,10.751038924235592,1393.085387882626,0
3858,-1.673876620981553e-05,-7.219133550506052,1393.0823178423145,1403.8348888195458,2124.148836619094,2134.9089377947216,-3.7282176387838795,0.024035637869779965,0.013875535162531183,0.2897251936132541,0.2026628749333359,-2.113479274414541,0.1208168792424278,10.751034732895759,1393.0830469840153,0
3859,6.83938370803967e-06,-7.205473584587646,1393.0928169446456,1403.8375411532213,2124.156156892934,2134.9000846060367,-3.716773289180657,0.024312290145685377,0.8224806212881063,0.3555625701287086,0.31872512828306965,-2.004301477142657,0.13475439185035717,10.750924186291531,1393.0897654721516,0
3860,-2.0331600974514828e-05,-7.222295703631525,1393.0947817974668,1403.8366425622603,2124.151787970932,2134.900062108878,-3.7448457336186842,0.023639275511897942,0.1615316083604983,0.17933510295447785,0.16406589185009146,-2.0499789922250375,0.12873760805009588,10.750884225283082,1393.090312837618,0
3861,-1.858310656829169e-05,-7.2360749544552405,1393.0884948786484,1403.8327092446116,2124.160185003315,2134.9032015779953,-3.737507011903066,0.023813395704796105,0.14657977768198488,0.3932596102000381,0.2107799975231175,-2.061050113062907,0.12732019906565528,10.751043852766259,1393.0851347557068,0
3862,-2.036945490658624e-06,-7.221908993352331,1393.091657845533,1403.833086622633,2124.1643597514853,2134.90470263595,-3.7448412783021805,0.023639380832586886,0.08011538215760744,0.39703614203958093,0.16458188325332146,-2.093015977732182,0.12331466014158438,10.751058961099675,1393.0869175559612,0
3863,-2.4123900373994826e-05,-7.185725089009578,1393.0867634262602,1403.8400829290583,2124.152230306515,2134.9056791475864,-3.7113890507263028,0.024443546353468626,0.19333741816028452,0.23832828978426757,0.3671087067457659,-2.119947039502174,0.12003798561459378,10.7509642226012,1393.0879232726138,0
3864,-8.025156617489753e-06,-7.227437342384797,1393.0917339513412,1403.8438566865548,2124.1537316942204,2134.9090234859914,-3.7544759275209394,0.02341271735542425,0.6079895275861912,0.4713787723677678,0.09261596095048019,-2.021672663167974,0.13243376263809623,10.750935632800482,1393.0923071229104,0
3865,-7.750188791312079e-06,-7.222456851523136,1393.0940059386014,1403.8343004315361,2124.152796343382,2134.9162334086727,-3.7593100974418445,0.0232998094293486,0.2692029081912067,0.2703081747562832,0.05883761150308531,-2.0581061976580552,0.12769557122186886,10.751034910435518,1393.0886296205226,0
3866,-1.1210909128904004e-05,-7.211446431647289,1393.0913416949024,1403.8316492260865,2124.155049106407,2134.915643561429,-3.7252056466979293,0.024108142157180615,0.5245863743301522,0.2520240458728844,0.10619781149756835,-2.0648022195434863,0.1268433752279439,10.751085904948287,1393.0859571764904,0
3867,2.5902054788515717e-06,-7.205123360631569,1393.0894705709507,1403.8372019989972,2124.1514849813093,2134.8895317216243,-3.6948991641392217,0.024849959303195224,0.3789203032191288,0.3536713686948254,0.29814588992585267,-2.1140952702419162,0.12074247946626641,10.750839046401236,1393.0879752173782,0
3868,-7.688999075959673e-06,-7.191507832484521,1393.0879314418532,1403.8359517467088,2124.1547543167553,2134.891812625254,-3.772271382205709,0.022999762660711978,0.6129526529742417,0.3470518270035343,0.22412494374859282,-2.1184873199266647,0.12021333536159322,10.750900278253807,1393.0865529328862,0
3869,-3.0196066276463484e-05,-7.207839386425467,1393.0849315292307,1403.8430303903806,2124.159349341648,2134.8811165803018,-3.734974277685398,0.02387378514986157,0.6335215501632813,0.2702108889657562,0.3129702460367936,-2.1192381452661873,0.12012311001923048,10.750824879811768,1393.0886486068844,0
3870,-1.790049977143453e-06,-7.182661853366785,1393.0926706883142,1403.8381672028513,2124.164143462329,2134.9064768609805,-3.6657483604373,0.025585017302828757,0.533096191106722,0.44121467214780674,0.12687407876303802,-2.199750887747673,0.11083076422501502,10.751026274086373,1393.0899580976386,0
3871,-3.138140147080356e-05,-7.206355765078114,1393.088800429429,1403.8412624008172,2124.151482719867,2134.908448743372,-3.7768113704893853,0.022895580679138324,0.5111527869130981,0.31501839378837704,0.19168185328976084,-2.0943409394323447,0.12315138113293135,10.750955729193343,1393.089525916201,0
3872,7.196172481555218e-06,-7.201010099421871,1393.0856565436115,1403.82987555195,2124.1533211411333,2134.909447657353,-3.6144320892370447,0.026932215970245282,0.7515260099937571,0.27202885455676573,0.29384481417323793,-2.072297490713867,0.12589620382197517,10.751082426089013,1393.0822315234414,0
3873,-1.2437212300151576e-05,-7.190357903580589,1393.0874938474715,1403.838797441903,2124.1558385253743,2134.9127217756486,-3.849308437269638,0.021294457800795953,0.35309291845616037,0.3331189862733672,0.3497837299689446,-2.010331315416623,0.1339442895083843,10.751046754555317,1393.087599865441,0
3874,-1.3541067221421625e-05,-7.199557033068688,1393.0892633582396,1403.8401005409348,2124.1536829380966,2134.913570182098,-3.8032036017712376,0.022299219485669198,0.5766661633842076,0.3560911606697823,0.3786645469634582,-1.9625541850797137,0.14049910152344433,10.751014831508755,1393.08914256779,0
3875,-3.197930434577402e-05,-7.2210077398632615,1393.087350193658,1403.8463416718373,2124.1535260600626,2134.912278921729,-3.730764922017276,0.023974490205703837,0.6722681272047503,0.4142450359214387,0.3628220517575804,-1.9302250132961152,0.14511554188328019,10.750973128243016,1393.0913012874375,0
3876,-2.093453556674586e-05,-7.2074368815862675,1393.0828705386273,1403.8410313194197,2124.162015049607,2134.904227209327,-3.807303858911856,0.02220797414425971,0.22626392149151478,0.4193659332418387,0.406561911384717,-2.1346125565720513,0.11829041234220385,10.751046434616311,1393.0864340349826,0
3877,-2.913744104140961e-05,-7.205556112453126,1393.0912369296184,1403.8402085361417,2124.1512156508315,2134.9115317526926,-3.668098509847554,0.02552495928979783,0.8677397547640936,0.43342697268829244,0.18574335769991057,-1.936642724688307,0.14418721427254508,10.750966250754187,1393.0902125663013,0
