,value,err_upper,err_lower,units
TTS_0_0,1748.6934592713803,0.0007744817874026921,-0.0007961310743667127,days
TTS_0_1,1937.8223224662593,0.0007627224968018709,-0.0007367354719463037,days
TTS_0_2,2673.36485132124,0.0006546688100570464,-0.0007107222022568749,days
PERIOD,21.015326661576452,2.1765379624838488e-05,-2.1292397271110985e-05,days
T0,1748.6894395974489,0.0006010205765960563,-0.0006077237392219104,days
ROR,0.042024506863455505,0.0005368474495496614,-0.0004843255150864395,
IMPACT,0.229038799433617,0.1631212656799717,-0.15259530640907465,
DUR14,0.1743809210862902,0.001421107269004046,-0.0012612169038138388,days
ECC,0.11994823622441608,0.30020351974334425,-0.0879350407685553,
OMEGA,90.39452041368781,114.37382172865493,-114.92813659159175,deg
R_PL,3.6496926847000495,0.1251780776547311,-0.12189257599097258,R_earth
