,value,err_upper,err_lower,units
TTS_0_0,1938.2930744396524,0.0013325242448445351,-0.0013236090294412861,days
TTS_0_1,2675.931984755302,0.001106033300402487,-0.0010842360825336073,days
PERIOD,35.1256850980198,8.237611167061232e-05,-8.963374550319259e-05,days
T0,1762.664392902643,0.0016751459945680836,-0.0015686866490796092,days
ROR,0.04229679414201882,0.0012210608704383494,-0.0026049112161066895,
IMPACT,0.8115791875277457,0.03936572648316683,-0.19585517386752116,
DUR14,0.12801653350141837,0.0038576233735328203,-0.005350419972401557,days
ECC,0.2548146246506605,0.31174631169458844,-0.18876458780227456,
OMEGA,91.45673058203714,112.24379664224959,-115.08948169563476,deg
R_PL,3.652960786292787,0.17740593846010855,-0.22925022537656403,R_earth
