,15th,50th,85th
MEAN,-8.941586430906195e-07,3.498411129590606e-06,8.097126698312544e-06
LN_SIGLC,-7.726671381178948,-7.719745345358538,-7.712471235381932
TTS,1743.5515328654442,1743.5532809895267,1743.5550253763706
TTS_1,1781.9018600843876,1781.9032462237687,1781.904547382404
TTS_2,1820.2637210460755,1820.2650451609268,1820.2663149700838
TTS_3,1896.9596282246844,1896.9613582269424,1896.963715904815
TTS_4,1973.662755087078,1973.6640344339403,1973.665354175008
TTS_5,2433.9155089040896,2433.9169534761404,2433.9183862162654
TTS_6,2664.0238875383557,2664.0257447407075,2664.0276545529373
TTS_7,2702.3512734435867,2702.353192869894,2702.355070036081
TTS_8,2740.71528013818,2740.7167938510747,2740.718174362259
TTS_9,2817.408623147054,2817.4099929426075,2817.411324506799
TTS_10,2932.461583153875,2932.462728374713,2932.463960859048
LN_ROR,-3.4990737979846283,-3.486904034847979,-3.4705292631004667
ROR,0.030225365256118283,0.030595448134967274,0.03110056592346595
IMPACT,0.10513286109956246,0.32308549675200327,0.5196503735207915
LD_U1,0.2224961517618138,0.2885762091991614,0.3530181805904158
LD_U2,0.12038618507994267,0.20886146937271866,0.2971865648476917
LN_DUR14,-1.4786778468132602,-1.471126548425012,-1.4625038307276317
DUR14,0.2279388593321232,0.22966660883926593,0.23165552178101398
PERIOD,38.35217695917798,38.35221754300643,38.35225924177715
T0,1743.5552924406313,1743.5560364890914,1743.5568300029029
ECC,0.07072033666826096,0.1928025540135944,0.525010782503742
OMEGA,-7.597384278705563,94.20092786810261,189.19463310497414
