,15th,50th,85th
MEAN,6.8903181640432395e-06,2.3942269752090638e-05,4.037740810134962e-05
LN_SIGLC,-6.941580810346739,-6.930473873619658,-6.918812788197755
T0,1715.1785019051092,1715.1789500619416,1715.1793916482093
LN_PER,3.6587695794386392,3.6587704336215454,3.6587712902397707
LN_ROR,-2.463982204140605,-2.454658916836312,-2.442026047577278
ROR,0.08509540806510674,0.08589248692668999,0.08698443820121968
IMPACT,0.05703263198259948,0.18616592083693048,0.3182533948407034
PERIOD,38.813556480729055,38.81358963461969,38.813622883062195
LD_U1,0.5199968888702531,0.5682945902893983,0.6166842449554533
LD_U2,0.08583124912222306,0.17367003456217067,0.2612346167859097
LN_DUR14,-1.4052486943084304,-1.3991471107673088,-1.3921960812602228
DUR14,0.2453060426497215,0.24680737355225763,0.24852891520017062
ECC,0.0390180350557821,0.1421548762427957,0.4757658881013622
OMEGA,-35.41515497144005,73.47690363003103,216.5531173244167
