,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
0,1.7336489214343245e-05,-6.782541452255313,1745.9211464035543,1758.9259729418957,1771.9214089538732,1784.913937416384,2877.07244924575,-3.248138632601435,0.03884644809005852,0.847589807696443,0.21612165438766495,0.4335946147956804,-1.5851660341386058,0.2049137676112839,13.001772068132974,1745.9180225250184,0
1,3.650903500345309e-05,-6.765431494488986,1745.9264222647716,1758.9167673693648,1771.914441926456,1784.9029825234002,2877.075904371033,-3.2217833725425606,0.039883867005948065,0.8798756200064883,0.3009961628672815,0.13667426199887944,-1.581352095728858,0.20569678834753388,13.001872315282046,1745.9124786267587,0
2,3.556774977459093e-05,-6.768848491908164,1745.9277395096383,1758.91700793685,1771.915437336249,1784.906031885893,2877.0753221163955,-3.1800846825090083,0.04158213369266256,0.9286056383516924,0.3317559746654748,0.1831754872042064,-1.5214800580487033,0.21838842009749307,13.001849651642168,1745.913904236461,0
3,4.211017332873676e-05,-6.767621598441353,1745.9294353036269,1758.9145409560933,1771.9154318351402,1784.905149425116,2877.074576145017,-3.1795589407841844,0.041604000903100784,0.9084741190210553,0.341487424686596,0.15900405515571014,-1.5277349349958915,0.21702669056804436,13.001845330989768,1745.9135035765887,0
4,3.8833126267698987e-05,-6.762634351251353,1745.9307201714882,1758.9154570593073,1771.915319586383,1784.9056285184606,2877.074799166749,-3.165882223318624,0.04217691593700525,0.9256588875039348,0.34342123197094576,0.1742073923379872,-1.5244627166192168,0.21773801245872987,13.001840141042537,1745.9141582770865,0
5,3.3443860008673154e-05,-6.763510696411489,1745.9284656624257,1758.915276497574,1771.9139479538412,1784.901765120306,2877.0729763776117,-3.222957930028185,0.03983704861223047,0.8947581148884143,0.23754945987443232,0.31865759978698116,-1.5392249670459806,0.21454731824873982,13.001840734066777,1745.9122486687097,0
6,3.3443860008673154e-05,-6.763510696411489,1745.9284656624257,1758.915276497574,1771.9139479538412,1784.901765120306,2877.0729763776117,-3.222957930028185,0.03983704861223047,0.8947581148884143,0.23754945987443232,0.31865759978698116,-1.5392249670459806,0.21454731824873982,13.001840734066777,1745.9122486687097,0
7,3.319849340424517e-05,-6.762939158029314,1745.9244197418984,1758.9146875744157,1771.9129202436643,1784.900577466102,2877.069532614101,-3.2453195925814287,0.03895611228310901,0.8836437730380717,0.26390687771370347,0.2485709739841262,-1.556740602624841,0.2108221055816427,13.001821198281192,1745.9105532400058,0
8,4.199693815704713e-05,-6.765019499369247,1745.9254291775528,1758.9106389793683,1771.9153150574875,1784.9092754575602,2877.071363367077,-3.2424114158308632,0.03906956843845689,0.8642229657997397,0.3653005969767382,0.18593190096300805,-1.5774674354112528,0.20649740455287394,13.001821584513852,1745.9125229358517,0
9,2.7261502945721347e-05,-6.764013871599788,1745.9191172415317,1758.9173347981034,1771.9149993995368,1784.9111403498111,2877.069265129827,-3.224253209340852,0.039785481911135595,0.8967319532551343,0.3056416229990888,0.19609590498770202,-1.5617715845835967,0.20976412693920704,13.001792913662896,1745.913023189632,0
10,1.1689927914417757e-05,-6.751446210889048,1745.9238559409928,1758.9154790056098,1771.9107177752128,1784.912593112981,2877.0724660918113,-3.1862340868805523,0.041327212946651926,0.9141705007489208,0.43123374127986613,0.1710760987604747,-1.5122258118783376,0.22041882072097643,13.001829112630299,1745.9130008903983,0
11,5.314817663488419e-06,-6.752153924415067,1745.9228094829289,1758.9150250439084,1771.9083133724812,1784.913151212713,2877.0735509043507,-3.189441623085102,0.0411948667809194,0.9043108989191626,0.4069680700134546,0.17412080635732607,-1.5112944897728475,0.22062419726219168,13.001851811624547,1745.9121263070597,0
12,5.742489053533853e-06,-6.7538773664982985,1745.922700376533,1758.9147369617253,1771.9075696898462,1784.9141892711484,2877.0735443479593,-3.1862995622007655,0.041324507122734035,0.9135018559251128,0.4222252247796867,0.1676135448304652,-1.506925781060206,0.22159014855859877,13.001852290437576,1745.9120955273033,0
13,5.742489053533853e-06,-6.7538773664982985,1745.922700376533,1758.9147369617253,1771.9075696898462,1784.9141892711484,2877.0735443479593,-3.1862995622007655,0.041324507122734035,0.9135018559251128,0.4222252247796867,0.1676135448304652,-1.506925781060206,0.22159014855859877,13.001852290437576,1745.9120955273033,0
14,2.4192232307321967e-06,-6.753882643555296,1745.9226607310998,1758.9150502362495,1771.9073891874514,1784.9142360708013,2877.07382392021,-3.1931531664979103,0.0410422536348299,0.905439567685668,0.4078590181659405,0.18926347922569642,-1.5111019414998221,0.22066668216042776,13.00185512867658,1745.912126635778,0
15,2.4192232307321967e-06,-6.753882643555296,1745.9226607310998,1758.9150502362495,1771.9073891874514,1784.9142360708013,2877.07382392021,-3.1931531664979103,0.0410422536348299,0.905439567685668,0.4078590181659405,0.18926347922569642,-1.5111019414998221,0.22066668216042776,13.00185512867658,1745.912126635778,0
16,2.4192232307321967e-06,-6.753882643555296,1745.9226607310998,1758.9150502362495,1771.9073891874514,1784.9142360708013,2877.07382392021,-3.1931531664979103,0.0410422536348299,0.905439567685668,0.4078590181659405,0.18926347922569642,-1.5111019414998221,0.22066668216042776,13.00185512867658,1745.912126635778,0
17,2.4192232307321967e-06,-6.753882643555296,1745.9226607310998,1758.9150502362495,1771.9073891874514,1784.9142360708013,2877.07382392021,-3.1931531664979103,0.0410422536348299,0.905439567685668,0.4078590181659405,0.18926347922569642,-1.5111019414998221,0.22066668216042776,13.00185512867658,1745.912126635778,0
18,2.4192232307321967e-06,-6.753882643555296,1745.9226607310998,1758.9150502362495,1771.9073891874514,1784.9142360708013,2877.07382392021,-3.1931531664979103,0.0410422536348299,0.905439567685668,0.4078590181659405,0.18926347922569642,-1.5111019414998221,0.22066668216042776,13.00185512867658,1745.912126635778,0
19,5.261718991193299e-06,-6.75627536979104,1745.9221813031631,1758.9151341482882,1771.90768174576,1784.9146678659013,2877.074744773511,-3.1922178118490816,0.04108066065685879,0.9262639261877308,0.41705200049119884,0.20009134731865763,-1.5088144180249794,0.22117204016476624,13.001865180340973,1745.9121896129827,0
20,1.1268946155685317e-06,-6.75823563458145,1745.922447404357,1758.9157860844316,1771.906950595192,1784.9141871188697,2877.0742712780075,-3.1962141667044057,0.040916815369200596,0.9136318631483955,0.4159002407986776,0.19100174417676974,-1.4997319583773756,0.22318997633486817,13.001860196076358,1745.9121288491506,0
21,6.7159674895879525e-06,-6.750967333618345,1745.921559418593,1758.9160173109362,1771.9108829386332,1784.9150146213854,2877.072159387062,-3.2159756720969344,0.040116174491309595,0.8869289905929895,0.3594795763637362,0.19904530701903078,-1.5620509356347845,0.20970553729376562,13.001824285406586,1745.9131950267592,0
22,1.9933677694993988e-05,-6.771461187725614,1745.9169028276344,1758.9222245889598,1771.9151431760235,1784.917529975488,2877.069158357033,-3.2038711505596984,0.040604712383137495,0.8161944053741367,0.42202414169117786,0.3932228584054025,-1.5790829868116214,0.2061640667164814,13.001766562209006,1745.91533372794,0
23,2.847005192700878e-05,-6.767166902297708,1745.918709598748,1758.9230136517601,1771.913884226709,1784.9195064779333,2877.0693800756176,-3.1673219116111255,0.04211623801404517,0.8742028717796144,0.3905058940859367,0.36232989176685937,-1.5590131390672772,0.21034354863883922,13.00175934175245,1745.9161750495578,0
24,1.0857627168827147e-05,-6.768537659091944,1745.9237035577669,1758.9249702818738,1771.9113766487037,1784.9149126887717,2877.068350661808,-3.190378933067817,0.04115627251127172,0.8405434253474124,0.43945373774796237,0.3221285036849424,-1.6371972509710613,0.1945244822739736,13.001744914204005,1745.9162073635903,0
25,4.318006605129374e-05,-6.760177727102075,1745.9157138192693,1758.918538132791,1771.9138734094731,1784.9174580160975,2877.0736516182533,-3.28272929169342,0.037525698338086846,0.7388780894895076,0.2763795964867375,0.43750970501499964,-1.619315680286747,0.19803417141253063,13.00183772617792,1745.9136652922673,0
26,3.453613168026211e-05,-6.763182569916426,1745.9226900066985,1758.9180619310214,1771.9218269910646,1784.9102801077788,2877.077080782103,-3.255496276496921,0.03856167865910317,0.7980410572486789,0.31353148455208935,0.33884796264974204,-1.589317372248943,0.20406486453944167,13.001853636242101,1745.9155103296303,0
27,2.1015785814743467e-05,-6.788563646385043,1745.9114975974933,1758.92626409821,1771.9214821712983,1784.9108484486978,2877.079689547224,-3.3136101343683073,0.03638458313270384,0.7292888049761419,0.3332753573271374,0.30728266722797115,-1.6578372777627952,0.19055064289762905,13.001894488783057,1745.9147188812196,0
28,2.342615172446344e-05,-6.779823919830206,1745.9160364156348,1758.9251988791118,1771.921310137633,1784.9116751934268,2877.0772382862115,-3.3246738531975013,0.035984252988836576,0.4685708762839791,0.24832919130138031,0.2859841151381892,-1.6668635756508583,0.18883841519587904,13.001852907789164,1745.9158276975254,0
29,5.148138259508599e-06,-6.762063147478655,1745.920119184584,1758.9159389680399,1771.9094939941713,1784.9064555296113,2877.0850810828274,-3.3599619401107925,0.03473658099000388,0.37615379125249415,0.3456605961677781,0.29191352103288026,-1.7352430555912053,0.17635733044145946,13.002006850411648,1745.91009033419,0
30,1.5551124697585598e-05,-6.7792498762554,1745.9154043520377,1758.9204055550904,1771.9180030603388,1784.9116513544927,2877.0741882433313,-3.3393481300193435,0.03546006554137188,0.4835612582023912,0.1602811393269976,0.22240971585493652,-1.6844262232825056,0.18555086618523753,13.001843129432556,1745.9136483056127,0
31,1.4667980073933836e-05,-6.774135086200717,1745.9165096447978,1758.921545170686,1771.915780484209,1784.9102460602373,2877.0736714722684,-3.3216673236262673,0.03609260350744841,0.5407586958032778,0.4083759263326008,0.1938250492495528,-1.677392825137662,0.1868605195611526,13.001840200185931,1745.9133228429814,0
32,1.303580884353125e-05,-6.777878717934755,1745.9190143761134,1758.92034552763,1771.918742453933,1784.9083060326545,2877.0717134640468,-3.3224959167909183,0.036062709809454925,0.516898741113378,0.40282786887318034,0.24189181935698345,-1.685665968725923,0.18532097287839694,13.001809737137648,1745.9139632601152,0
33,6.121273936278219e-05,-6.769897737697804,1745.9156611324534,1758.9205434103994,1771.9172496237525,1784.916616587395,2877.0679335768064,-3.331454465304063,0.03574108307946905,0.3483829938469731,0.19605045442679692,0.26081239335870054,-1.703012510911464,0.1821340160581714,13.00175771083326,1745.9149074446627,0
34,1.986557660454163e-05,-6.7705483764078656,1745.9175487944294,1758.9209342896222,1771.916777287418,1784.9133716688139,2877.0700267448765,-3.3476878094918545,0.03516556966813025,0.43543668484450126,0.3222765034501278,0.2568977188181991,-1.6715440094559033,0.18795663466114046,13.001784985524358,1745.9145310262786,0
