,MEAN,LN_SIGLC,TTS,TTS_1,TTS_2,TTS_3,TTS_4,LN_ROR,ROR,IMPACT,LD_U1,LD_U2,LN_DUR14,DUR14,PERIOD,T0,ECC,OMEGA
8787,3.914337695008518e-05,-6.777376306713817,1745.919199509932,1758.9186874134002,1771.9182744990017,1784.9056587677458,2877.071864667808,-3.336231810700572,0.035570742791920705,0.2512025733196247,0.19512724845786877,0.4101928767301337,-1.7011633356823508,0.18247112536006968,13.001824284230368,1745.9128052848932,0.008357295564076835,32.51390567933998
8788,1.6956627925240895e-05,-6.769084428958433,1745.9183151093418,1758.9216372787203,1771.9156691463575,1784.903601530511,2877.0683178760455,-3.3244420580887346,0.035992594929445176,0.6853309751133092,0.2729068153258565,0.2609786798065674,-1.6883201010864128,0.1848297586493534,13.001789649059793,1745.9122207156831,0.23311211956868758,257.72452261107975
8789,2.0920938437331678e-05,-6.784595492161899,1745.9218707384387,1758.919374516174,1771.9156231534366,1784.907351934824,2877.0636862419983,-3.3535995158431313,0.03495829442542024,0.005459522737602482,0.3660862111228198,0.2641693504704141,-1.6982343592117777,0.18300636245859667,13.001721164013317,1745.9135676663266,0.009419935565063485,30.354314903332494
8790,2.1141860099948033e-06,-6.749248042350247,1745.916896853311,1758.9196294172418,1771.9184296395072,1784.9112156403078,2877.0744355708134,-3.33131338691824,0.035746125729473575,0.115955715071936,0.2481444540822284,0.40020964729716524,-1.6849096660191398,0.18546118464639502,13.001843562123966,1745.9138311687302,0.02064003337997422,-18.163806632642643
8791,5.038713241878019e-05,-6.778019899564662,1745.9164751015226,1758.9210528186227,1771.9180023387346,1784.9117279052386,2877.0694206796793,-3.3644841344964114,0.03457985006941853,0.28994164891746094,0.3867036806278581,0.355256819536411,-1.6735447358799598,0.18758096079123196,13.0017818652787,1745.9141930745757,0.3067886808350398,-15.086275374809548
8792,6.34540364415647e-05,-6.75892043288722,1745.9201997328814,1758.924568505467,1771.9183186203654,1784.9130018787819,2877.064988799557,-3.347458707488588,0.035173627093538135,0.2547111533701594,0.4122741441072213,0.28466079453154736,-1.693279567199375,0.18391537103606828,13.001703375034992,1745.9165327317596,0.00987191342695774,168.81576482823994
8793,2.1888179851813694e-05,-6.771120514556147,1745.912291524576,1758.9195246496051,1771.917704026986,1784.9081480519776,2877.071961387425,-3.394579246674156,0.033554669441182176,0.03409210200841263,0.358778314448422,0.1970993087994577,-1.7174843161710815,0.17951718882439238,13.00183983227139,1745.9117050478662,0.19027972428599416,172.39712203837848
8794,2.9405775056213688e-05,-6.78787749000644,1745.921637635989,1758.9245812059955,1771.912849137695,1784.9145502829424,2877.067818607147,-3.3156946738214264,0.03630881702982932,0.44236503729252213,0.3926438542161306,0.28381957946866776,-1.6641303380552517,0.18935526146184775,13.001743221378787,1745.9158634563082,0.2967656687253363,202.29011650875182
8795,-4.110966304307949e-06,-6.769213734610077,1745.9203722909506,1758.9214072717289,1771.9189377231855,1784.9103733661038,2877.070041173344,-3.3551356731527466,0.03490463421172389,0.06809272867409381,0.24859103000075278,0.35528617624526593,-1.6891517112503291,0.18467611623761662,13.001776623547217,1745.9151811670847,0.08092946488619004,77.37925631282977
8796,4.3368015307896087e-05,-6.760243349043798,1745.9219110042682,1758.9225692641855,1771.9240421926452,1784.9112500282554,2877.068572943249,-3.3266091699901614,0.035914679404933945,0.49332985896946374,0.3075712445696617,0.36574663925251616,-1.6629470362614434,0.18957945850262276,13.001734269245965,1745.9174116785455,0.35122378704948154,-26.59548315801548
8797,2.0455732437429687e-05,-6.7851521988868875,1745.9131088962552,1758.9196384625807,1771.912497848444,1784.9090302229263,2877.067761598901,-3.339268366924068,0.035462894058762275,0.3414829086697006,0.28927543504719555,0.20071866176082032,-1.680679113659212,0.18624744989423941,13.001800228113039,1745.9109231629186,0.12877094562139174,197.8573268697602
8798,9.11343393582887e-06,-6.780850773518448,1745.9133326815818,1758.920684187401,1771.915877003635,1784.9197158391335,2877.07354506458,-3.3551059562836762,0.03490567148358087,0.4012858316884149,0.1953876818943714,0.41803505185547984,-1.67555393747653,0.18720445119382684,13.001825894808103,1745.914669311835,0.05113833314233556,245.58319337077657
8799,6.180325410852519e-05,-6.769202670277666,1745.9150636225315,1758.9194094805252,1771.916644713676,1784.9096899848153,2877.067120327064,-3.2556678837236372,0.03855506176414069,0.6881519268582088,0.37489858074812243,0.2244507914579177,-1.6741951436467046,0.18745899634505098,13.001773692018842,1745.912594954172,0.263888205220589,-87.58158319331183
8800,4.636222729735764e-05,-6.771787150761035,1745.9194516411578,1758.9182458989637,1771.913979830612,1784.9101528483732,2877.0760161220155,-3.3068747363776794,0.03663047494083609,0.6831883204324786,0.2759877150929022,0.442434745068091,-1.6555071807389476,0.19099516206881506,13.00187352640877,1745.9127216770214,0.3484557095114054,-58.22803396527033
8801,-7.184579042188574e-06,-6.797531128862714,1745.9163612154407,1758.9200852663782,1771.9254269869843,1784.9118912349372,2877.067599862349,-3.35820462857908,0.03479767765156089,0.01640789833719716,0.29897750088280706,0.3337711019205467,-1.707227495929748,0.18136793954386388,13.001742366575602,1745.9158648949115,0.08475596921736503,56.98187293788445
8802,-1.3882384510526875e-05,-6.7609163052736525,1745.9186761549538,1758.921417957112,1771.9170985525848,1784.9177264374482,2877.075517738323,-3.4172822785663124,0.03280145914129856,0.002513096378808662,0.4797480953511011,0.30212718569116537,-1.663428005176698,0.18948829860040917,13.001831598506266,1745.9160196358682,0.02363548191325739,246.26036327795705
8803,4.052253581655779e-05,-6.768242529409093,1745.9130705174477,1758.9204662426723,1771.919889351369,1784.9086558421845,2877.0668495481923,-3.3147928799843505,0.036341574865445495,0.18865563441244076,0.3691821089432352,0.154097614038313,-1.708615553737481,0.18111636499970518,13.001767237960438,1745.9129156743086,0.12430736705633477,141.9498591295079
8804,6.505063950813146e-05,-6.769814739952698,1745.925631485315,1758.9252372624233,1771.9160306374815,1784.9148109231119,2877.0704825658004,-3.3509598488052146,0.035050694582088274,0.0012403563915530096,0.3238466459417686,0.42152833299900627,-1.6353277790881167,0.19488848046030435,13.0017499704559,1745.9178891243469,0.32414086595734765,-12.659136902247697
