,value,err_upper,err_lower,units
PERIOD,1.216876445013328,7.136437716082078e-05,-7.562303054453601e-05,days
T0,1739.729322512061,0.0007121141989046009,-0.00071531259072799,days
ROR,0.03710066770571331,0.0021303452909854637,-0.0015602203600128609,
IMPACT,0.5353253575695698,0.21363160102611944,-0.3473343121292711,
DUR14,0.046873647198257234,0.0019352856891153292,-0.001372935683829568,days
ECC,0.34548484484062747,0.2685155875675611,-0.20060116697701746,
OMEGA,89.08859597077993,103.76687139161564,-102.38215547106245,deg
R_PL,3.062962055999388,0.19425574483689134,-0.15867052703874496,R_earth
