,value,err_upper,err_lower,units
PERIOD,20.5438479537124,2.036334672439466e-05,-2.029660855029647e-05,days
T0,1844.058981628198,0.0005593154101006803,-0.000568620620697402,days
ROR,0.023747648291918878,0.0002634288729992211,-0.0002519499232918783,
IMPACT,0.4723698941166286,0.1304842365660494,-0.27017246733983913,
DUR14,0.167576437969146,0.001614607500053683,-0.0012737677701286365,days
ECC,0.1825707805655844,0.3043861569515258,-0.12183596197000635,
OMEGA,90.0870877801597,120.37209216600561,-120.08932772136926,deg
R_PL,2.375053562709262,0.04280273992220174,-0.04118307389715259,R_earth
