,15th,50th,85th
MEAN,1.0301426541284876e-05,1.418976405842144e-05,1.8114454227309702e-05
LN_SIGLC,-7.480773079465012,-7.47638971942588,-7.471762394446657
TTS,1733.6147286622677,1733.6264819671899,1733.6315097431705
TTS_1,1771.100250417034,1771.1039135649348,1771.107974145496
TTS_2,1808.5636324336954,1808.5702410429947,1808.578123837888
TTS_3,1846.0354204108432,1846.0431819868365,1846.0501051099466
TTS_4,1883.5099342087883,1883.5143487560263,1883.5191638783485
TTS_5,1920.9648546641936,1920.9726970064507,1920.9797164811005
TTS_6,1958.421885956365,1958.4298658530927,1958.4394258356529
TTS_7,2033.379346929975,2033.383401949083,2033.395380585438
TTS_8,2408.055496804533,2408.0610631171576,2408.0663378511886
TTS_9,2445.5122117296632,2445.5179250741244,2445.531818440873
TTS_10,2595.3900174786268,2595.3993461484183,2595.4084240442494
TTS_11,2632.8618519512875,2632.873514388436,2632.880434785685
TTS_12,2670.3587717309174,2670.3713503279405,2670.378422573296
TTS_13,2745.2807152377663,2745.284261627535,2745.2894614813545
TTS_14,2820.2083378809725,2820.2165853338784,2820.2231565161605
TTS_15,2857.6866078521657,2857.6917023058477,2857.6989595901177
TTS_16,2895.1531738033505,2895.1593373514697,2895.1642415273436
TTS_17,2932.61757098636,2932.621250557516,2932.6256798071076
LN_ROR,-3.903280686090049,-3.8828364464022607,-3.8511115505694486
ROR,0.02017561290030985,0.020592333216799968,0.021256096076384352
IMPACT,0.130263543344617,0.3895510943973471,0.6342115666160242
LD_U1,0.18528421007503892,0.2692069270177988,0.3602357829381613
LD_U2,0.20777526092078102,0.30745911604125276,0.40588698568944803
LN_DUR14,-1.1569389207024725,-1.143187088310052,-1.1218854010149462
DUR14,0.3144472571775623,0.3188013529122987,0.3256652059245785
PERIOD,37.4684161757708,37.46855463316302,37.46869531663446
T0,1733.6285533283626,1733.631483177313,1733.6343287347777
ECC,0.05524310143652081,0.1986826322596731,0.5722667632599284
OMEGA,-30.81400039950833,91.66674536892309,211.0035746201627
