,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,TTS_0_14,TTS_0_15,TTS_0_16,TTS_0_17,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
0,1.2563500476086278e-05,-7.473465627598709,1733.626228455678,1771.1006416152497,1808.5641536151795,1846.0482213057724,1883.5169605944632,1920.9781218422106,1958.4293704035522,2033.3787554776718,2408.0620612937596,2445.5290866339587,2595.4046639887674,2632.8627029043673,2670.3720711448173,2745.2861283326697,2820.2135401082237,2857.707460698602,2895.1626192590243,2932.6221391842582,-3.8958749271129225,0.020325583263417043,0.433969205515025,0.2971576515295917,0.2746005229431283,-1.1631987689495913,0.3124850131269097,37.468682897204516,1733.6307186311396,0
1,1.3333116428144036e-05,-7.477232146097516,1733.6319307145982,1771.1007084294386,1808.567893813807,1846.0498914001264,1883.513333743952,1920.9696184794398,1958.4283757467147,2033.3778713991364,2408.048869800807,2445.5223858677687,2595.397407905156,2632.869676182482,2670.3704329272637,2745.2861988525283,2820.2022657701104,2857.7005455502413,2895.1624259697583,2932.620656852479,-3.89153818063842,0.020413921576960883,0.31269119915045834,0.31093629683416935,0.2300015407088185,-1.1473921387914183,0.3174635917775598,37.46854399747477,1733.630464562808,0
2,1.6685534560163397e-05,-7.469470522266744,1733.6197434103167,1771.1078423093054,1808.576873099269,1846.04304261472,1883.515387290632,1920.9818602436476,1958.439520336474,2033.3815430077204,2408.0696407608093,2445.525269629645,2595.4038542221215,2632.8616099768064,2670.375827836386,2745.2940894446597,2820.2304110053688,2857.687715084042,2895.161441095417,2932.619186242577,-3.8746735191758073,0.020761114873254327,0.43697725626207623,0.2029653492431558,0.485327627004734,-1.1550777786145598,0.315033033117634,37.46857234472903,1733.6341441484815,0
3,1.3339361020291968e-05,-7.477205560761802,1733.6328504205899,1771.099699257289,1808.5717402364692,1846.0482171160397,1883.513309138438,1920.9493194165664,1958.4260917989623,2033.3757045779955,2408.051523317964,2445.508658894141,2595.397144096316,2632.863223211089,2670.3713262716947,2745.282751352374,2820.2009824640086,2857.689740000541,2895.160158942767,2932.622159569726,-3.891889152644068,0.02040675811912199,0.44584245005227896,0.2042878566066746,0.24599089711866728,-1.152743322288504,0.31576932305868827,37.46851616621002,1733.6278033544825,0
4,1.2652358816253892e-05,-7.473753049436382,1733.6263424114757,1771.1101622756846,1808.5686092161463,1846.035825994315,1883.512546722507,1920.9635086328387,1958.4355128266975,2033.3917832181753,2408.06647668059,2445.519953721681,2595.4022959276767,2632.884263614469,2670.3808243609515,2745.285169406374,2820.2069463692783,2857.688007991748,2895.161901434376,2932.625358298943,-3.8901897279609847,0.020441467352081466,0.3572766254172747,0.43733112047926115,0.4358392461013363,-1.140576986118324,0.31963454390605456,37.468638175198556,1733.631462934553,0
5,2.0852209677414692e-05,-7.477965853073427,1733.6283143861635,1771.1161621959402,1808.578182750229,1846.0517095568919,1883.5142314587938,1920.9816340696534,1958.4341568750551,2033.3900323195066,2408.056359659668,2445.5115589008083,2595.4091508656493,2632.868629038292,2670.3644801830033,2745.282215459029,2820.2256292836696,2857.7055117205305,2895.1575344546077,2932.6303413994046,-3.862631721514808,0.021012627309504324,0.4519645596793627,0.19477819136607044,0.19056041296666248,-1.1338333910486276,0.3217973140673572,37.46845368702875,1733.6366459110918,0
6,1.4535726513204527e-05,-7.480370796655524,1733.6331793180518,1771.0973782895462,1808.576085430376,1846.0301610026931,1883.5141225512245,1920.9680184819094,1958.4195091899408,2033.3849581763143,2408.0719401634883,2445.514366871615,2595.407098240141,2632.8811570205726,2670.3758248090694,2745.282397695045,2820.199559346418,2857.6766277163474,2895.1556558539746,2932.6174969695317,-3.9195010454180226,0.019850997019691823,0.02728880310508966,0.40411397174316477,0.4215782611876555,-1.1379970066882414,0.320460259160645,37.4684939334054,1733.6304321243854,0
7,1.8518828305538628e-05,-7.48177560321827,1733.6232049816242,1771.1052644747165,1808.575785106329,1846.0325962412364,1883.514679451374,1920.970400393706,1958.4227540783545,2033.3756653023506,2408.068973248026,2445.5167186806234,2595.4050724626827,2632.8750311042954,2670.369869862317,2745.279449388726,2820.198586804011,2857.6661802448743,2895.1547794867415,2932.6209074091325,-3.894497989396664,0.020353589602684907,0.03529989936788424,0.3391197098107128,0.40588698568944803,-1.150051189027395,0.3166205614656284,37.468394147416404,1733.6303776895886,0
8,1.6407309802666543e-05,-7.483404098319412,1733.6142013330773,1771.1063177617186,1808.5780832910618,1846.048392498685,1883.503095814263,1920.9811153048886,1958.4214398348668,2033.3837106256728,2408.0681685849568,2445.535286961607,2595.392389075552,2632.8873662313345,2670.374774057854,2745.2899414162034,2820.2061031745984,2857.677868286136,2895.159949361883,2932.6182043657536,-3.9025211325880975,0.02019094317908873,0.037405997012578115,0.24827065902927625,0.3562733278932966,-1.1304073214653452,0.3229017048366029,37.4685508501925,1733.6317952208262,0
9,1.5977096088638568e-05,-7.477164311410492,1733.6132300005222,1771.0992508265142,1808.567493234066,1846.0510055288255,1883.5030196807843,1920.9816295737544,1958.423765807969,2033.3837373720626,2408.0743909732973,2445.535206389638,2595.4092580355777,2632.8800679833735,2670.3795355354714,2745.2750765135456,2820.201275293422,2857.6924839814474,2895.1586216415963,2932.6206983687844,-3.8844609626808655,0.02055890779369775,0.07594201288640348,0.3428508598767148,0.3106036841270847,-1.1384095235732297,0.3203280911554147,37.46868188210479,1733.6298914764768,0
10,1.2230832814592735e-05,-7.476712232160424,1733.6100237228427,1771.1052298696256,1808.5628394712057,1846.0296734192639,1883.5233145258276,1920.9718519475139,1958.423045697695,2033.3817455619815,2408.0508853584897,2445.5217469196036,2595.38467474951,2632.8783947140573,2670.369277926417,2745.2960515550085,2820.2194524357265,2857.695296603827,2895.1582400087527,2932.6227002614064,-3.887944097767454,0.020487422908647794,0.02524837038828461,0.2745693505249285,0.23763632544002622,-1.1426718101941575,0.3189656666027536,37.468827354161526,1733.6250552280214,0
11,1.676482007028778e-05,-7.4762623138588955,1733.6115033479068,1771.101349359376,1808.5617938725904,1846.0283284344782,1883.5228121090167,1920.9815743760507,1958.4209734163082,2033.3942521162053,2408.063722612563,2445.517149140094,2595.398251580528,2632.8722923045775,2670.3745361668794,2745.298852985775,2820.2209026003134,2857.693974503224,2895.1613412599772,2932.6189337960677,-3.9131614224734452,0.01997724461411117,0.04034034958024071,0.2820215899777547,0.30736553484860196,-1.1345883582322631,0.3215544593406639,37.46883199444443,1733.6270978653545,0
12,1.3341721844504554e-05,-7.472932752141167,1733.618063652015,1771.1040846835924,1808.5652749410356,1846.0337139053343,1883.5188183444614,1920.979401882481,1958.4239718438616,2033.3758978252008,2408.0554889248933,2445.525220584692,2595.3812576787573,2632.864304640936,2670.3685028279583,2745.2951864101624,2820.2250403956273,2857.6966827065175,2895.161475616384,2932.6209631312267,-3.8947612215678147,0.020348232588203292,0.044700704848634414,0.3222117800301585,0.4094791751989397,-1.1515205340361794,0.31615567824451996,37.46874165217807,1733.6269164344462,0
13,2.122956027408102e-05,-7.478816216829093,1733.6224909707462,1771.1045061354955,1808.5672535168594,1846.0285031909507,1883.5152877178034,1920.9769171915846,1958.4331131550662,2033.39964570245,2408.0622898647352,2445.5407941233243,2595.4068176852547,2632.8565005333476,2670.346362684717,2745.29444928894,2820.2184460707845,2857.6845904574852,2895.1609967306213,2932.6226097135764,-3.8938934170616575,0.020365898540323432,0.1128835961161337,0.3121138360206144,0.23715632954884658,-1.157125328310324,0.3143886472576842,37.46853190293547,1733.6318288106263,0
14,1.7860033260994313e-05,-7.472646876813118,1733.6341759516467,1771.1015427907516,1808.5709072790107,1846.0569830221789,1883.5113734379154,1920.9728601131915,1958.4349443195736,2033.3919594441031,2408.060304849778,2445.506022327496,2595.4081739210274,2632.871046072724,2670.385830411687,2745.291404993075,2820.2130285079234,2857.6987244217908,2895.1648349618886,2932.6218372576286,-3.913778755521946,0.019964915806674574,0.09711107925811621,0.3482486943651131,0.47366244021262305,-1.1263944506028827,0.3242000710249912,37.468566960860784,1733.634290906463,0
15,1.2122076952296318e-05,-7.47266904118312,1733.6269788869326,1771.1086152630658,1808.5765812976492,1846.0415030000613,1883.5156283234242,1920.9829818519165,1958.426886295993,2033.3802543093593,2408.061891688687,2445.5138335529814,2595.4136089426765,2632.8760033481194,2670.3720502769743,2745.2944287795262,2820.213649018193,2857.6955076556696,2895.1679657871573,2932.618540579784,-3.9062953092703467,0.02011488261543894,0.11947108060948192,0.3892374884939145,0.38286018044401593,-1.1538531252401738,0.3154190757206246,37.46861309894918,1733.633052747764,0
16,1.3153145919330827e-05,-7.470031876845712,1733.6263250571983,1771.104685479873,1808.577195096882,1846.0445982319577,1883.513496701985,1920.9836999882739,1958.4285814184896,2033.3862138091886,2408.063636579196,2445.5152806470614,2595.408696085571,2632.875673112929,2670.3613868559464,2745.295630991878,2820.210546496572,2857.691994743086,2895.159522259738,2932.6171098840096,-3.9086866097174795,0.020066839353477407,0.1738162503894157,0.377030234100471,0.35618993064867865,-1.1504060555247462,0.3165082233696839,37.46845848831964,1733.634260405117,0
17,2.066833876839086e-05,-7.475236764957247,1733.6294918733338,1771.101653852592,1808.5727704538324,1846.0411179574635,1883.5140490821825,1920.962873773409,1958.4246708567732,2033.381328959087,2408.059380792155,2445.5140951915205,2595.4069326941076,2632.8550401314387,2670.374909345379,2745.2953073673602,2820.2217576745397,2857.6904916344815,2895.158097672004,2932.624269339827,-3.8999337297268006,0.02024325292725566,0.08758916846355351,0.25253818044495513,0.21718327592882214,-1.1436499290661704,0.3186538327948529,37.46868192641458,1733.6286958761384,0
18,1.634338077986987e-05,-7.475949861447034,1733.6309605520576,1771.1075177794257,1808.559477156311,1846.0331313316424,1883.5144767333695,1920.9691525529606,1958.428006384087,2033.3840453451178,2408.0625330169805,2445.5175998219556,2595.386894253302,2632.8762156589596,2670.3764233819115,2745.282265556934,2820.223172411476,2857.688155931426,2895.1590783055476,2932.6165714418585,-3.847867009718506,0.021325174351479306,0.47193871603881626,0.2647571956699919,0.1370003970431415,-1.146862342510194,0.317631827369268,37.468617346229834,1733.6290277359642,0
19,1.3609797431158364e-05,-7.477890490473685,1733.6263652545579,1771.0998400142535,1808.568555416837,1846.0273761425067,1883.5149623311058,1920.9765246460233,1958.4284413514206,2033.3815707263702,2408.0611899617215,2445.509432705574,2595.403304723633,2632.880505590241,2670.3783211020022,2745.2833738432723,2820.2186907583596,2857.6892045278955,2895.1600157788175,2932.620527667901,-3.8922883026404262,0.02039861438708649,0.35320854985255234,0.17500056653249718,0.3518937220024414,-1.1519546450478826,0.31601846136901474,37.46871971378183,1733.6280913715061,0
20,8.756622963091935e-06,-7.475707979999671,1733.6324277162578,1771.1043179648887,1808.5797035656553,1846.03672079723,1883.5108421622376,1920.9763966410712,1958.4323952295917,2033.3823808381767,2408.0607356074834,2445.5281981039607,2595.387836633156,2632.864711441271,2670.376401224551,2745.2850720883266,2820.2127566229087,2857.685970626843,2895.1533735855974,2932.622901435696,-3.880006472221399,0.02065069152543244,0.5161493238912721,0.34028723856685095,0.329708058120634,-1.1314648680523665,0.3225604017444793,37.46839364271166,1733.6335648237025,0
21,1.728197044302244e-05,-7.473863057061007,1733.6265478483235,1771.1037523543152,1808.5704738713748,1846.0537709215253,1883.5174181977238,1920.9797749189752,1958.4262025801772,2033.3818611902025,2408.062403672038,2445.536535912069,2595.4065609730783,2632.8838987575896,2670.372099984473,2745.285261703497,2820.2203284667307,2857.7036334293066,2895.165072993513,2932.620485895622,-3.8832283827159713,0.020584263915057764,0.31375018523721016,0.22138149898587445,0.21505096152723602,-1.1737491291960533,0.3092055140352809,37.46868911407382,1733.6334615517424,0
22,2.41931940101818e-05,-7.470188037109278,1733.6301880305025,1771.10640640112,1808.5593559251772,1846.0380508756903,1883.5111661968392,1920.9765561355655,1958.4353817441515,2033.379030130837,2408.0600449048097,2445.5307519812472,2595.3801632712843,2632.8723863889477,2670.377678233153,2745.2810447413676,2820.220137446433,2857.6903490059194,2895.1512511924784,2932.619595171209,-3.874909386667758,0.020756218578620138,0.3516398105022875,0.3804344201452907,0.27861694271935833,-1.1404062727963302,0.31968911443869463,37.46852279902978,1733.6307496919549,0
23,8.708282620081482e-06,-7.4817276313949055,1733.627738141585,1771.1017574954913,1808.5761717837927,1846.0495275979868,1883.516705744798,1920.976527877025,1958.4213046638906,2033.3770592536882,2408.0620887567316,2445.5319038792486,2595.3640726263584,2632.863913113139,2670.3666177072273,2745.2879468188635,2820.211873991168,2857.69229923361,2895.1611229825908,2932.6265096655693,-3.833148225777898,0.021641376331016062,0.7921323225252803,0.024837274596615666,0.3659476101663188,-1.1312445971774925,0.3226314602321416,37.46843971428044,1733.631830185238,0
24,6.854199971476315e-06,-7.4790572505347415,1733.6260198255238,1771.0998457053802,1808.5727399450227,1846.0422781144252,1883.5165542983925,1920.9731512838196,1958.427203647757,2033.391689031972,2408.070541836722,2445.5204577292116,2595.3781503528817,2632.861536305136,2670.374098397953,2745.290230117236,2820.2121905875974,2857.691767484261,2895.1661626808955,2932.6187683495086,-3.8463483766410427,0.021357584069638415,0.7623753377925848,0.14865539508860448,0.28414368995985617,-1.1124157931056964,0.3287637756975086,37.468507233101214,1733.6317672107587,0
25,2.0911956170242034e-05,-7.4726532481108485,1733.6247048462997,1771.1063673190174,1808.569341773355,1846.0392828956224,1883.5142967982451,1920.9714657635805,1958.429874734862,2033.380477632729,2408.05252628979,2445.515960669728,2595.413275241931,2632.8826840297934,2670.3663604280055,2745.282759603446,2820.218561549259,2857.69376365042,2895.154757745809,2932.62143106074,-3.8189489531030607,0.021950860157408925,0.6801297503253692,0.4220226841086412,0.38045933259766995,-1.1111207730202879,0.3291898071905212,37.46863569810552,1733.6299692597972,0
26,1.8714411789670716e-05,-7.484827576341668,1733.6258351406814,1771.0934792987287,1808.5727248463652,1846.0347974257875,1883.5116840196376,1920.9765336382889,1958.4413014369457,2033.390052248706,2408.0593949227755,2445.5184091185893,2595.393608646679,2632.8615342099793,2670.380193884579,2745.281434165764,2820.2130683638406,2857.688320627401,2895.167438435836,2932.6293163443283,-3.787268476979667,0.022657406629896237,0.8726232746972433,0.21151601768890194,0.2073920969584908,-1.1066588096751293,0.3306619218622833,37.46862095517684,1733.630272924397,0
27,2.0448726298678807e-05,-7.485348740850607,1733.627572563125,1771.0914626799754,1808.5722712415168,1846.0392501236968,1883.515505724434,1920.972993554531,1958.4407259069496,2033.385163590367,2408.0642479423045,2445.520574907,2595.395858308658,2632.865603899401,2670.379786731764,2745.281708418409,2820.220466952829,2857.6987734470563,2895.167967188411,2932.625453541648,-3.7921653362917755,0.022546727707973335,0.8597084962737002,0.25441089106759396,0.2047770527766708,-1.1086409165750901,0.33000716370010624,37.468720111517186,1733.6301508175911,0
28,1.095755187710547e-05,-7.467101969183149,1733.6275244894935,1771.111948980334,1808.568531192415,1846.0477753503715,1883.5132672955835,1920.9752019023051,1958.4398897912238,2033.3805567724187,2408.058695752674,2445.5149967652787,2595.4079138493316,2632.87650155345,2670.3723429905913,2745.2937693440335,2820.2094955373855,2857.68903984496,2895.157821416505,2932.6271320057313,-3.851756127982389,0.021242399291759452,0.7876202626142423,0.01394501839516904,0.3242664464111107,-1.1345760503503293,0.32155841701934,37.468511188880846,1733.633871868072,0
