,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,TTS_0_14,TTS_0_15,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
0,4.282212200583011e-05,-7.145735032659244,1818.090053583546,1834.825821077499,1851.5687853029494,1868.2992107937703,1985.4574363797874,2002.197678865428,2018.9171571276886,2403.8898027039913,2587.9888422076074,2604.725725419021,2721.875107612034,2738.6182146028186,2755.3589742571316,2922.7326339892534,2939.4617827314933,2956.2005475223477,-3.427680541454245,0.03246214812590517,0.37289481904760496,0.35078395636489823,0.2165210852260684,-1.5657326223663648,0.2089348867170758,16.736941549868895,1818.0886205060158,0
1,2.9654400746721805e-05,-7.1364051029459095,1818.094906027736,1834.8264029853315,1851.5637463191067,1868.2928028737545,1985.467360418738,2002.193966476699,2018.9220299016515,2403.8859389368245,2587.9886133672535,2604.727602592357,2721.8785018950794,2738.617756777418,2755.349966597143,2922.733313944326,2939.464158252681,2956.1879224414247,-3.4320149550808394,0.03232174824410944,0.5128630348358492,0.31854040560414654,0.46616161693362157,-1.5380072793043051,0.21480872901422213,16.736890774712784,1818.0895129303497,0
2,4.7495659088209646e-05,-7.1413936274195455,1818.0919235441372,1834.8274051290973,1851.5599652808528,1868.2951253133542,1985.462067806768,2002.1950721374562,2018.935170337053,2403.883656231433,2587.9876222924026,2604.724575546051,2721.880937576398,2738.622455511703,2755.3568011657317,2922.724229856256,2939.4639171269796,2956.1980357841217,-3.429841268446739,0.0323920820103488,0.28036515764843406,0.364558363886627,0.28379485528328807,-1.5763894647426258,0.20672012271838752,16.736912125197602,1818.0896748693417,0
3,3.683756030163055e-05,-7.141041250856615,1818.09411843834,1834.8269033382348,1851.56604643409,1868.3049773468308,1985.4600723228748,2002.1934383656176,2018.9267657294718,2403.8856889933313,2587.996074951721,2604.7300706451697,2721.8815285932355,2738.617695171486,2755.356294610368,2922.7315722994986,2939.4625021799825,2956.200212307673,-3.4076895614677762,0.03311762829539291,0.5852762319045357,0.29218386104585714,0.3058444166220855,-1.5583030769708759,0.21049295865886866,16.736918408867325,1818.0910281126028,0
4,4.08867068811294e-05,-7.1366700487484325,1818.0946348657747,1834.8284001426414,1851.5616307675248,1868.296748521413,1985.473299379126,2002.1944979676464,2018.928465107674,2403.8829672433744,2587.9927159837157,2604.7293715645405,2721.8808337294017,2738.6206356504704,2755.3570666519004,2922.7259320695175,2939.4605184284187,2956.195031320144,-3.359602273075659,0.0347490768401372,0.7393066512835286,0.3071519454406413,0.33483333543269866,-1.5455510079951413,0.21319436705225453,16.736874856431633,1818.0917781822006,0
5,3.491842813074036e-05,-7.133966983649836,1818.0940976690597,1834.8246248592206,1851.5640151419614,1868.298761237027,1985.4592602887685,2002.1971535327243,2018.9304517645783,2403.886326875479,2587.989657554811,2604.7215002069106,2721.8791643654067,2738.6187911001452,2755.3543426939436,2922.7318531366,2939.463095320855,2956.202779146925,-3.435901918434697,0.03219635864341393,0.3913916747483155,0.2733468290583263,0.3128010006891584,-1.567643878295957,0.20853594004198095,16.736921668683564,1818.0897890928795,0
6,3.060279424101937e-05,-7.132501123812169,1818.091901208813,1834.8251012616295,1851.5620093670489,1868.3015627575705,1985.462716313194,2002.1950767056194,2018.9265044388408,2403.8876493725193,2587.9883598097454,2604.7252232969663,2721.8785451650238,2738.6189395145125,2755.354566763992,2922.7329094543047,2939.4608766226934,2956.2008365839633,-3.4418279380173074,0.03200612660769786,0.23065651906519022,0.250399117994611,0.26732128459161375,-1.568938830385835,0.20826607076221484,16.736922618444577,1818.089563937843,0
7,4.2520315267968523e-05,-7.147070733270877,1818.0964165286593,1834.824974933196,1851.5591409602096,1868.2981681633703,1985.4604499253385,2002.194281760082,2018.9327202640952,2403.8828013089374,2587.9930658235503,2604.7298891650216,2721.8786273306023,2738.617712689145,2755.357798497689,2922.724033239688,2939.463019812429,2956.195346620036,-3.4228481556281896,0.03261939738894071,0.34334364350968966,0.45493688563055135,0.10179997109168237,-1.5736271181898152,0.2072919447584858,16.736898354712938,1818.0901014975032,0
8,3.507510598203805e-05,-7.131923313236817,1818.0933169650139,1834.8223562696173,1851.56987783502,1868.3023592573993,1985.4725195156632,2002.1977213255007,2018.9261636282063,2403.8888002655663,2587.987654034898,2604.7250530531364,2721.8835090541506,2738.6171595072824,2755.353116181976,2922.7329355397164,2939.4625634928766,2956.1945948898515,-3.4237039045929505,0.032591495313682745,0.31317470820561666,0.20021160119432047,0.3909955638542286,-1.578098727309455,0.2063670855533722,16.736862329121806,1818.092629962122,0
9,3.664577095859639e-05,-7.134120445828028,1818.0936827191267,1834.8227111226277,1851.5676256964102,1868.296963671123,1985.4670033218051,2002.1985390010823,2018.9274886816413,2403.888019487144,2587.985058185266,2604.724120172063,2721.8819784595767,2738.61506105122,2755.354430788081,2922.7324120998064,2939.459303948003,2956.197610367965,-3.417598569726568,0.03279108597028631,0.5404765485397781,0.2979730702250316,0.28848613760145336,-1.5678338665976528,0.20849632441626173,16.736878733724726,1818.0909777311035,0
10,3.447871132819045e-05,-7.145755452226974,1818.0953362039513,1834.8267820395777,1851.5653917041598,1868.3017210074674,1985.4605974530248,2002.1922071022045,2018.9303363252652,2403.8853492750395,2587.9954989169664,2604.730193296609,2721.879553298217,2738.6247969621063,2755.3564012343563,2922.7240496636573,2939.4627720880394,2956.1997360535197,-3.42557174232642,0.03253067650645931,0.2126366369388818,0.3408800545480415,0.20345144368483314,-1.5765241040048934,0.20669229194716815,16.736907003640887,1818.091205605224,0
11,3.426682738469254e-05,-7.136083740115437,1818.0932781781478,1834.824508598823,1851.5682001086589,1868.3016241786079,1985.4643397213654,2002.1962860023434,2018.929390623132,2403.885472920984,2587.9848056687597,2604.7259512054325,2721.8823323731935,2738.619500571076,2755.3546730729,2922.7329473699565,2939.460440881152,2956.196579218863,-3.4188395023396674,0.032750419679568585,0.11946647736114753,0.19659293345178463,0.1900455927248743,-1.5905675978755334,0.2038098968330989,16.736880101169387,1818.0914522981316,0
12,2.088711026832996e-05,-7.140318656146336,1818.096286672978,1834.8250061375636,1851.5645249847328,1868.2964211013605,1985.4725593286178,2002.1940977631732,2018.9312583930573,2403.8861234228393,2587.9953257782477,2604.730883302086,2721.879358287097,2738.622390434495,2755.3583871722617,2922.7316291574534,2939.4615976935997,2956.1905035822606,-3.4359914354317658,0.0321934766510672,0.4029967970918031,0.28242478486302924,0.2251026343330178,-1.5737234178903212,0.20727198356743204,16.736884440973764,1818.0923091358009,0
13,3.962089012626987e-05,-7.146475398825693,1818.0936556991735,1834.8278663042734,1851.5607620385324,1868.3011381898918,1985.4620251094152,2002.1950940632657,2018.9290095928982,2403.8856848812657,2587.985175768764,2604.7252898030047,2721.880440770344,2738.622083094561,2755.35408294297,2922.7271292229802,2939.4626378496164,2956.192300609625,-3.432587024559596,0.03230326324629459,0.21331909259853057,0.33198745481373715,0.3217891651397591,-1.5741865542705133,0.20717601059724985,16.736875450039726,1818.090610066838,0
14,3.7984502791035674e-05,-7.130992016818741,1818.09432443707,1834.822218304894,1851.5697669476028,1868.3004573685664,1985.4644432395837,2002.195437740957,2018.9300492595125,2403.8853127915722,2587.9887326362477,2604.7287829508773,2721.8826962714224,2738.6201373628946,2755.358019181945,2922.728910781647,2939.461685515982,2956.2025426329374,-3.4327655244240898,0.03229749763277834,0.2487200712325867,0.29009028481537813,0.2187902192170872,-1.5901703787956953,0.2038908700937782,16.736910918082867,1818.091249880347,0
15,2.742207324535588e-05,-7.135255216920503,1818.0938258043068,1834.8258882938528,1851.5601410454108,1868.2999592700519,1985.461166177874,2002.1947189385216,2018.9301673723069,2403.8864753447806,2587.989473650797,2604.7247764419394,2721.878792841763,2738.619337418975,2755.353544750094,2922.728062373246,2939.459684030184,2956.19444626126,-3.391852012931475,0.033646305767950135,0.6978473616167282,0.3483763707881842,0.2647710145387061,-1.5460822873834248,0.21308113136189916,16.73688156586619,1818.0901615880423,0
