,value,err_upper,err_lower,units
PERIOD,9.237884219867512,2.641456772423112e-05,-2.7219248346810332e-05,days
T0,1685.9770372374219,0.0022626230345395015,-0.0017544431636906666,days
ROR,0.024503489765000677,0.0013652294215997715,-0.0009735048177064443,
IMPACT,0.5303300308767414,0.18852199161410976,-0.33398783434754237,
DUR14,0.1133913786180836,0.003261869377046353,-0.0030559993171498517,days
ECC,0.2637453452733869,0.30161162415232545,-0.1620166784382524,
OMEGA,86.889459591034,122.99073237445518,-118.43297323108041,deg
R_PL,2.279417262880087,0.12941684681220833,-0.09876294726633894,R_earth
