,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,TTS_0_14,TTS_0_15,TTS_0_16,TTS_0_17,TTS_0_18,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
0,3.090825887636836e-05,-6.924777410299039,1693.246848430527,1740.3209725756315,1787.4124292030385,1810.9425382140419,1834.486114962857,1858.040262154015,1952.193854768757,1975.7394449214714,1999.2763199321334,2399.470056965998,2587.7923526397713,2658.4156702345513,2729.0341269018636,2752.5760656410193,2776.1186851699645,2870.278240921827,2893.8185601168843,2917.3632952577063,2940.904311332648,-3.543842039664237,0.028902070591537994,0.6031336137852354,0.45136640199600686,0.12620877919480278,-1.72707320203254,0.1778040456840765,23.540684677662636,1693.246366565092,0
1,1.5541216244649807e-05,-6.932553417755183,1693.2470521725993,1740.3141451290944,1787.4096348749842,1810.9405204333946,1834.4964367573755,1858.032855390118,1952.1884396638488,1975.7377164207312,1999.2708085099625,2399.4779965927655,2587.7870341427124,2658.416593052033,2729.035325662734,2752.5788995184143,2776.1184937692346,2870.293553706214,2893.8098444459556,2917.359000146327,2940.9042211935257,-3.5541185001874664,0.028606580500638655,0.257524851533758,0.33247847807457687,0.3562385099852676,-1.7340005238545042,0.17657659621566438,23.54074691416681,1693.244086597734,0
2,1.5153427632389662e-05,-6.925352483454842,1693.2466148296976,1740.3242936601362,1787.408723241983,1810.9412638224433,1834.4960789342847,1858.0339851806125,1952.1858106966922,1975.7328694692658,1999.27214275221,2399.481880972217,2587.790015599101,2658.4154421729654,2729.026557636554,2752.5791953623207,2776.1185518178017,2870.283963983099,2893.812298672365,2917.3571796460574,2940.9021187696912,-3.558151622547667,0.0284914390071137,0.13341607855986595,0.2947078764694997,0.2678289265375928,-1.737352895959205,0.17598563687143123,23.54067657283729,1693.245470266973,0
3,1.7768488754170707e-05,-6.929181934327473,1693.2472676307502,1740.312463003303,1787.405105598746,1810.9436222698566,1834.4931261547572,1858.0282530975978,1952.191420038278,1975.7342464528465,1999.2787157013906,2399.468396132154,2587.7900567825604,2658.416396199255,2729.0264583698804,2752.57461423689,2776.1174363257355,2870.278635008707,2893.8141813736524,2917.3565441289206,2940.905002122473,-3.5837931409445485,0.027770162086156333,0.2955214557556214,0.3892262025362061,0.2980433638664197,-1.7314146247363817,0.17703379636205724,23.54069358419274,1693.2435901415504,0
4,2.1337233633581207e-05,-6.925737185450363,1693.253147430393,1740.3213508334086,1787.4040126461034,1810.939669457086,1834.4871466156396,1858.0323382668673,1952.1932541705173,1975.73416261063,1999.272929845865,2399.475388025987,2587.7927037927675,2658.415452212733,2729.033432684853,2752.5776847995558,2776.1170020666827,2870.28188862331,2893.807786582008,2917.357087515717,2940.904358533584,-3.5727333882113976,0.02807899788797865,0.36555414755593113,0.35113268997779756,0.31717231658389533,-1.729950153252185,0.17729324724140588,23.540687204687117,1693.2447538064878,0
5,1.2695491915166003e-05,-6.918597537259266,1693.248183062624,1740.3215760396051,1787.4034965145272,1810.942644830135,1834.4921098885964,1858.0315798601264,1952.1831566222013,1975.7352099951645,1999.2747024816497,2399.4647102776253,2587.7847543465195,2658.415821555189,2729.032172084132,2752.573351216409,2776.122588189577,2870.277466818168,2893.8241490630885,2917.362972256264,2940.9023564701215,-3.56081417016761,0.028415680094608226,0.40444783267323003,0.25809327236888935,0.21702548125544352,-1.7298768167916938,0.17730624977740173,23.54073779675823,1693.2429855381586,0
6,1.3978047653494515e-05,-6.932282038857382,1693.2441549857117,1740.323660327834,1787.4004091355116,1810.9410746128676,1834.4925181204774,1858.0295626193554,1952.1924024964783,1975.7340979812143,1999.2704581406153,2399.47546568449,2587.791729833288,2658.41306014798,2729.028522447129,2752.5756760882446,2776.12051249444,2870.2813919037776,2893.8117023370455,2917.3561075261177,2940.9045041267495,-3.5830049743190013,0.027792058228869633,0.21740029532623048,0.4695003683233674,0.2093899487745987,-1.728934056716015,0.17747348585021996,23.54071245955926,1693.2433503491638,0
7,1.467709520496709e-05,-6.932897887264602,1693.2445773258569,1740.3230524599708,1787.4017809253698,1810.9410187698697,1834.4931092244824,1858.0289944083424,1952.1924733838362,1975.7345393073015,1999.2708076242125,2399.4750331348114,2587.7922273643585,2658.4114771577833,2729.028350795128,2752.5759822553364,2776.1205676805816,2870.28172142876,2893.811629828983,2917.355950004461,2940.9050074198617,-3.5796685484351856,0.027884939230437257,0.19661510289732476,0.46325946128553586,0.1960984453328578,-1.7327125428916585,0.17680417003398696,23.54070727150309,1693.2435574754063,0
8,1.151353469268473e-05,-6.929340802236621,1693.2475029327622,1740.3226706821165,1787.4031033707133,1810.9383960535984,1834.4952341503742,1858.0271056835509,1952.1919877397465,1975.7345420170395,1999.2688990689862,2399.465200307716,2587.7927688308223,2658.4138059157654,2729.0295633456726,2752.575237328963,2776.1167862831708,2870.283365555497,2893.8127652653375,2917.3556836545204,2940.902558212517,-3.5908238891418742,0.027575601822688988,0.12131010491342466,0.44559025958406995,0.27618583831433097,-1.7273130861032724,0.17776139844120672,23.540697104390645,1693.2432449031382,0
9,1.0479257128818404e-05,-6.919719137714702,1693.245950271376,1740.3246770506573,1787.4043951058768,1810.958163497107,1834.4944019766199,1858.037014642035,1952.1947110669025,1975.7323928606527,1999.270550132328,2399.4778253256422,2587.797020307194,2658.4177842853487,2729.0279339835915,2752.580253454478,2776.119170035323,2870.2763142572508,2893.8133890708973,2917.3625821782452,2940.894798452693,-3.5935422130020047,0.027500744196028597,0.41330267158348594,0.351884076792917,0.3082651158276686,-1.7086266278259905,0.18111435931215425,23.540617000697885,1693.2481398735938,0
