,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
0,1.0806682953872415e-05,-6.90176663908822,1717.4550375165768,1727.0643529568913,1871.2948170581947,1880.9313143417953,1890.5465574000946,1909.7718250102434,1919.3937244578958,2428.9001139390616,2438.5155306127112,2611.5988087965843,2621.2179039088624,2630.827146280036,2650.06966517079,2659.6875996005433,-3.458955248702821,0.03146261546185697,0.7523665755289387,0.41072362348247626,0.1922231307871276,-2.1081561548916063,0.12146171668175042,9.61427900551062,1717.4719851491539,0
1,1.6268152635325346e-05,-6.898373544304162,1717.4556022749316,1727.0724869176586,1871.2942394212967,1880.9347659469834,1890.545666736719,1909.7742172335782,1919.3951451223836,2428.8991290426466,2438.5199208642553,2611.600885801377,2621.2168929537092,2630.8264659406505,2650.073830222231,2659.6831263993477,-3.4781585623250355,0.03086419322448327,0.7681465842509357,0.3922369381152424,0.16734494036116287,-2.1144352057283835,0.12070144178824849,9.614253383267584,1717.4745851648843,0
2,-7.655065777905184e-06,-6.884120876017088,1717.4553362697523,1727.061721670769,1871.2988030985643,1880.9371590861456,1890.54593559116,1909.7860839751675,1919.402621498353,2428.91071359205,2438.5176225979176,2611.6004836462107,2621.216918222771,2630.8249852434774,2650.0712939625164,2659.6780500066843,-3.5547260114085293,0.02858920695983311,0.34062776957317065,0.23037427795351428,0.31423240742045144,-2.212233908003347,0.10945586087715035,9.61422906152046,1717.476930944881,0
3,-1.4551527077240752e-05,-6.886465017079531,1717.4532571699174,1727.0653940434731,1871.3018250374662,1880.937417405412,1890.544901834569,1909.7853139143315,1919.4015502055836,2428.908561811131,2438.518143806856,2611.6006894045813,2621.21746722929,2630.825359598692,2650.0676698142584,2659.677302622216,-3.57080629476636,0.0281331609125946,0.20692655622736825,0.24319394480051382,0.33962839592823046,-2.2081297611318655,0.10990600690698905,9.614215465362019,1717.477423878749,0
4,-1.7422085802688444e-05,-6.900920233217069,1717.4536673066916,1727.0618328039075,1871.2927840732552,1880.9357703660826,1890.5450667271489,1909.7774562067573,1919.3996363291435,2428.9075694330404,2438.523588665052,2611.6018063189526,2621.2178798557225,2630.8307383584142,2650.069630239539,2659.677951557215,-3.5342824665070465,0.029179686882201537,0.5914893200721875,0.16856772283205768,0.32772797892262107,-2.167644995893514,0.11444682253328461,9.614278913566238,1717.4734885276284,0
5,-4.240900830731585e-06,-6.892825043879385,1717.4537589903923,1727.0579941006379,1871.2892292111928,1880.935425962426,1890.5420670389894,1909.772452360133,1919.3989975781558,2428.9107431477146,2438.5177031387148,2611.6019291582934,2621.2203139987814,2630.8266845126564,2650.075625238914,2659.6766853004397,-3.4956361144479446,0.030329449298145808,0.8198378919573057,0.11922814219722278,0.34542101160806515,-2.1441831698509595,0.11716370081147869,9.614310757293595,1717.4707268030968,0
6,-1.8084520270554986e-05,-6.896332707415166,1717.4583656422967,1727.054819305729,1871.2930629003129,1880.9319745781909,1890.5401684764022,1909.7837769544556,1919.4023064681096,2428.8970646012162,2438.5157741038934,2611.5970604420177,2621.217996963298,2630.836283686909,2650.0729429159987,2659.6690293706165,-3.5974038371925148,0.027394751440792883,0.3347999102809375,0.3808536218593275,0.2611750560889572,-2.118489914749115,0.1202130234297365,9.614254549080174,1717.4729718300573,0
7,5.4409257159276e-06,-6.881524891089409,1717.453605686056,1727.077615905086,1871.291307854421,1880.9348547410264,1890.5470494409612,1909.7811558036972,1919.395249519207,2428.9064325138875,2438.5257497330053,2611.597860837588,2621.2134504483097,2630.8209778209734,2650.0786596803,2659.671293665267,-3.438620828482033,0.03210893853796645,0.80522205945025,0.44348540059550223,0.3375935830181087,-2.098843254011395,0.12259816119384388,9.614213092660645,1717.4768607161993,0
8,-1.8752818630984685e-05,-6.876007264979465,1717.4543925075104,1727.073194934394,1871.2903348631053,1880.9250560868527,1890.5481675970257,1909.7805829726212,1919.4018073532222,2428.906025735847,2438.5180201385583,2611.6008120694337,2621.220106172379,2630.8356343765904,2650.069324109315,2659.670790942019,-3.5897043908788984,0.027606489947405038,0.2387301436788192,0.3211481964727769,0.2825522230811379,-2.1557228420869587,0.11581944118114458,9.61424764419202,1717.4750138346296,0
9,-5.460292131001913e-06,-6.88805640116944,1717.458597873704,1727.0649460309078,1871.2875100259025,1880.9371281912736,1890.545314725696,1909.7789507432053,1919.3982144629165,2428.9042098429745,2438.523090958961,2611.596300781269,2621.2154730046673,2630.8289329023596,2650.078053001353,2659.6712004145143,-3.549883035023641,0.02872799962753327,0.0300854991621268,0.19427535116191086,0.3213914687427004,-2.180311292243996,0.11300634716516768,9.614245697490304,1717.4746618902984,0
10,1.4544043409679922e-05,-6.888244300326645,1717.4575943126838,1727.0764498990407,1871.2884432108085,1880.9333958796185,1890.54511538992,1909.7811392282374,1919.40141685016,2428.901149918218,2438.5182465793246,2611.598276795496,2621.219573811678,2630.833064150905,2650.081638712913,2659.668241622281,-3.534946586470224,0.029160314503127657,0.05251644956178266,0.3300166476384834,0.18220627033136716,-2.171559976808886,0.11399964133134236,9.61423110451636,1717.476541586716,0
11,1.1986611355478518e-05,-6.888243603482609,1717.4486191870208,1727.07951081999,1871.2896178280264,1880.9376018530418,1890.5479807896131,1909.7800689383505,1919.3989400334422,2428.9087446295703,2438.5207095885617,2611.5989357830517,2621.217393335567,2630.8251867678746,2650.079061286117,2659.6702830569598,-3.554156636424296,0.028605489574111853,0.18178693443144162,0.19166796602436698,0.38502481276514566,-2.1660957197888133,0.11462426968251521,9.614227945813683,1717.47662577551,0
12,6.058521854398469e-06,-6.891246623029685,1717.4596270301408,1727.080761034796,1871.2895095132496,1880.934040543117,1890.5471449344511,1909.772771130662,1919.4015241758632,2428.9042455177323,2438.517348233506,2611.5979272878367,2621.2179375450546,2630.822693363675,2650.0834166892682,2659.6686446177737,-3.5593296338443214,0.028457895531281155,0.25139272001599294,0.3958992486549797,0.354390814016996,-2.164639999506847,0.11479125206703159,9.614204105050506,1717.4774885775582,0
13,-1.4743036744158874e-05,-6.886107081626656,1717.4560751454487,1727.0659715754293,1871.294988992165,1880.930870632407,1890.5425558232419,1909.7916225663507,1919.3969158085542,2428.9081489068303,2438.51924314626,2611.5996142043286,2621.21803705218,2630.834341929169,2650.069731452393,2659.6697077761232,-3.577411552596572,0.027947946499065148,0.13716673373442867,0.31003429669583626,0.22324781482949096,-2.1324407019229765,0.11854760111140668,9.614236109854158,1717.4758615732662,0
14,-1.5252524685809317e-05,-6.8911040344211365,1717.4532241993197,1727.0810122312055,1871.2902592380542,1880.9387388208365,1890.5481686183284,1909.792896291616,1919.3972244869653,2428.898566172314,2438.52297091637,2611.5961135474995,2621.215544797014,2630.8256935410764,2650.0800859605033,2659.681023064478,-3.5524517780883653,0.028654299476627905,0.4302183592301059,0.3328941925757807,0.38737900444746054,-2.1977743071918967,0.11105004680201058,9.614203013034135,1717.479253965289,0
15,-8.675167948322073e-06,-6.891652352893887,1717.4524404661943,1727.0710029121683,1871.2906852655578,1880.9341152128904,1890.544246047628,1909.7925079615775,1919.400748303736,2428.8975387006863,2438.5248650735925,2611.5984718771965,2621.2145351683416,2630.8329652425186,2650.0835494008074,2659.6817531657043,-3.5021445131115896,0.030132694125947594,0.4246238353870563,0.275077906106973,0.2833999582318534,-2.164159810821145,0.11484638676396113,9.61426421552235,1717.4759609884318,0
