,value,err_upper,err_lower,units
PERIOD,25.839744533336727,0.002886688930040293,-0.0027722132357830276,days
T0,1752.3213481840323,0.00201570767035264,-0.0021193125573972793,days
ROR,0.05650607955511808,0.00152561649966447,-0.0012171325144157905,
IMPACT,0.28865289435049485,0.27572196307368885,-0.19733604821408696,
DUR14,0.2374832415462317,0.006098804009173425,-0.004746399113883304,days
ECC,0.17603648940008976,0.3420326091366127,-0.14190354803655725,
OMEGA,79.30667472255064,149.87698953665858,-130.6841465274195,deg
R_PL,6.31304890695442,0.20168999234554974,-0.1760413299919783,R_earth
