,15th,50th,85th
MEAN,-7.808175604032347e-06,-1.3589024858332115e-06,4.6864214760241406e-06
LN_SIGLC,-6.632105429606965,-6.629051877992752,-6.626086200090548
T0,1739.070690628637,1739.071727348907,1739.0726788536792
LN_PER,-0.8259634527091145,-0.825958640632668,-0.8259566449878589
LN_ROR,-4.161929158099135,-4.121649272124207,-4.075894278124923
ROR,0.015577477497488184,0.016217744898308517,0.016977025703684995
IMPACT,0.09384992238674501,0.31612306427780795,0.6233492142693007
PERIOD,0.43781297710279643,0.43781508389738055,0.4378159576216519
LD_U1,0.32626841306717447,0.423694536421531,0.5174562869138151
LD_U2,0.14945213747383157,0.25749315868861844,0.3590377035679517
LN_DUR14,-2.9639692049967357,-2.9275406972486286,-2.894683453803962
DUR14,0.05161364492108013,0.053528519237660555,0.05531653256154454
ECC,0.11044974923805699,0.2995020268185643,0.648479379406492
OMEGA,-57.632772216711686,96.26338210783271,237.3097322495771
