,MEAN,LN_SIGLC,T0_0,LN_PER_0,LN_ROR_0,ROR_0,IMPACT_0,PERIOD_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,QUALITY
2274,4.6479960541850716e-05,-6.360922066002299,1684.9476896636195,1.8563469673381479,-3.461877577401013,0.031370805572447966,0.6341954280387384,6.400313460300245,0.3548206958069704,0.3139440541466978,-2.3994263071095263,0.09077001246581483,0
2275,2.4579786174681975e-05,-6.361760431723499,1684.9471439125143,1.8563470296364488,-3.553050968836924,0.02863713522831802,0.22844609261108412,6.400313859028911,0.580043099384463,0.23450867111861418,-2.3730154638150385,0.09319926311483465,0
2276,5.8709349134240923e-05,-6.357041002108329,1684.9474424766397,1.856347644103806,-3.511126183576775,0.02986326397474667,0.08294280407626964,6.400317791814062,0.4352773943663,0.1881834156800697,-2.40103577766008,0.09062403830594433,0
2277,2.2859534411765386e-05,-6.361836593587508,1684.9471727244375,1.8563478874717283,-3.552894022696831,0.028641630068870137,0.052255086184405726,6.400319349446294,0.5275404557024641,0.26169203492640225,-2.388906336245622,0.09172995076072066,0
2278,6.174150198140338e-05,-6.355643148925904,1684.9474720738078,1.8563471248568204,-3.5156137218979198,0.029729551677186637,0.11101397447535785,6.400314468469204,0.46622759680001624,0.2057987139089963,-2.3856002747842004,0.09203371747482028,0
2279,1.0630957269383783e-05,-6.361968738648601,1684.9472273447889,1.8563484064806717,-3.500905836721739,0.03017004190885716,0.514889996909484,6.400322671270139,0.5410629368852291,0.17624903758360788,-2.379338518088287,0.09261181829588787,0
2280,4.9814314245099114e-05,-6.360689103073561,1684.9467337829565,1.8563485518927556,-3.5040910790751894,0.03007409590032919,0.37709886809148,6.400323601954464,0.436231470550557,0.24761654880377693,-2.3837781431469898,0.09220156789946488,0
2281,4.788879809795607e-05,-6.361651878660015,1684.9465299272483,1.856349445875817,-3.5151055333691836,0.02974466373387515,0.30863084565909726,6.400329323737909,0.4608391655688244,0.22373339823673644,-2.3743489976083816,0.09307506157983415,0
2282,4.694106738539323e-05,-6.3606958123216115,1684.945707979956,1.8563497171892482,-3.5509596308805693,0.028697087824901473,0.11633045847932447,6.400331060233454,0.51300620453731,0.23491702732923336,-2.3767525178674007,0.09285162241156701,0
2283,4.7203568767767274e-05,-6.36191697483371,1684.946832017769,1.8563489987451751,-3.4984706618540162,0.030243600764659425,0.6347593091988537,6.40032646195519,0.5496170130349303,0.22624945280145536,-2.36395547463215,0.09404748406475978,0
2284,4.0077600668754396e-05,-6.35939556622362,1684.9480068046428,1.8563463191870246,-3.5242958734160172,0.02947255247235445,0.015932680772070308,6.40030931193123,0.4071952933811107,0.2339569370172747,-2.4052236188271245,0.09024531280223819,0
2285,4.213718778606285e-05,-6.364601516933189,1684.946105969694,1.8563500711075234,-3.546360594532256,0.028829370728679256,0.030058661625934773,6.400333325427985,0.5336553587488049,0.41888260530751964,-2.372263429665038,0.0932693785047312,0
2286,3.999610397319752e-05,-6.361994164267282,1684.9463632990878,1.856349787673292,-3.545318575704426,0.02885942713272287,0.032747533268688664,6.400331511354684,0.5131210010107374,0.38892854008425704,-2.3655342070708576,0.09389912539102734,0
2287,4.100212827405343e-05,-6.360652352730934,1684.9455771729151,1.8563497342218351,-3.5626269590086657,0.028364215128473563,0.05104220881345692,6.40033116924765,0.5953029837567823,0.2529088222587399,-2.3681910404277633,0.09364998217506117,0
2288,4.0570663108808714e-05,-6.361095977357314,1684.945527232743,1.8563501984707158,-3.564682911844255,0.02830595954583631,0.062265106697346966,6.4003341405949215,0.59133565147347,0.2662565129959047,-2.3727186839423267,0.09322692688510077,0
2289,3.74712818039143e-05,-6.364003649216444,1684.9487807738276,1.8563460909705851,-3.5069508311068933,0.029988214302043754,0.04660266735620153,6.400307851275594,0.4112846689070606,0.1804914112622933,-2.415869893040406,0.08928963269853707,0
2290,3.4172055555457936e-05,-6.361745906810367,1684.946090061704,1.8563497087231862,-3.535045084075978,0.029157442423414878,0.18753791356365665,6.400331006047855,0.5047336845607142,0.32408061236141816,-2.3902087935737133,0.09161055418549773,0
2291,3.1929665804686244e-05,-6.361789949224628,1684.9463705404269,1.8563495877961051,-3.548376533813461,0.028771311009871722,0.19571738029270902,6.400330232074555,0.5162846775087246,0.3489928949192769,-2.383294387751854,0.09224618169558847,0
2292,5.4822674732779785e-05,-6.358436573577674,1684.947568742158,1.8563474360122187,-3.4716033255939696,0.031067179903570417,0.5884383265536028,6.400316459961911,0.4171421178215966,0.2789107810255489,-2.3877741843732854,0.09183386180666721,0
2293,3.0402465278034296e-05,-6.362647785468747,1684.947814814711,1.8563466948780882,-3.4804686120373947,0.03079297769118309,0.5627060435306032,6.400311716470695,0.57977936240668,0.1524334991941474,-2.3726863380194563,0.09322994244485751,0
2294,5.55035980424488e-05,-6.355644411652672,1684.947610052589,1.856346235243884,-3.4925738389667615,0.030422468780037563,0.48115434551307035,6.400308774669188,0.458083799278441,0.19140038943916093,-2.3945944580278904,0.09120966076894925,0
2295,5.6248896570314526e-05,-6.355484872100664,1684.9476128917308,1.8563462244396256,-3.4650863615306466,0.03127030475833411,0.6569747484110309,6.400308705518599,0.36979030985684114,0.41899826170349486,-2.3701237481455184,0.09346915892727371,0
2296,4.173216391440275e-05,-6.358098281442635,1684.9477310117693,1.8563469934683996,-3.4943131716965894,0.030369599975915547,0.5211601686055828,6.400313627542048,0.4077797335228823,0.27561602894135206,-2.38753856031501,0.0918555026233216,0
2297,4.249817797666868e-05,-6.354523614796629,1684.946844288347,1.8563472754553072,-3.51958637063247,0.02961168089596153,0.26097257872818014,6.40031543234695,0.510135611085399,0.2746512020057479,-2.3769597791796238,0.09283237985665142,0
2298,6.0666164167119845e-05,-6.35387356376037,1684.94831523558,1.856346046388744,-3.4808345112411074,0.03078171262623077,0.4949532800190503,6.400307565938093,0.4074118334026917,0.1357177267790617,-2.3986704578303697,0.09083864684966332,0
2299,5.2266630450992075e-05,-6.354230480935709,1684.9481432360685,1.8563460831266834,-3.462995174374376,0.0313357652392206,0.6460280847502501,6.400307801072208,0.4263767699746879,0.16415454332070878,-2.3839049832381987,0.09218987378583982,0
2300,3.876599095324855e-05,-6.358973484220798,1684.9473840118287,1.856347846819722,-3.513961568910278,0.029778710042199234,0.14298139669473559,6.400319089260477,0.5224499713487263,0.18984973984780296,-2.384283288297398,0.09215500448621178,0
