,value,err_upper,err_lower,units
PERIOD,0.43781466475879194,1.3615124841437343e-06,-2.8767714609356787e-06,days
T0,1738.6342095589184,0.0010136712539861037,-0.0009321557763541932,days
ROR,0.0160602076482827,0.0007055735039534008,-0.0006027117432763716,
IMPACT,0.3036597968223348,0.27336462622426694,-0.2134048039020951,
DUR14,0.0533381672436862,0.001735489099112697,-0.0019266153022893043,days
ECC,0.298975874555519,0.35659977464694825,-0.18455086668663623,
OMEGA,75.07377328390685,168.90684557066106,-138.82969909739649,deg
R_PL,1.3858023736775316,0.06370377441086683,-0.05551706473175666,R_earth
