,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,TTS_0_14,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
3679,4.0866836654599535e-05,-6.284108624069996,1700.724303114966,1738.6311662283395,1852.3992456829176,1890.3293725956646,1966.148340010564,2004.0639932880465,2421.2340454397586,2648.819842491048,2686.7682880450516,2724.647073482671,2762.6015118935534,2800.546267709517,2838.501671108441,2876.3786967428505,2914.311333692649,-3.303083045525411,0.036769630027399476,0.37512856788065285,0.340412084398235,0.1680271357643297,-1.9042077814155194,0.14894058939906277,37.92545101229979,1700.6921650787,0
3680,2.7085993738000114e-05,-6.277174351278648,1700.7353604002728,1738.6477683245776,1852.4012011712196,1890.3303683707438,1966.153691087303,2004.0690676043798,2421.241417541257,2648.822866225113,2686.7665206395186,2724.649588292064,2762.6054300534242,2800.5499241070793,2838.496827107516,2876.374330320144,2914.31451975694,-3.3384725918009206,0.03549112577920963,0.36517533494400783,0.39104358062870004,0.2786588870626261,-1.9237789683230895,0.14605398456493757,37.92517215903412,1700.7008035829508,0
3681,2.9194352951394767e-05,-6.2820487148349935,1700.744454559857,1738.6362200195101,1852.3971573007639,1890.3276138006152,1966.140256349981,2004.0717561158895,2421.2411193990806,2648.8307991248935,2686.759651252399,2724.6705115283326,2762.60466426039,2800.545490585409,2838.4910326764093,2876.3743302915937,2914.307003517623,-3.295038915247431,0.0370666025631222,0.515947569291396,0.1590805580813277,0.4599669080249571,-1.9351976115206238,0.1443957317438855,37.925268964137565,1700.6979268358216,0
3682,2.0187205009491257e-05,-6.276772092971692,1700.7423521571552,1738.6364967962547,1852.4027745052256,1890.322099791242,1966.1363426341472,2004.0712337495293,2421.23850176265,2648.830511258027,2686.7558397260923,2724.6682853559087,2762.605585148799,2800.5477305014642,2838.494677130598,2876.3746763158993,2914.3140122291697,-3.3223682588206196,0.036067313795654185,0.4694451991128942,0.21282592119776078,0.5639373240937293,-1.91360665171294,0.14754727416880944,37.925362959284044,1700.6961596091262,0
3683,-3.901852312634086e-06,-6.270141102999671,1700.7283555328695,1738.6408650462627,1852.397764925673,1890.3289155320404,1966.1547209508817,2004.0681371927626,2421.2351303794912,2648.8293786094277,2686.748389684963,2724.655834441751,2762.6085645658895,2800.549906138731,2838.488087664394,2876.376660556243,2914.316025068983,-3.3350859545249354,0.03561152510809302,0.254855776897332,0.33720162323324043,0.37894699616731886,-1.9435716033123132,0.14319161175340686,37.92528554807978,1700.6966044808453,0
3684,3.7555767612938127e-05,-6.288441267002932,1700.723829888304,1738.6437967962015,1852.4070685078095,1890.3299031013764,1966.1384435037824,2004.069115702029,2421.246220219406,2648.8292070878115,2686.760219635963,2724.6748965592155,2762.6067836916304,2800.5484267349325,2838.491169160148,2876.3762735065548,2914.326048480387,-3.2664841116398167,0.038140288612957596,0.7046175621806078,0.38892171169510603,0.12448452832346413,-1.91723315387317,0.14701316272381929,37.92550503154681,1700.695602266321,0
3685,-7.936547167892431e-06,-6.269305301573962,1700.7309587021502,1738.6431932547875,1852.3893351162035,1890.3286712474599,1966.151718236983,2004.0617774821637,2421.2407788511314,2648.823828197136,2686.7538695761323,2724.658349460809,2762.6036953785497,2800.546336310396,2838.505533252974,2876.373488177001,2914.3118959479934,-3.27466029242816,0.03782971808844938,0.6334808427045073,0.46246237257002165,0.43057483510189765,-1.9017133395827766,0.14931257679342916,37.92537380430435,1700.694783628074,0
3686,5.399583402383348e-07,-6.27896326999241,1700.737104942849,1738.6475453529465,1852.399584289281,1890.3296374216352,1966.1516204258699,2004.0536583840146,2421.2324579369756,2648.8265461518913,2686.7553944461074,2724.654202741767,2762.6011391380916,2800.5469919721095,2838.4796165592916,2876.3732204673424,2914.3049437946343,-3.2208080815006497,0.03992278435894378,0.8668447266654257,0.27289728364589916,0.3157088751206574,-1.9048267822737956,0.14884842357469763,37.92504466285799,1700.6987677151612,0
3687,3.6432087033381525e-05,-6.281554931471367,1700.719606242483,1738.6385651863268,1852.4010273975164,1890.3245811120723,1966.1450336462472,2004.0675835521147,2421.2467043512675,2648.8274412371234,2686.7578093654492,2724.6560576059073,2762.598718390901,2800.5485015311037,2838.5195990765915,2876.376378006502,2914.330004516656,-3.258500827649232,0.038445992003318816,0.74207662502189,0.5182647623763403,0.2563396224376071,-1.836214666539239,0.15941974228871064,37.9256843174109,1700.6914317921667,0
3688,-4.7017159304623235e-06,-6.2785190633696155,1700.729022034312,1738.651430140102,1852.3956877108753,1890.3165146777576,1966.151389606832,2004.0649588749664,2421.2305175240526,2648.827195660522,2686.7521599003385,2724.64570578061,2762.6013547246216,2800.5436307016757,2838.5087695634493,2876.3752194243907,2914.317377858792,-3.272825387151017,0.03789919576078293,0.5343148948640619,0.29929417252044543,0.3223424969147748,-1.9339078937788297,0.1445820816244978,37.92533055965765,1700.694734797095,0
3689,2.7299800516344755e-05,-6.278118559141209,1700.7332308117486,1738.6466902746436,1852.396888466342,1890.3234048827471,1966.1470176552214,2004.0658079072957,2421.2511821085623,2648.821017221551,2686.7511124410503,2724.6664848747128,2762.6025878135592,2800.554799057908,2838.5027517271865,2876.374709618519,2914.307379755156,-3.319874661276548,0.036157363387816305,0.09762266882217714,0.35707559572129743,0.23766655686813887,-1.993422208157925,0.13622842478791672,37.925333338927224,1700.6969597618663,0
3690,1.2444542023854127e-05,-6.2783489453963215,1700.7336270288158,1738.6438776908853,1852.396537768701,1890.321216806591,1966.1369759954325,2004.0610625294269,2421.254375884319,2648.8216603835813,2686.747059318336,2724.662249229277,2762.6043626854507,2800.555589526624,2838.508035125608,2876.3721942187,2914.3045202135477,-3.277089653612852,0.03773792758098949,0.0697016426984665,0.27208603826954825,0.24838609335218842,-2.0177732333168885,0.13295118697973707,37.925422382984856,1700.6938970822266,0
