,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
0,1.0335890478114689e-05,-7.4597390244888295,1843.855007877078,1851.9188898433715,1860.0182391612852,1868.1264012626882,2587.4554180127866,2603.593420743853,2943.0442025250504,2959.2270067063623,-3.871190660445713,0.020833548969078,0.18243869388438597,0.38545697794426514,0.2893035229562557,-1.9419161652060897,0.14342885291884835,8.082361840008689,1843.857246086054,0
1,1.3329931880971083e-05,-7.464294676807258,1843.8482710201797,1851.9178761750077,1860.0197661587927,1868.126615962368,2587.4532681832147,2603.595899880388,2943.0423583088855,2959.224200831951,-3.8344279402560675,0.021613699261548165,0.18479501003615048,0.36611197788821537,0.2834154636223387,-1.9351969513644105,0.14439582706765644,8.082361898283024,1843.8559514901126,0
2,8.133084030225639e-06,-7.4678947833740645,1843.8516052428997,1851.943115911831,1860.0169990788052,1868.1294846127264,2587.4356869885623,2603.59395022913,2943.049058068665,2959.2271452768196,-3.899823263453694,0.020245489247478793,0.23379337315804546,0.18570411029153666,0.32472533944815174,-1.9390744112825389,0.14383702210789506,8.08230598324882,1843.8615571519358,0
3,1.469402510476151e-05,-7.473527715550738,1843.8474809330996,1851.9266092748164,1860.0203457308412,1868.1229024828617,2587.4294800994785,2603.5991765627405,2943.0531427322694,2959.2190183717557,-3.786589453831337,0.022672796758014355,0.6241452639452882,0.41586232799121103,0.2035163632543351,-1.9636068423533424,0.14035128193761826,8.082342341910998,1843.8558281071669,0
4,1.151252198086772e-05,-7.459587244073528,1843.8436899762992,1851.9344633027492,1860.0170467805829,1868.1386275111988,2587.4290397541117,2603.594428699744,2943.0433076999316,2959.2246624751933,-3.7007044751377625,0.02470611549414322,0.850870318662822,0.46013661053112,0.13280408129051535,-1.9160435408629328,0.14718815556111245,8.08229141295152,1843.8596834705504,0
5,9.02906977887234e-07,-7.471642689237352,1843.8498724016263,1851.9271722949,1860.02508651185,1868.0959272835635,2587.429197944811,2603.5918975062295,2943.0498893119625,2959.21661803893,-3.855260180482796,0.021168095068384334,0.28660476840426835,0.23289570030901263,0.3261330505240332,-1.9744243516377706,0.13884121296024082,8.082354541551052,1843.8510556163849,0
6,1.571401510066469e-05,-7.452090292847127,1843.8455074784233,1851.920165283958,1860.0215651820954,1868.1216469363853,2587.430159753095,2603.5898598369004,2943.047180246267,2959.2243350727595,-3.858018459620844,0.021109788003911945,0.13827648185671726,0.24508048583198816,0.25316140504313345,-2.008348325312633,0.1342101632343256,8.082347211576636,1843.8533273993967,0
7,2.718476150149783e-06,-7.469051940553523,1843.8454780338031,1851.9282972503142,1860.02138819941,1868.0981297189362,2587.4335464892624,2603.599804370732,2943.0494587262015,2959.218236274236,-3.8621123170952854,0.021023544195888748,0.18801272740421784,0.321221488086336,0.305619570200395,-1.9813900167606837,0.13787745208011823,8.082383518030326,1843.8504524575953,0
8,1.5015760901162839e-05,-7.463498290506383,1843.8474594220693,1851.9341514268974,1860.0113733776807,1868.1109797062963,2587.435946319175,2603.5999632354014,2943.0491615736587,2959.2265680270225,-3.829587192727253,0.021718579367089787,0.4422096322465973,0.26938808056431873,0.361725594302162,-1.9576505227246717,0.1411897536569902,8.082388239580359,1843.8528354304692,0
9,2.652549073523872e-05,-7.462607555792107,1843.8477720337962,1851.933739674907,1860.0127180146953,1868.112383007846,2587.429164256912,2603.597845053263,2943.053854934046,2959.224234264601,-3.7553958349197183,0.02339118972673404,0.8122190430999204,0.31293495024636253,0.3243429993106175,-1.9186911127822102,0.14679897974640968,8.082378364502496,1843.8529241727379,0
