,MEAN,LN_SIGLC,TTS,TTS_1,TTS_2,TTS_3,TTS_4,TTS_5,TTS_6,TTS_7,LN_ROR,ROR,IMPACT,LD_U1,LD_U2,LN_DUR14,DUR14,PERIOD,T0,ECC,OMEGA
0,2.3166325001807626e-05,-7.462721574444701,1843.8430509785508,1851.9403861680862,1860.0209046449465,1868.1012374617928,2587.430182480513,2603.5973457113923,2943.0474529596636,2959.219532142165,-3.794866173832035,0.022485914819202847,0.0849738283277136,0.22081692076800596,0.13978014350022128,-1.9903445855134914,0.1366483302967738,8.082349260729545,1843.8531671308933,0.4008134780321779,37.63094155260443
1,1.3608523112090604e-05,-7.458843137349365,1843.8485796637278,1851.9397456403615,1860.0213528877982,1868.1007654538791,2587.4509083994585,2603.594099999287,2943.040933790955,2959.215793622782,-3.7521172966006295,0.023468004489848766,0.8008172718339847,0.25854555727701256,0.26698670132426505,-1.9335589745416457,0.14463253789619868,8.08233099776364,1843.8557418125492,0.4268648378851343,218.67334479875782
2,1.6269767708725407e-05,-7.473712909674549,1843.8544387048269,1851.9396339849113,1860.021584736726,1868.128558093847,2587.4388986763975,2603.5958609272407,2943.051486030634,2959.228220438357,-3.8537071609754836,0.021200995073520523,0.14252554824513106,0.29207598244492017,0.3558573405607677,-1.9008116149886278,0.14944727633795848,8.082316043270351,1843.8624256786193,0.7689318787896897,-15.855242041740247
3,-2.4398272389482625e-06,-7.468660331240818,1843.849180184229,1851.93531576085,1860.0181131287852,1868.1070167043324,2587.4344406204195,2603.588820507886,2943.0546182710987,2959.216064622237,-3.8439323019793075,0.021409247974138266,0.4777818995853258,0.3135087997225081,0.37413145117597235,-1.9232712865456345,0.14612815233664597,8.082345308246223,1843.8538320196378,0.15644963972572132,121.10992775977459
4,1.6325463602837835e-05,-7.473373098001228,1843.8479929736884,1851.932199851066,1860.0268981451734,1868.1369431597093,2587.440189819403,2603.59368485698,2943.052027027721,2959.2311787585527,-3.8644954159276512,0.020973502662905562,0.004162483074010493,0.5292090130763911,0.26536200348893235,-1.9301488594053837,0.1451265934172035,8.08232624497054,1843.862135554503,0.5449100243762965,10.312792224814077
5,3.7238644951357634e-06,-7.457812863079371,1843.8525979639392,1851.9384823668252,1860.0166211610945,1868.1106990249464,2587.4325115363567,2603.5947632774755,2943.047518631024,2959.2222353046104,-3.9085041629168282,0.02007050081811773,0.08540451855551613,0.4188557978602381,0.37313972857205635,-1.9624331377571327,0.14051610959287866,8.082330423944374,1843.8561814635243,0.3417258889887964,132.5463731909157
6,5.026279858889289e-06,-7.465702627227803,1843.8524814478264,1851.9364681189452,1860.020872614223,1868.1446337559441,2587.4523172083505,2603.600282639219,2943.0523351862184,2959.2188398125727,-3.8710239279894023,0.02083702288747071,0.3540528052262439,0.36112170255919906,0.37699092165328874,-1.9173473889036359,0.1469963696298947,8.082293523961221,1843.8661810771712,0.522149689083563,182.77979994101526
7,1.6857916448140928e-05,-7.459657079191815,1843.8301098135653,1851.9360820282784,1860.0143238556673,1868.107086260848,2587.4467163316185,2603.6007863403156,2943.0483927449022,2959.2226994924144,-3.8976793451753555,0.02028894048323643,0.09024362197050276,0.5655335961714232,0.2623720326088186,-1.8813191866681398,0.15238894363804475,8.082423384858705,1843.8496124404317,0.7465819023737429,-14.315573881897574
8,-3.211141675565707e-06,-7.479485385456826,1843.8490542021154,1851.9351563813862,1860.0188722122637,1868.1263351365433,2587.4522908677395,2603.59508870304,2943.050132714891,2959.2216855658717,-3.822347182609592,0.02187639269715092,0.2902586496691,0.31341638005766126,0.3158226291589499,-1.9295130212500964,0.14521889978549063,8.08233926242045,1843.85981493699,0.24599821882715972,73.72763393333823
9,1.6921426979636336e-05,-7.451519629133799,1843.8526724618848,1851.9394138006412,1860.011989433829,1868.127032192409,2587.44455782996,2603.5924672294377,2943.053982834469,2959.226893080075,-3.864499002491012,0.020973427440244257,0.07741663122203389,0.31179605355189066,0.25448461459964644,-1.8612626669004915,0.1554761917346983,8.082348431889947,1843.8593299502488,0.45296623723868873,168.84241479523087
10,1.9418386755075847e-05,-7.469047446389255,1843.8489498552067,1851.9386987329467,1860.0134600012243,1868.1124593210968,2587.446087569484,2603.595830245148,2943.049124539129,2959.2088100181736,-3.8714879361780827,0.02082735658101931,0.06083179383776662,0.4709891563856574,0.3563392223175623,-1.9193301583218751,0.1467051984816164,8.082324332251186,1843.8562851816696,0.22054011893891767,94.978306381776
11,1.6590667499702737e-05,-7.476023000804553,1843.8531098975695,1851.9355401838084,1860.0165586424637,1868.1130391485563,2587.4539091748693,2603.600193072404,2943.0569564504394,2959.2237656054413,-3.8754364079116885,0.020745282492513516,0.0960427462268671,0.22197431664839673,0.3594570346873349,-1.93381977284794,0.14459482289349848,8.082394840917127,1843.8571345385214,0.2913138853483823,124.3782880741347
12,2.0054911744131123e-05,-7.4678521351765434,1843.847869281183,1851.9295857849272,1860.027544844768,1868.1148611308083,2587.4325420287323,2603.595570986345,2943.0529231249525,2959.229816770509,-3.6977373714445703,0.024779529960978236,0.9141490654000244,0.18812601937230378,0.30306898256354575,-1.8574239568691646,0.15607416674357738,8.082366335366332,1843.856000208939,0.8337545959113225,237.4200695899574
13,2.2147870655808967e-05,-7.464536979888939,1843.8289685648083,1851.9439310799312,1860.0124746831427,1868.1169566875872,2587.445002141942,2603.6013735358974,2943.037621438336,2959.2278777114107,-3.9094153210427773,0.020052221747032133,0.4416230800989902,0.5779453119782032,0.3026534503505911,-1.823701013992137,0.16142719966911231,8.082376990179279,1843.853316052439,0.5468608576542047,194.29980325141173
14,1.9252707209572264e-05,-7.458213536461593,1843.850327325706,1851.92910385777,1860.007719982157,1868.1280250318134,2587.443352004146,2603.5888597745484,2943.0532281342457,2959.220830059309,-3.7928135142679875,0.02253211815094543,0.6634997435638291,0.173413587232786,0.37809711993600326,-1.8883209335608966,0.1513256815153857,8.082355659869853,1843.8554635837936,0.1736381077918506,-32.66719975571384
