,value,err_upper,err_lower,units
PERIOD,52.56362778133962,0.00015995028554982582,-0.00016224249061735918,days
T0,1779.1904453689901,0.0014432660539114295,-0.0013942426544417685,days
ROR,0.03324348033973057,0.0006371253933820237,-0.0005428056724603655,
IMPACT,0.2721858017336152,0.19233080901801525,-0.1794488094486245,
DUR14,0.2748088804592819,0.002903626898230205,-0.0025183722511920026,days
ECC,0.1309648951663388,0.31238542850893436,-0.09783651782297687,
OMEGA,91.61138713802639,121.94005542274947,-124.5161821163035,deg
R_PL,3.4798816649390187,0.09193088973440844,-0.0843337275895073,R_earth
