,15th,50th,85th
MEAN,-6.528618787704229e-06,1.626715630212604e-05,4.107742923252799e-05
LN_SIGLC,-6.327748317839496,-6.319031743281146,-6.310725745463965
TTS,1713.0283086562317,1713.0308394879492,1713.0338764927271
TTS_1,1716.345431651409,1716.3472878853938,1716.3493572827545
TTS_2,1719.6610752147028,1719.6625031855851,1719.6643510953213
TTS_3,1726.2942158956305,1726.2963348835303,1726.298448680555
TTS_4,1729.60768241885,1729.6091167946654,1729.610606637485
TTS_5,1732.9255422287397,1732.9269895444927,1732.928850680171
TTS_6,1739.5587692297697,1739.5603587007154,1739.5624108146665
TTS_7,1742.8727087319153,1742.8742556440955,1742.8757685997994
TTS_8,1746.1908677791157,1746.192690125122,1746.1947239689503
TTS_9,1752.8203061229806,1752.8222655609381,1752.8240526690165
TTS_10,1756.136430511112,1756.1386425921041,1756.1401964185336
TTS_11,1759.4524482648428,1759.4561732715197,1759.4586853240824
TTS_12,1902.043338277204,1902.0460570612845,1902.0496832074293
TTS_13,1905.3586759131324,1905.360542309665,1905.3624936072667
TTS_14,1908.6738648741123,1908.6751494321522,1908.6765279863603
TTS_15,1911.987469874566,1911.9892193433654,1911.9909739898974
TTS_16,1918.6150829948426,1918.617746351605,1918.6200633367189
TTS_17,1921.9362535104015,1921.9388825480514,1921.941071098095
TTS_18,1925.2517313460414,1925.2543076935237,1925.2579734477038
TTS_19,2641.5030115140503,2641.5068878795423,2641.5096868041883
TTS_20,2644.818231672269,2644.820617468231,2644.8225156218264
TTS_21,2648.133567153354,2648.135541145538,2648.137249549762
TTS_22,2658.084507005325,2658.0863210723933,2658.0886750653453
TTS_23,2661.3989034277106,2661.401216295852,2661.4070152179834
LN_ROR,-3.077013251638708,-3.041832237305324,-2.989980661513823
ROR,0.046096730581351386,0.04774732486925415,0.050288409215895065
IMPACT,0.16218174525535492,0.5003004471319481,0.7448578237212082
LD_U1,0.2917042263021663,0.3763519471664103,0.4732305070074019
LD_U2,0.12229386983629098,0.22287587135896603,0.31957984461723643
LN_DUR14,-2.7577078977115974,-2.726437405290689,-2.6892482699791906
DUR14,0.06343700595286057,0.06545205394063858,0.06793198669622717
PERIOD,3.3159738913902945,3.315978900918486,3.3159844992876866
T0,1713.0309087484006,1713.03148983392,1713.0320697282543
ECC,0.1573711347954053,0.40471341625108925,0.6649777811481683
OMEGA,4.76616721160885,90.00200292536228,176.51091726005194
