,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,TTS_0_14,TTS_0_15,TTS_0_16,TTS_0_17,TTS_0_18,TTS_0_19,TTS_0_20,TTS_0_21,TTS_0_22,TTS_0_23,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
0,2.991442157652453e-05,-6.311306060903468,1713.0268806434917,1716.3495277465024,1719.6636367962162,1726.2952266577292,1729.6088144948246,1732.930820882008,1739.5619903323418,1742.8716567868635,1746.1920990576928,1752.8224067803703,1756.1360927047256,1759.4585511539267,1902.0475515157782,1905.3569406613792,1908.675127578827,1911.9885298647391,1918.6206241734506,1921.9402415678926,1925.2582947803066,2641.5072198816647,2644.821545249618,2648.132567143154,2658.088969071202,2661.40171532652,-3.057130523422556,0.04702243158215986,0.3136025774137073,0.41489744673827933,0.08809415625659178,-2.7824713864552324,0.06188537555242299,3.31597939139405,1713.0316924993022,0
1,-5.053155942776763e-06,-6.325065569225623,1713.0306755892427,1716.3446188563591,1719.661455724101,1726.2971873028469,1729.608199268332,1732.9252584000549,1739.5585651204951,1742.8768550455165,1746.1924661093055,1752.8227932257353,1756.1411179459424,1759.4566797446623,1902.0509067399541,1905.360144569997,1908.6753035945783,1911.990561420994,1918.6165764591929,1921.9386316487858,1925.2569553591438,2641.507098185298,2644.8184494255884,2648.1365129076835,2658.084703052699,2661.3996544881707,-3.1117009029959872,0.04452515792201421,0.07150849784136039,0.3551209771194157,0.463929831011473,-2.7147813091183144,0.06621943300988288,3.3159755641992583,1713.0317629732463,0
2,-8.48348081942415e-06,-6.317188481733806,1713.029694671668,1716.347699641669,1719.662121353876,1726.2976889224485,1729.609774872133,1732.928239261493,1739.5610635577395,1742.8747475164184,1746.1928741527681,1752.8265553669253,1756.1369413265595,1759.457832391923,1902.045751560365,1905.3604649119736,1908.6750477836003,1911.9891003903774,1918.6140887894499,1921.9400562071298,1925.2565061623811,2641.501019581445,2644.8161065715644,2648.1367683340854,2658.086122758101,2661.4012638502936,-3.0787728777010814,0.04601568889527239,0.14838289722859394,0.42716348502480117,0.27087770895100904,-2.755396131492171,0.06358382712300467,3.3159699034475247,1713.0320560589041,0
3,2.9594734806502817e-05,-6.312793852346399,1713.0289049935855,1716.34628624152,1719.6612790918623,1726.2963480600085,1729.6101600728587,1732.9268976321787,1739.5601674016368,1742.8726662612316,1746.1927914722771,1752.8161198420187,1756.137280943594,1759.4580221027163,1902.0453582175796,1905.3610025587436,1908.674910458412,1911.9908878996382,1918.6207658882508,1921.941007490497,1925.2515157099701,2641.504816488722,2644.8245204910077,2648.1340017340635,2658.085854938453,2661.3998384318397,-3.0411392568151383,0.04778042430115279,0.19894347132032633,0.35968393186176506,0.1292076915083813,-2.728798228170192,0.06529771548874283,3.315980015993002,1713.0309914041711,0
4,1.696084153848266e-05,-6.309073656443548,1713.0296711745705,1716.3486843802011,1719.6609041806403,1726.2934288091606,1729.6105487596567,1732.9274656122673,1739.560369904823,1742.8727386300072,1746.190554584914,1752.815879426449,1756.1371264753325,1759.4571871813496,1902.0457291127793,1905.3608886907157,1908.6739857921775,1911.9906967751251,1918.619995351983,1921.9411038823148,1925.2513876619314,2641.5033855524453,2644.8232314936904,2648.134012989423,2658.084298782676,2661.40038823302,-3.0537855834918015,0.047179982142883235,0.17836497285719674,0.3161771053403777,0.04391512200572545,-2.7605946716273357,0.06325414172960683,3.3159779282221855,1713.0308359717853,0
5,1.9025521875795333e-05,-6.299505923065753,1713.030526325758,1716.346205866486,1719.661816237982,1726.2982359733805,1729.6102227058286,1732.9267914640948,1739.5592540259927,1742.8735466557516,1746.1901085024576,1752.8167322339377,1756.1397523858307,1759.4536120400512,1902.042455835461,1905.3598630545853,1908.6758128002662,1911.9902005698991,1918.620597432692,1921.9401779717048,1925.2536062290528,2641.5039483226765,2644.8225119894223,2648.1375405700765,2658.085764395517,2661.3991745020317,-3.0732891494950634,0.04626871956802607,0.16976627669884556,0.34192844913431486,0.21075653956493867,-2.740461072918263,0.06454058211728655,3.315980096418436,1713.0308622029631,0
6,1.7857061580000683e-05,-6.338857981964822,1713.032491808547,1716.3462024798187,1719.662795778128,1726.298044118867,1729.6089338469965,1732.9267212740403,1739.5632974731045,1742.8741669158037,1746.1948703897926,1752.8262567418303,1756.1398569969424,1759.455102988575,1902.0514206883995,1905.361896715185,1908.6745710480109,1911.9877658350897,1918.6150447375858,1921.940257806433,1925.255305586026,2641.5025539220082,2644.817070353345,2648.134156178324,2658.085347575862,2661.3996581531974,-3.07558413726653,0.04616265517720915,0.09758213011842266,0.38019353957891644,0.24459718212314163,-2.759714014695124,0.0633098714637987,3.315966573946306,1713.0325833692111,0
7,9.942624993287498e-06,-6.298290812422099,1713.0276832965314,1716.3480049661111,1719.6618046675244,1726.291304486881,1729.609928591926,1732.9269952573063,1739.558491672586,1742.8735651446793,1746.1910570516834,1752.8189453141015,1756.140023895031,1759.4575334130298,1902.041710731023,1905.3587015234411,1908.67611408771,1911.9889584600087,1918.6187807743831,1921.9394164999276,1925.253188878257,2641.50377067509,2644.8231187253173,2648.1343487932613,2658.084416482715,2661.401850789624,-3.041756731310625,0.04775093021462352,0.6002362735141475,0.3618219333898276,0.19803348390464648,-2.7408389500817396,0.06451619831251858,3.315980134005047,1713.0304948647688,0
8,2.3268579906626796e-05,-6.333702177054173,1713.0337284577188,1716.342834190995,1719.6665497859733,1726.3008954240283,1729.6086732501399,1732.927446246307,1739.5621501536402,1742.8754228282523,1746.1981262095003,1752.8257438582373,1756.1371255079537,1759.454903117945,1902.0504613557223,1905.3605893960298,1908.6752503958892,1911.9893946012444,1918.6139165094569,1921.9348492038087,1925.2521072017807,2641.507115934735,2644.817849221086,2648.1373688958643,2658.087790888389,2661.397977647516,-3.1071881413042908,0.044726543409590064,0.2531047719814215,0.5569552263328761,0.40696029948879353,-2.66141881895843,0.06984904825278755,3.3159726637896108,1713.0322826309325,0
9,1.2357877987297819e-06,-6.296988955588033,1713.0295186157541,1716.3497407979135,1719.665153413356,1726.2910221541977,1729.6078015749465,1732.9275204914748,1739.5590341317852,1742.8743893813541,1746.2022959457197,1752.820186256425,1756.1371684618248,1759.455445240481,1902.0439770337168,1905.3639759569996,1908.6769560353623,1911.9893174987349,1918.6188318574934,1921.941868065608,1925.2530846116213,2641.506285629289,2644.821369232223,2648.1343944381265,2658.0895763761687,2661.4018727728053,-3.0402174367404347,0.047824489562452305,0.6005888197096808,0.3177896570741443,0.22181507258873867,-2.7494443601479874,0.0639633919442807,3.3159799323420267,1713.031805664348,0
10,1.1432686286268218e-05,-6.30893407245442,1713.030849192891,1716.3429419853328,1719.6650486113203,1726.2953426184356,1729.6077406698946,1732.9274037041703,1739.5605333435828,1742.8752755069934,1746.2047937572995,1752.8200098947204,1756.1392198711512,1759.4574755751455,1902.0492476993077,1905.3651321036027,1908.67657454703,1911.9874976006097,1918.6154616920182,1921.9385600169667,1925.2522516129895,2641.5093317487604,2644.8213550152036,2648.1369844158835,2658.0885894308526,2661.399334109212,-3.0975672124909495,0.045158930949444995,0.12944249426444346,0.3271664189375616,0.4784942735854858,-2.7122453769462984,0.06638757410756589,3.3159797507592557,1713.0320772297853,0
11,3.987275693799572e-06,-6.326449697306428,1713.0303228935422,1716.3459251320105,1719.6644745964484,1726.2967779724925,1729.6102937261273,1732.9269950141183,1739.5607479757352,1742.8744069160534,1746.1901107926756,1752.8257577391714,1756.1380753652534,1759.4585911299548,1902.0521389601088,1905.360282182392,1908.6762115910617,1911.9936381214652,1918.6190350892173,1921.937275629713,1925.2529933701042,2641.5038456206435,2644.8222448448514,2648.136938622438,2658.087893700673,2661.4000183993667,-3.0707829357172463,0.0463848243013584,0.28076523617643145,0.41651969012419854,0.305725121878176,-2.7458693468613977,0.06419247115696831,3.31597684732726,1713.0322279862476,0
12,-4.905738909178713e-06,-6.310995422774493,1713.0343699294758,1716.3491134561825,1719.6614471374921,1726.2946871511317,1729.6167757258615,1732.9258702639013,1739.5598199624153,1742.8727904141222,1746.1933310548914,1752.8183226333556,1756.1397358873955,1759.4528338740013,1902.0426333803846,1905.3572194858064,1908.673987227535,1911.9857045589001,1918.6112553884584,1921.9397332040971,1925.2534916952532,2641.5058261925456,2644.819972476085,2648.1324728976206,2658.0832145875693,2661.401783386742,-3.0554420552835686,0.04710189452615005,0.258068286226777,0.26582065603606275,0.15727268601453104,-2.784707574282663,0.061747142843670166,3.3159738094096083,1713.0308626706399,0
13,-5.0514540818760265e-06,-6.316055747703433,1713.033594467934,1716.3493082132838,1719.6618897640137,1726.295265064213,1729.6166236811573,1732.925774629497,1739.5594847508328,1742.873894142878,1746.1915083535876,1752.817839484236,1756.1389870878115,1759.450663241544,1902.0439760553402,1905.358218702718,1908.6738918585804,1911.9859138576535,1918.6114717312812,1921.9376336926578,1925.2544384377727,2641.5026768069115,2644.8180848565044,2648.1321583118115,2658.0844265041655,2661.4045410187287,-3.073391817381122,0.04626396950024127,0.2723289706552487,0.36036276032026415,0.14812343351336232,-2.8004974322612424,0.06077982126039883,3.3159737792699047,1713.0306931140678,0
14,-1.6876641028354325e-05,-6.305924268314873,1713.0349349407393,1716.3456612225605,1719.6636387732424,1726.2962428214864,1729.615162213961,1732.9269113128912,1739.5603994395706,1742.8737426087414,1746.19089633404,1752.8219658109933,1756.142336897833,1759.4471832159506,1902.0445808727447,1905.359581213878,1908.673761943957,1911.9869769482307,1918.6124976411209,1921.9389397722337,1925.2551988626903,2641.5046717836112,2644.8208763459943,2648.1336093461136,2658.08449859923,2661.399551171558,-3.0698113192891365,0.04642991446028693,0.32573979962741395,0.3266619165296152,0.30132514689463763,-2.7617178516835756,0.06318313582281546,3.315973164274548,1713.0312238134145,0
15,1.1744445201403585e-05,-6.3299092734697355,1713.0295552684665,1716.3500790908122,1719.6623747460683,1726.2956849196134,1729.6058151583434,1732.925716598278,1739.5602466680766,1742.8742569811432,1746.190907513663,1752.8225233182354,1756.1347421826572,1759.4623381019994,1902.044183474042,1905.35884653144,1908.6767866676296,1911.9905140677847,1918.6203753634684,1921.9389809052525,1925.255096125411,2641.5041623068387,2644.821510310382,2648.1341797473956,2658.0864659742406,2661.401441166507,-3.0614957071940614,0.04681761737796572,0.27163195118006406,0.40951401055454073,0.07917887232224774,-2.7749234587783067,0.06235424917743488,3.315977343722939,1713.0314294123325,0
