,idx,calculated,observed,ttv,ttverr1,ttverr2,significant
0,0,1713.03148983392,1713.0308394879492,-0.9364981979888398,4.4523036761980395,-3.739232408259797,False
1,1,1716.3474687348385,1716.3472878853938,-0.26042320027045207,3.094731943192756,-2.800898126615134,False
2,2,1719.663447635757,1719.6625031855851,-1.3600082473931252,2.7889492241268496,-2.2200234473608074,False
3,4,1726.295405437594,1726.2963348835303,1.3384021484671393,3.1563429088598434,-3.1640031792256256,False
4,5,1729.6113843385124,1729.6091167946654,-3.265263139655872,2.3021724587826142,-2.2285689813256897,True
5,6,1732.9273632394309,1732.9269895444927,-0.5381207109530806,2.807126557360625,-2.2458499473092033,False
6,8,1739.5593210412678,1739.5603587007154,1.4942296044682735,3.070774407067878,-2.437007331536941,False
7,9,1742.8752999421863,1742.8742556440955,-1.5037892508189543,2.3332194035069316,-2.3795418412989355,False
8,10,1746.1912788431048,1746.192690125122,2.032246104790829,3.045465358212746,-2.754366730524286,False
9,12,1752.8232366449417,1752.8222655609381,-1.3983609651768347,2.70553891935232,-2.943059369047645,False
10,13,1756.1392155458602,1756.1386425921041,-0.8250534087710548,2.388267394866124,-3.2934748041979214,False
11,14,1759.4551944467787,1759.4561732715197,1.4095076269950368,3.7124967444567907,-5.428887892535861,False
12,57,1902.0422871862736,1902.0460570612845,5.4286200157002895,5.288005606519475,-4.003477722060296,True
13,58,1905.358266087192,1905.360542309665,3.2777603611611994,2.9313360666360015,-2.8148672311196252,True
14,59,1908.6742449881106,1908.6751494321522,1.3023994200193556,2.1536163999594495,-2.030233951106726,False
15,60,1911.990223889029,1911.9892193433654,-1.4465457555706962,2.6611158049771917,-2.6545752857774163,False
16,62,1918.622181690866,1918.617746351605,-6.38688853570784,3.439378670070553,-3.925460791820169,True
17,63,1921.9381605917847,1921.9388825480514,1.039617024071049,3.2602757813406233,-3.8771914939919188,False
18,64,1925.254139492703,1925.2543076935237,0.24220918192440877,5.344333071334326,-3.8031410946739053,False
19,280,2641.505582091096,2641.5068878795423,1.880335362511687,4.116055041232649,-5.644339861570086,False
20,281,2644.8215609920144,2644.820617468231,-1.3586742481857073,2.858062959432568,-3.535986735351738,False
21,282,2648.137539892933,2648.135541145538,-2.8781962490756996,2.597974623840827,-2.9631584451797734,True
22,285,2658.0854765956883,2658.0863210723933,1.2160464551561745,3.491099245216897,-2.7430109429987026,False
23,286,2661.401455496607,2661.401216295852,-0.34444908720615786,8.392100422620105,-3.434043608902255,False
