,15th,50th,85th
MEAN,2.9683550668235332e-05,4.580765165244634e-05,6.185829345556668e-05
LN_SIGLC,-6.748934716663337,-6.740135713741738,-6.730790393359014
TTS,1739.728521309611,1739.7302960275833,1739.7337515901997
TTS_1,1740.9435221927654,1740.9448758594654,1740.946388378647
TTS_2,1742.162018267207,1742.1634522089134,1742.1648854855657
TTS_3,1743.3784617715905,1743.3813408657652,1743.3842374092383
TTS_4,1744.5922111914715,1744.5963473545862,1744.5983084314303
TTS_5,1745.8119909952666,1745.813129166103,1745.8142317602978
TTS_6,1747.026753624146,1747.0290381015614,1747.0319360993988
TTS_7,1748.2456000514037,1748.2476634280836,1748.249322467954
TTS_8,1751.89850156662,1751.9005223107372,1751.902488506997
TTS_9,1753.1091878976717,1753.11139845873,1753.1139745589712
TTS_10,1754.3334540245478,1754.3355190254247,1754.3388905111512
TTS_11,1755.5495485421764,1755.5515669176068,1755.55673071089
TTS_12,1756.7629227968037,1756.7646234852643,1756.7658768603144
TTS_13,1757.981690689963,1757.9837199613332,1757.9852598221357
TTS_14,1759.1964228058748,1759.197928068879,1759.1996098992838
TTS_15,1760.4137492756565,1760.4157367467446,1760.4173694197373
TTS_16,1761.6249818621282,1761.6281964187015,1761.6330814975656
TTS_17,2826.3959738148965,2826.397672364852,2826.3991972328645
TTS_18,2827.6063583443793,2827.612040477379,2827.618024858694
TTS_19,2828.833432543172,2828.8363914694205,2828.8380715504018
TTS_20,2830.0466279102257,2830.049471048439,2830.0516027120198
TTS_21,2831.265391973468,2831.2667767756157,2831.2682727615893
TTS_22,2832.4802721928863,2832.4827031655454,2832.487799403325
TTS_23,2833.698192563745,2833.699761065627,2833.7018025535217
TTS_24,2834.917329145977,2834.9189279943603,2834.9209634734357
TTS_25,2839.782998586885,2839.7866277556845,2839.788730166497
TTS_26,2841.000549641028,2841.0022780288464,2841.0040837179504
TTS_27,2842.2180657098825,2842.2209841148156,2842.223580708362
TTS_28,2843.4325577475533,2843.4343032043103,2843.4364972289372
TTS_29,2844.650577415761,2844.6523996972287,2844.654342992732
TTS_30,2845.869452328539,2845.875224385127,2845.8793057468542
TTS_31,2847.0839001909594,2847.0853033487574,2847.0870810241418
TTS_32,2848.299614516564,2848.3016305540923,2848.3033683557246
TTS_33,2849.520233804579,2849.5232545639237,2849.525251860441
LN_ROR,-3.326200339251884,-3.2803681241509612,-3.2187721087594254
ROR,0.03592936543477344,0.037614407487679496,0.04000414885949907
IMPACT,0.18887361656431667,0.5652343645311149,0.771475005769103
LD_U1,0.3540129813761703,0.4488639245410586,0.5452671673017159
LD_U2,0.11913748274636737,0.21883083160731065,0.3209535323989332
LN_DUR14,-3.1045850379406814,-3.071821774410366,-3.0299090148448253
DUR14,0.04484312289364785,0.04633666297278948,0.04832003433189174
PERIOD,1.2168751459701916,1.2168761162351687,1.2168771122531898
T0,1739.7287049234906,1739.729272216665,1739.7298667929451
ECC,0.1442762554022161,0.39291308316825146,0.6641336713377292
OMEGA,-5.4362166624009305,88.48451524133034,183.62952835622795
