,15th,50th,85th
MEAN,0.0001275201844002301,0.00015063081110313828,0.00017241708274308762
LN_SIGLC,-6.978986631709114,-6.963576275722357,-6.948913111073359
T0,2719.045889359499,2719.046967535349,2719.0480181731737
LN_PER,1.8261029492193006,1.8261346616536878,1.8261677845305075
LN_ROR,-2.7982098680098315,-2.785872821811398,-2.7742408070596514
ROR,0.06091901815694262,0.06167523404197835,0.06239682994506482
IMPACT,0.7479635930624046,0.7816002722249277,0.8152380629755094
PERIOD,6.209640161256841,6.209837087185506,6.210042778260937
LD_U1,0.05309363452907203,0.14005173550410244,0.2287752001214651
LD_U2,0.08805940108073673,0.18771600759620455,0.29287189291338145
LN_DUR14,-1.6684216915831414,-1.6518906782417364,-1.633968151988149
DUR14,0.18854441215742432,0.19168714707807244,0.19515363633974955
ECC,0.03944567340625163,0.15142335868556756,0.4857384722628933
OMEGA,-33.623382900234766,100.23641873640247,214.66429082628918
