,15th,50th,85th
MEAN,6.9195743291606594e-06,1.3984336023259409e-05,2.1374812256790927e-05
LN_SIGLC,-6.919751022678931,-6.9150025291239405,-6.91033927201892
TTS,1703.4677325426933,1703.4803057456527,1703.4940404254608
TTS_1,1731.1172492842577,1731.1224213374967,1731.132279849447
TTS_2,1758.7611903135878,1758.7662903104786,1758.7715091197547
TTS_3,1786.3806554001505,1786.3966950042454,1786.4070233050384
TTS_4,1896.9846474896276,1896.9919286290826,1896.9989353551
TTS_5,1924.6123321802022,1924.6192117601408,1924.632505804745
TTS_6,1952.2724197865373,1952.2791436975194,1952.289528845723
TTS_7,1979.9124049303857,1979.9278886447253,1979.9433170043367
TTS_8,2007.5434553122877,2007.5498597881683,2007.5546834118186
TTS_9,2394.5757322887534,2394.58343868773,2394.589726698365
TTS_10,2422.2095041792045,2422.215797333134,2422.22391463724
TTS_11,2588.071357063384,2588.0776123508394,2588.084835392825
TTS_12,2615.7149627732915,2615.7277606314738,2615.737880490814
TTS_13,2643.362031071266,2643.3683201673966,2643.3767207240494
TTS_14,2671.013224741284,2671.0244559817943,2671.0342548421017
TTS_15,2698.6568381504703,2698.6625015778523,2698.6712057701297
TTS_16,2726.29420570471,2726.3015442712995,2726.307742580033
TTS_17,2753.9384145430213,2753.9460673782573,2753.9542667826636
TTS_18,2892.1499946460112,2892.1580409053977,2892.164385486746
TTS_19,2919.802826008383,2919.811402549551,2919.8177216632766
TTS_20,2947.4346126551027,2947.4447315200705,2947.453376904414
LN_ROR,-3.764364996804018,-3.7282850862077175,-3.67810372517223
ROR,0.02318232841503379,0.02403401678277959,0.025270849905287853
IMPACT,0.202509743081742,0.5704124244843044,0.7859405915479187
LD_U1,0.18691523410946057,0.28156066694346515,0.3774017430729095
LD_U2,0.16423312608654572,0.2598242646598652,0.3597909799395603
LN_DUR14,-1.4763819531959637,-1.4503316138432742,-1.4143085803710556
DUR14,0.2284627839172604,0.23449251423520734,0.24309363506628281
PERIOD,27.6437312130589,27.643869261060193,27.64400188581304
T0,1703.474255156272,1703.4781885820562,1703.4822213385744
ECC,0.15924930262849393,0.39759040181900374,0.6726535662392782
OMEGA,-7.608900384392095,90.60350074382018,187.02436675200198
