,value,err_upper,err_lower,units
PERIOD,2.799868602397319,2.3881754633858776e-05,-2.7373079722448068e-05,days
T0,1871.4977847015223,0.003778989615966566,-0.004136255811999945,days
ROR,0.0121139792675932,0.0008208119342194582,-0.0007391912260404764,
IMPACT,0.5154592842735662,0.2130284427593776,-0.33051659660121396,
DUR14,0.079815163546259,0.007709917234242025,-0.0075264044649193396,days
ECC,0.28785426751815835,0.2899768091325171,-0.18063011756018854,
OMEGA,86.57256423874693,119.48610150679635,-114.40948722595407,deg
R_PL,1.2355684634686674,0.08804164313729146,-0.07800470010426475,R_earth
