,MEAN,LN_SIGLC,TTS,TTS_1,TTS_2,TTS_3,TTS_4,TTS_5,LN_ROR,ROR,IMPACT,LD_U1,LD_U2,LN_DUR14,DUR14,PERIOD,T0,ECC,OMEGA
5180,6.280885067888886e-05,-6.520686378616745,2090.7809510113966,2096.5026244290466,2107.9131492121346,2450.1794499766957,2461.5742414064734,2467.2852611218746,-3.5549667984206414,0.02858232387882211,0.3492251844988421,0.4193423173165227,0.25740854087029263,-1.738252588909673,0.17582737503875737,5.704434616637944,2090.7929371772184,0.11967472741638413,61.52172034840373
5181,8.62530695568194e-05,-6.513256671676724,2090.779169130747,2096.50846907422,2107.918017262383,2450.1621968865684,2461.591937014411,2467.2820995566735,-3.491662857988915,0.030450195697825137,0.6713916027311515,0.27765543882893384,0.19737744120211054,-1.7646509101438304,0.17124655648755693,5.704379865062609,2090.7957792737684,0.4931105761797199,-21.925651177691957
5182,2.572626461519625e-05,-6.50498428728651,2090.7889656225657,2096.4941642921854,2107.908239612041,2450.1700061229326,2461.5935060395336,2467.2903492068076,-3.6209112287020213,0.02675828246505812,0.4424027439923029,0.36912498379583103,0.2518522257749509,-1.7343208849068115,0.17652003701165467,5.70454324419548,2090.7909447575603,0.5796258352289303,189.31420564613643
5183,8.363639729107077e-05,-6.523424182581199,2090.7833776249604,2096.503517393302,2107.9251214021338,2450.177506128348,2461.5881686394846,2467.2636374373606,-3.4689977377203527,0.031148233721360215,0.5137919117570661,0.34559478927170484,0.3798904358103292,-1.7438867392516029,0.17483952264119257,5.704302846908978,2090.7982274896017,0.28684209049736914,-6.377750868980483
5184,5.801931325490433e-05,-6.504811672608748,2090.7802508666955,2096.5103726649504,2107.9118997961396,2450.1684151873087,2461.5872206468875,2467.2763514241037,-3.5685727669274563,0.028196067336161888,0.1576410452808245,0.34145284100952944,0.26417106518327205,-1.7318621429286551,0.1769545882423972,5.704368721465547,2090.7949172893177,0.9281352889618459,217.5423325199351
5185,4.8851565754168906e-05,-6.504786036861265,2090.7848263540814,2096.497322577036,2107.9250575738515,2450.161191189729,2461.599157595851,2467.274838098956,-3.605229140327198,0.027181215786740997,0.2825809116800176,0.4118032884581999,0.1722986204944177,-1.7098815954930864,0.18088720920999998,5.704366597520625,2090.79630118007,0.5889954611312858,-11.720081442367725
5186,3.177237229576707e-05,-6.516621859046058,2090.78134595536,2096.5011539388056,2107.914893039862,2450.15889279445,2461.574503613574,2467.280865748242,-3.5145551003733333,0.029761040685038407,0.5997448954734365,0.24271474056450026,0.14527353250697495,-1.7711421322122725,0.1701385570865711,5.704306560802398,2090.7931593419025,0.07723438972758484,-1.2771786042100706
5187,8.095368503059706e-05,-6.525231207645644,2090.7845939874305,2096.5007924310635,2107.9079212782003,2450.1681059567145,2461.6002564982177,2467.278700615923,-3.481534031563126,0.030760187722133847,0.6718689914499045,0.423075557634895,0.14953460919271833,-1.7433985823809197,0.17492489259070523,5.704496168145487,2090.7916882457907,0.09650103092959897,-64.35570721505238
5188,5.582609723947698e-05,-6.496534706230486,2090.793856824153,2096.5035363106376,2107.915471309405,2450.1633043296724,2461.579138239216,2467.277558487707,-3.529975741631896,0.029305626765099686,0.2624017160778218,0.379456393948415,0.19646738585661572,-1.731120508885263,0.1770858724655794,5.704250980288719,2090.798528567271,0.44404336168607356,169.8407654348161
5189,6.514725901325865e-05,-6.523577823745873,2090.788022475416,2096.49867369719,2107.913676917593,2450.1678102904625,2461.602808381402,2467.277671687231,-3.5290543389690687,0.02933264149144602,0.4324788229773272,0.29396572375274777,0.12836314445545205,-1.7395734939139642,0.17559527710258682,5.704466434628405,2090.794051565478,0.13539430835608526,152.76931401284622
5190,4.2552336382748535e-05,-6.509245416503061,2090.7818228463743,2096.4743165322334,2107.907069585995,2450.1695619955103,2461.581022705718,2467.2697867318598,-3.48617704434893,0.03061769882211464,0.6353320800492599,0.3630757243827982,0.3824458537783202,-1.737417753097047,0.1759742233168517,5.704512475615334,2090.781685037643,0.4884504771151365,-21.286616876143203
5191,0.00010223496485591589,-6.510108999131415,2090.776845420149,2096.4980235194807,2107.908949255251,2450.166614761077,2461.596806686989,2467.2830522139257,-3.473505026647121,0.03100815555594967,0.6669342923197232,0.2708253693644893,0.26853074258131904,-1.6978988803826898,0.18306776751826276,5.704546274598343,2090.7883549144003,0.16976463246801693,-21.34758203070487
5192,4.9477119362060594e-05,-6.496611975242162,2090.7834768328685,2096.496146620159,2107.91829267325,2450.1638136154083,2461.5765148444643,2467.278416977269,-3.5396867590515506,0.029022416667830845,0.15307649479645813,0.3773010111540549,0.24353348077890158,-1.760724728036337,0.1719202232574418,5.704326325291683,2090.7933415259445,0.35581625674876083,28.009947038576726
5193,5.892338531846205e-05,-6.511852181601253,2090.7852865494474,2096.5087677664674,2107.9106181750367,2450.1688921585637,2461.58873377449,2467.290752033605,-3.504943847300278,0.030048460598985863,0.0029303649002861,0.26916636282219986,0.11943279705600252,-1.7266883030015274,0.1778724954612518,5.704445319073948,2090.795479546828,0.3853215316256284,166.5929793675195
5194,4.762379529557923e-05,-6.499255940514917,2090.797011000817,2096.5094941225616,2107.8984161539092,2450.1653269264416,2461.593681898077,2467.2621541493086,-3.5642566753780924,0.02831802714964817,0.6026165311719405,0.3615171803572692,0.35395759715319564,-1.769555959912747,0.17040864029552918,5.704289919663571,2090.7961133596214,0.04060707830499574,195.33660244237208
5195,8.92367500934621e-05,-6.500041964124639,2090.7820608497004,2096.4987280348478,2107.918719617974,2450.1684552439447,2461.575856006732,2467.2686233652953,-3.520459296707988,0.02958584336633487,0.3277252811513103,0.22556982617042776,0.32533064063875416,-1.7543341173129094,0.17302241657285522,5.704284222849995,2090.7940278323654,0.8396106357400608,-27.45134037265057
5196,6.307830714970749e-05,-6.4906290583481745,2090.7913793745947,2096.510987534429,2107.894946050526,2450.1790581482182,2461.5812712709803,2467.271834713314,-3.568247742906197,0.028205233224837492,0.14201276078276615,0.3599795579108547,0.15816815502096015,-1.7122268129299214,0.18046348642809637,5.704385573959218,2090.793522241356,0.3185771578230783,19.576686327537992
