,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
0,3.350496097424168e-05,-6.514111568930762,2090.767965140219,2096.492497790279,2107.911064513371,2450.1724361431416,2461.5825624753215,2467.267825468475,-3.3359458242384212,0.03558091699758104,0.9318490060030593,0.3132623519448914,0.19435197751610733,-1.6402192036519239,0.19393752581727478,5.704483672360931,2090.7844307338905,0
1,9.386162905342266e-05,-6.498065188470802,2090.7920449768094,2096.499937152304,2107.9071271136795,2450.1700392801677,2461.5916682060797,2467.2894919357263,-3.522071460546099,0.029538184566758666,0.5920187727354914,0.4896868995128174,0.4277374367009692,-1.657414669593716,0.19063118817428806,5.704486974503777,2090.79364795217,0
2,8.47522151915453e-05,-6.513811763647258,2090.769257395291,2096.50648905793,2107.912822581004,2450.1752961772463,2461.579676422188,2467.2758001235266,-3.5048261447719717,0.0300519975869222,0.5111731806149054,0.27539318475054153,0.32901929312706457,-1.7757037787450043,0.169364212613197,5.704436129036709,2090.7901647013196,0
3,7.126957768448994e-05,-6.506063647403789,2090.7740121574952,2096.5035122017935,2107.9090680663808,2450.176662716953,2461.5807975587613,2467.2785523981925,-3.52193250231488,0.029542289425834856,0.40720985250004027,0.29736225647446735,0.35068974486206606,-1.7290028777224558,0.17746127236658413,5.7044724193300915,2090.7895110120367,0
4,4.3089226503831974e-05,-6.525543296225077,2090.768269417084,2096.5006608742156,2107.904068867112,2450.1645381731937,2461.5755075847273,2467.283441153158,-3.5575680324710808,0.02850807118089965,0.4991015576390598,0.2367083065524005,0.3426038208615223,-1.7359219490882618,0.17623764322869667,5.704482217260104,2090.784834508665,0
5,8.108331223707584e-05,-6.489341511234241,2090.7971753975826,2096.512218329418,2107.9153471001487,2450.17220785029,2461.595434687403,2467.283625910088,-3.566193814368099,0.028263224292649398,0.027060798506798024,0.42494439964283837,0.23456581741913451,-1.6987501713552031,0.18291198989586574,5.704351412690413,2090.802404927038,0
6,7.853942309641084e-05,-6.4774322531792405,2090.7740974941153,2096.5022588380293,2107.9098997840542,2450.177871462854,2461.5981632074545,2467.281708009156,-3.5072657940226564,0.0299787706139125,0.0511856930429076,0.2615509154586739,0.1867756138861174,-1.7441795179678448,0.1747883408430415,5.704589982937596,2090.789197029003,0
7,7.203434350997995e-05,-6.517662828193855,2090.7703575452524,2096.507580035713,2107.9135772239138,2450.163839400623,2461.5958332669265,2467.2820085874732,-3.5056333409791294,0.030027749516244467,0.16440116164085236,0.41295413876304043,0.2178196613425294,-1.7317860144207977,0.1769680600439462,5.704483314486129,2090.790916631941,0
8,6.518049546826336e-05,-6.506227863655661,2090.8007140192926,2096.511639475413,2107.915080948414,2450.1735962844004,2461.59600219568,2467.279324767242,-3.575645980697643,0.02799733419397036,0.25123070670357434,0.2514516723027358,0.2373815074753216,-1.7591651231623984,0.1721885600708726,5.704322804814214,2090.8034070562044,0
9,4.939888616977285e-05,-6.508713722519687,2090.762749178619,2096.505199013993,2107.9056086962332,2450.168554390828,2461.5786963126648,2467.2749550702774,-3.4410171738503434,0.03203208655054837,0.7860211376003389,0.38435255117280476,0.2867189472974352,-1.7874647305919955,0.16738399570713466,5.704471138204461,2090.7850795496884,0
10,9.163226069329653e-05,-6.498884813800864,2090.7684511277075,2096.502693947283,2107.9083408447664,2450.1652291691134,2461.5773401494653,2467.2770914751886,-3.517394972036663,0.029676643044880463,0.4283655772392986,0.41399149068598695,0.3162861586084105,-1.7795471466513728,0.16871453291273433,5.704427557196666,2090.7870817314306,0
11,9.33476374277825e-05,-6.502058952164698,2090.763110009668,2096.507756672757,2107.91353179361,2450.162357012369,2461.5800409620124,2467.268791985079,-3.54921387079224,0.028747229810681507,0.12936316861713448,0.3289495700070739,0.28061093044151164,-1.7328234977899024,0.17678455383356864,5.704358672254808,2090.788761888173,0
12,9.595941898022837e-05,-6.510693043837092,2090.7784506890057,2096.5098106817727,2107.9116132021104,2450.1681320936773,2461.5731897900814,2467.2743369714944,-3.541337616132034,0.028974544331846753,0.02539762050180075,0.33293089281694543,0.4661037834761872,-1.7077254981821668,0.18127764038791225,5.704296041409725,2090.7941528715023,0
13,5.418399658627656e-05,-6.489443864218259,2090.7868546381064,2096.5047023372204,2107.9133948355143,2450.1665803392857,2461.5831110783183,2467.272094732167,-3.526078985484657,0.02942004643433427,0.052137743532106,0.21937885400815804,0.38793347346048623,-1.7626275474240451,0.17159340116380745,5.704300957174284,2090.795858073351,0
