,value,err_upper,err_lower,units
PERIOD,27.643996784978835,0.00012185476731829681,-0.00012285031114345202,days
T0,1703.4746899542704,0.00284901166810414,-0.0029795456671308784,days
ROR,0.024368464422505877,0.0011970983346928296,-0.0012756122573810875,
IMPACT,0.7125787695227273,0.11968876561969743,-0.4244208347760476,
DUR14,0.23698420863434655,0.006854862243260262,-0.005801504698911386,days
ECC,0.33920145795051504,0.2645832894641035,-0.21960762429527492,
OMEGA,91.26568987278044,126.33498584893337,-130.00619175241994,deg
R_PL,4.294182505326192,0.23156285198834148,-0.2255715048090874,R_earth
