,value,err_upper,err_lower,units
PERIOD,0.8474243999555047,6.025663719100294e-07,-6.592669317129207e-07,days
T0,1683.5588157923726,0.00037170546352172096,-0.00035232035747867485,days
ROR,0.0195561891520128,0.0010110339697304987,-0.0006429457779437014,
IMPACT,0.5200865112812194,0.26914842793383464,-0.3394672932626829,
DUR14,0.0369576728717022,0.0009916423758032991,-0.0006812848543200981,days
ECC,0.436651255748868,0.23739427349034248,-0.20441227268365925,
OMEGA,88.14652973935385,94.88399126074172,-90.74280937633114,deg
R_PL,1.7927854974281525,0.09386378037407606,-0.06423246602998622,R_earth
