,MEAN,LN_SIGLC,TTS,TTS_1,TTS_2,TTS_3,TTS_4,TTS_5,TTS_6,LN_ROR,ROR,IMPACT,LD_U1,LD_U2,LN_DUR14,DUR14,PERIOD,T0,ECC,OMEGA
0,9.293103265066688e-06,-7.684569231234533,1743.7164741143192,1754.0767082189798,1940.4796303862229,1950.8334513313607,2665.3579644101537,2675.693453969378,2686.051995886565,-3.4470468317491156,0.031839525149958664,0.27827243456577516,0.39371624272495476,0.45915490852145346,-1.9992756886616296,0.13543334362558124,10.355321116033211,1743.722876049526,0.1750315195924524,14.440486407632132
1,2.301896910061695e-06,-7.682169257307962,1743.7186902372155,1754.076484349875,1940.4805339829895,1950.834080814579,2665.358794371931,2675.694023832567,2686.0513514252266,-3.4399657546564346,0.03206578341282818,0.38166207588202367,0.522104471493493,0.18716851161628112,-2.0091329778218436,0.13410489619740545,10.355312864796447,1743.7238529896401,0.015944228000301285,-61.323668654402034
2,1.7629886378514257e-05,-7.6761927168495445,1743.7186527724482,1754.0784211694638,1940.4790470310877,1950.8375314682169,2665.3600978667682,2675.6951291915993,2686.0505335862,-3.3337830117248273,0.035657955129596054,0.7564890310053511,0.4248142108592867,0.30136252483690806,-1.987009159688824,0.1371048716231541,10.355307768417498,1743.7248578394801,0.644781452068828,223.96747429117136
3,-6.408272043128861e-06,-7.681234175388289,1743.7167060062409,1754.0776473887495,1940.478631925205,1950.8343040903237,2665.3582075275867,2675.6935478270584,2686.052234551684,-3.4300721595970862,0.032384603828627505,0.26776908743781475,0.2758785233699017,0.31305533447949196,-2.0324476434031635,0.13101445171858175,10.355319345066693,1743.723183192311,0.1823218422838099,8.322518140666213
4,1.8936375884559857e-06,-7.701696547464527,1743.7191023333419,1754.0783654652303,1940.4803899824321,1950.83407703636,2665.35915215536,2675.6928908671825,2686.0507691579983,-3.4695019562839478,0.031132532162536086,0.19331363447953367,0.4638385976505994,0.42662718855055104,-1.9983051731779138,0.13556484758557397,10.355298843504803,1743.7245865016316,0.08109907506202522,187.64184225966784
5,-1.3638842854714063e-06,-7.691020375319044,1743.7190992895605,1754.0754087730681,1940.479460121118,1950.8323649031672,2665.35807396015,2675.6933335143062,2686.052623856912,-3.4505637811865757,0.03172774382973711,0.07955966220585403,0.3225954881545319,0.22870612028064596,-2.033852011995981,0.13083058827362543,10.355321063698348,1743.7229763816852,0.1493935963101136,150.10425946721082
6,-7.181557969614694e-06,-7.683030290431453,1743.7222774931945,1754.074720272074,1940.480383440212,1950.8348278370634,2665.358036335623,2675.6925844718776,2686.0492115954844,-3.4026805170235974,0.03328393213134233,0.5789545542953242,0.3479349492417876,0.34279581118414604,-1.982800991998471,0.13768304759159622,10.355286708287888,1743.7247374108977,0.34211081879145083,-40.49695623223759
7,-3.0588962704153725e-06,-7.677391095382449,1743.7169699914596,1754.0758419870206,1940.4794739495228,1950.8368257488742,2665.3568480917024,2675.6932800270056,2686.0497547323166,-3.345787193791093,0.03523246945722376,0.7318098841992919,0.4051327212485434,0.19805589659328882,-2.000540544528772,0.13526214825784644,10.355301264972253,1743.7236574837864,0.3031427265708847,247.79050407663908
8,-4.377704033860032e-06,-7.70825334410728,1743.71968095141,1754.0797070312985,1940.4809173268436,1950.8344535826539,2665.358327328408,2675.6946833457173,2686.0506090075,-3.4724000591219433,0.0310424374975827,0.03382866157327244,0.4191329818611125,0.4323220196724249,-1.9996228928748692,0.13538632876041326,10.355292792112618,1743.725373288417,0.40982982380342825,182.9924876225116
9,-1.4012035276363253e-06,-7.6659933072447055,1743.7203673682861,1754.0795267580438,1940.4798878361066,1950.8362012517152,2665.358019954433,2675.6941425398722,2686.0490362871406,-3.429096344470661,0.03241622063847859,0.3407508455985765,0.3729291890600679,0.25168006031684875,-2.0168909706100373,0.1330685366128314,10.35527947613997,1743.72579205603,0.1628776069198215,168.92713574797537
