,MEAN,LN_SIGLC,TTS,TTS_1,TTS_2,LN_ROR,ROR,IMPACT,LD_U1,LD_U2,LN_DUR14,DUR14,PERIOD,T0,ECC,OMEGA
0,-1.4070428426669515e-05,-7.682955715490459,1748.693987405676,1937.82138859783,2673.365568217244,-3.1394074485668413,0.043308452786062344,0.3341170871805825,0.4210036485098767,0.060745692511892324,-1.7397255440825425,0.1755685798408148,21.015343137914222,1748.6892526370984,0.3340195376038261,188.84862838907426
1,-1.2273960564900784e-05,-7.6734471163956695,1748.6927727266423,1937.8219593458596,2673.364609214425,-3.1440003767916354,0.04310999626803034,0.4609036368213589,0.4301210802158695,0.1859602698600349,-1.7416023791286812,0.1752393756048279,21.015335049486485,1748.688861221381,0.08248402046784102,-38.322485261201244
2,1.9117326295846704e-06,-7.6885266165978114,1748.6942524262545,1937.8240036829732,2673.3643283905335,-3.1468032360921057,0.04298933419245125,0.4021600937448915,0.39321029589358836,0.21164993891444306,-1.7380545140264487,0.17586220547493922,21.015287621376714,1748.690780188932,0.246243004830641,1.5986030221358591
3,-1.1785996896541407e-05,-7.70354042467594,1748.6924739701988,1937.8224515592788,2673.364585368975,-3.1637208092467834,0.04226817630681357,0.14924634683873939,0.31484257246824154,0.22870849838410567,-1.7504646906188466,0.17369321108836214,21.015335405054678,1748.6889114768517,0.1381425074373407,120.23029802364336
4,-1.0056918711282036e-05,-7.688858582223067,1748.692960273161,1937.8221817386157,2673.364558081648,-3.170931600400717,0.04196448555617507,0.07993464282378898,0.2526902862073095,0.35922907767420287,-1.7538154879123928,0.17311217435853973,21.01532895396935,1748.689088511016,0.027720157154576278,186.57903210354505
5,-2.4051692908635146e-06,-7.685189839772896,1748.693796469889,1937.8220590502635,2673.3640542302305,-3.1466724688821044,0.0429949561553196,0.27682342408427524,0.3866378320723456,0.11071319305084004,-1.7464960667232243,0.17438390375958204,21.01530399012251,1748.68959942463,0.029929166930133932,165.529050094133
6,-1.4395325117041548e-05,-7.702337426059158,1748.692829938452,1937.8228540964244,2673.3640298663954,-3.1642941449418913,0.04224394939830912,0.05806636849085355,0.4484528688420184,0.16611832163712115,-1.7537759149555872,0.17311902505468843,21.015312821159853,1748.6893781265994,0.7554906975756362,-22.75058398619828
7,1.395751305621136e-05,-7.690758732657143,1748.69275427361,1937.8221729056183,2673.3637280586736,-3.16787161389184,0.04209309298397446,0.03606096540479418,0.3500610320454023,0.28435628474544483,-1.7437097660312897,0.17487046729265893,21.015312166745144,1748.6890368001366,0.5780942896646236,188.40630277035652
8,5.5010328209763406e-06,-7.6895683445938685,1748.693297357354,1937.8234066255,2673.364393083981,-3.132246336978924,0.043619702566254887,0.4999540480209692,0.24707435299292935,0.22239801789376257,-1.7496700628038906,0.1738312873975344,21.01530959945459,1748.6898960985802,0.12173643288272162,191.5026704635419
9,-3.356406189287235e-06,-7.6969258418407565,1748.6940321712264,1937.8220085992966,2673.3646993677903,-3.132832636167523,0.04359413586563365,0.34074210777100683,0.2821463818159726,0.21526604804108485,-1.7431036087217897,0.17497649843715415,21.01531626199838,1748.6896594174661,0.09119226000045377,-12.488569411298952
10,-3.3302959371224556e-06,-7.673901524928578,1748.6931375869362,1937.8222990158283,2673.3652307114476,-3.1559513984675616,0.042597854174438114,0.2715922222406318,0.2867616435532896,0.2733467783326935,-1.74378870249519,0.17485666418112186,21.015341505146587,1748.6891891804808,0.1774025043543122,168.28413790491862
11,7.221027422293324e-06,-7.715035491955844,1748.6935250161878,1937.8222159138352,2673.3656990567692,-3.1420776116976477,0.04319296640453571,0.07859746318474219,0.3535674064321781,0.046665250087473575,-1.7495323261388702,0.17385523198832292,21.015347250421705,1748.689345238147,0.07673769166644082,71.60509225607781
12,-4.519189989987693e-06,-7.680558279013335,1748.6926370012584,1937.8233978209182,2673.364104589218,-3.163703823803402,0.0422688942566264,0.09893227896054989,0.34483677216976427,0.27753642016471747,-1.7462875620988585,0.17442026740079283,21.015313435576097,1748.6895091086208,0.07205753345981057,191.9884218282604
13,-1.7274766787933534e-05,-7.695638111007119,1748.6936482086671,1937.8239109295598,2673.3656647452635,-3.1193984254034,0.04418374024213728,0.6215081924267188,0.5357354811616017,0.06027792455704262,-1.7144148292832488,0.18006906103057968,21.01533080680073,1748.6902303743507,0.25482098856893143,239.46797609508894
14,-8.527300843890376e-06,-7.701442732712799,1748.6918626813433,1937.8238168224,2673.364635431457,-3.1713213670325056,0.041948132387151935,0.18742204127900716,0.4204879728915274,0.2724911016464502,-1.7311808091744052,0.17707519445821343,21.015335669213897,1748.6891748222881,0.3486562670318659,192.03692800262482
15,5.7208552224160415e-06,-7.688458090711272,1748.693649236517,1937.822271368318,2673.365244053397,-3.1735800753493835,0.04185349071585324,0.08816551748353926,0.46923064313697394,0.1187742543274406,-1.7410567299109097,0.1753350209250735,21.015333687571445,1748.6894930723154,0.8857064683939417,215.1099965811021
