,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
927,6.035923907716168e-06,-7.686455635668001,1748.6942202533376,1937.8237768144575,2673.363877778231,-3.163493308421292,0.042277793445727435,0.2674889578499655,0.3804546420386641,0.24179911692092126,-1.738226022898223,0.17583204613286177,21.01527898639035,1748.6906961891123,0
928,-8.319974763146105e-06,-7.694041778636851,1748.692992111029,1937.8210620416592,2673.3654517731843,-3.1427564861020687,0.0431636537561218,0.32236833384179514,0.3222152872230455,0.17982758815972288,-1.7476526848257543,0.17418232477712609,21.015359190349752,1748.6884896124452,0
929,5.918753784884403e-06,-7.699511889592398,1748.693811395237,1937.823714477847,2673.3648846213205,-3.175935459833549,0.041755025660267356,0.14265850399972185,0.42625487851335797,0.2722329351997097,-1.7388618833494143,0.17572027702721668,21.015310704723216,1748.690314381358,0
930,4.013246686275893e-06,-7.6984305374521576,1748.6942490297113,1937.823953861397,2673.36498237082,-3.1673376443054315,0.042115575417359406,0.2919321297244311,0.4369880592251518,0.21066197200497783,-1.7384141495212728,0.17579897055509477,21.01530401243793,1748.690690867573,0
931,-7.81242996317595e-06,-7.680909483053235,1748.6927983872517,1937.8215548119351,2673.3647492726745,-3.147202722743185,0.04297216395717083,0.3228657070295064,0.3102279492583251,0.21550875088280486,-1.7511059856600066,0.17358185820225108,21.015341287139613,1748.6886714178208,0
932,-3.982065805460267e-06,-7.694078155611695,1748.6940895772584,1937.8217198834027,2673.3649093124577,-3.151553450701943,0.0427856098792861,0.16624838713070378,0.32585075563466215,0.20751497056012602,-1.754004345285845,0.17307948393498873,21.015322754818328,1748.6895375892493,0
933,4.874887689158479e-07,-7.680942492913207,1748.692936737725,1937.8229171032424,2673.3647077461346,-3.162295545755785,0.04232846254701802,0.34552634010475936,0.3883519310201784,0.21431757699709175,-1.7376839423254673,0.1759273871080488,21.015327088266776,1748.689408636321,0
934,2.5629357619867964e-06,-7.701213171714902,1748.693296193469,1937.8218197254052,2673.3646690107944,-3.1609914878751555,0.0423836973190197,0.1350092915636306,0.38892638396410106,0.27378252294499483,-1.7436972528721837,0.1748726554883297,21.015329068703977,1748.6891147627857,0
935,-1.4330157986803004e-05,-7.7121795131245525,1748.6939273397222,1937.8228735242049,2673.3648798983195,-3.1633684243579463,0.0422830735980588,0.2634805063722606,0.2753591995565614,0.24940638725305364,-1.7482660425591887,0.1740755214588654,21.015315438412298,1748.689987508798,0
936,-1.8880206331846936e-06,-7.683665268146718,1748.6929902088793,1937.8221865987184,2673.364725611551,-3.1524678105632233,0.04274650631506125,0.31309579034871343,0.3364878089551704,0.24878710336253063,-1.7387323189070394,0.17574304560189064,21.015332507919567,1748.6890931664705,0
937,2.884729580356073e-06,-7.691268273776926,1748.6934086359486,1937.8234583500864,2673.364531607378,-3.155790316561762,0.04260471647065255,0.20186058833801018,0.29776173494313585,0.1498173467880335,-1.7594330400345086,0.1721424340296935,21.015310740954774,1748.6899764409368,0
938,2.6826588938123694e-06,-7.691144978713373,1748.6938752015753,1937.8213594634847,2673.3641711238743,-3.1542838121545915,0.04266894903495415,0.44769195209829155,0.4276506257732211,0.3319633500963246,-1.7188128150946427,0.17927885877793612,21.015311161953118,1748.6893047351396,0
939,1.3603416527958663e-05,-7.697268794688462,1748.6934119337243,1937.8220079418043,2673.364799078475,-3.1323966851408844,0.043613144917126395,0.4230750800949464,0.319953402058194,0.19417113430677557,-1.7425139039552628,0.17507971334248243,21.01532883659014,1748.6892635382426,0
940,-8.053923750028434e-06,-7.671318344547867,1748.6934595645705,1937.8214289936857,2673.3647371374764,-3.16424184233985,0.04224615892456464,0.18247458282694354,0.3414985401581834,0.20627556669014924,-1.74939661780357,0.1738788271934361,21.015331191580085,1748.6890241806627,0
941,-1.1232384459859541e-05,-7.677907874841114,1748.6945120889611,1937.821249717226,2673.3648615336397,-3.1634442695026546,0.04227986675383637,0.31983152208804405,0.3559476437227347,0.24377804935610792,-1.7397957178080816,0.1755562599717504,21.01531845397741,1748.6895817596746,0
942,-1.3424128585948583e-05,-7.687862586631483,1748.6947977408001,1937.8209020682452,2673.365104882579,-3.1641697211466404,0.042249205877828426,0.225896617272652,0.32892618980382604,0.2596357831717995,-1.7440271819313815,0.17481496943430105,21.01532250206262,1748.6895706941016,0
943,-8.895619264419341e-07,-7.681160904815535,1748.693101305228,1937.822230005657,2673.364267996444,-3.1516889868332867,0.04277981127621487,0.26927071452262324,0.3554899765791435,0.20746551010493586,-1.7474003643436202,0.1742262800904728,21.01531919259559,1748.6892273665876,0
944,-1.969227956436861e-06,-7.681522747956009,1748.6926730503696,1937.8225602080197,2673.3653645344166,-3.166237564576358,0.04216193140111844,0.13617348549676542,0.3030694633512794,0.13278777290339017,-1.7554519072052683,0.1728291219159915,21.015350265620228,1748.6890112383114,0
945,-8.836403044738837e-06,-7.68177635315675,1748.694044483131,1937.821997231372,2673.3639872255553,-3.1562759736301707,0.042584030212571344,0.2702232585613437,0.3904156574134554,0.1341579942717499,-1.740611377949472,0.1754131241109638,21.015298798641954,1748.6897308706782,0
946,1.0684278925049933e-05,-7.692930546185743,1748.6934370594604,1937.8227104931968,2673.365001016046,-3.1615706489086697,0.042359157440033046,0.10643280160776131,0.3132741379847601,0.328752348804886,-1.7473021911927522,0.1742433852729744,21.015327712305076,1748.6895932721782,0
947,-1.3383175113478482e-05,-7.687303906353144,1748.6937213740296,1937.8217899147387,2673.364782056082,-3.1578136816771476,0.042518598726794844,0.17812457232007187,0.3933892570731743,0.10221721593694988,-1.748593537085586,0.17401852201242068,21.015325111605115,1748.6893541432596,0
948,1.4756724570692054e-05,-7.688823958543916,1748.693665003293,1937.8241543411175,2673.3648722376015,-3.1628230849263734,0.04230613851391235,0.1623956740981565,0.30286150480580676,0.29877580040294016,-1.747743161270871,0.17416656609248374,21.01530926857711,1748.6904334491421,0
949,-1.377178172765471e-06,-7.7009408290545505,1748.6923942344677,1937.822847203381,2673.3657527067135,-3.15971214618194,0.042437955249928744,0.251641804570642,0.36229284152309815,0.20272106463942507,-1.7458445207898516,0.17449755990500124,21.0153619809117,1748.6889363854136,0
