,value,err_upper,err_lower,units
PERIOD,5.139662153508122,6.504572144905296e-06,-6.684884209740005e-06,days
T0,1683.6264790408277,0.0006872011235827813,-0.0006949030803298228,days
ROR,0.0332156144237146,0.002006806624627995,-0.0023686591396141037,
IMPACT,0.9455986708633484,0.012025726204051623,-0.06356694067024604,
DUR14,0.0411352854906214,0.0023522937641267047,-0.003587176578356499,days
ECC,0.29021340529409567,0.3776448500877003,-0.20271146181960487,
OMEGA,89.62935308948278,99.77840477737163,-101.41519823849174,deg
R_PL,2.96121062255394,0.1827257571376597,-0.218974744019111,R_earth
