,15th,50th,85th
MEAN,6.037133515561451e-06,1.0260113412566752e-05,1.4714785550352265e-05
LN_SIGLC,-7.67448227925745,-7.668198330013336,-7.661902002926824
TTS,1792.77911499585,1792.7881217198074,1792.79520553083
TTS_1,1799.8673544213636,1799.870284633915,1799.8731673336954
TTS_2,1806.9206784728228,1806.9327287875115,1806.938473701811
TTS_3,1814.0092214716592,1814.013960368709,1814.0163706702742
TTS_4,1821.080468532827,1821.0836620490725,1821.091509579498
TTS_5,1835.2328947673202,1835.2373201930072,1835.2398944639324
TTS_6,1983.770909688598,1983.7749343753876,1983.7780369407142
TTS_7,1990.8361451847338,1990.8394393775282,1990.842205532138
TTS_8,1997.9108360778762,1997.9154321290712,1997.9203333246217
TTS_9,2004.9871109461012,2004.9906714718004,2004.9938882344275
TTS_10,2719.358185279526,2719.3606713398094,2719.364168330657
TTS_11,2726.4405795333746,2726.4426334362242,2726.4451900806816
TTS_12,2733.51205554371,2733.5152817714143,2733.517688171092
TTS_13,2740.589031965779,2740.5917563784874,2740.595682211131
TTS_14,2889.1235740892816,2889.1280102849073,2889.1311236958873
TTS_15,2903.263236986993,2903.26767690664,2903.2718953512635
TTS_16,2917.4149561608815,2917.4179807500886,2917.421926035031
TTS_17,2931.549467195421,2931.558316919844,2931.5629098247437
LN_ROR,-3.9158720134827965,-3.891293444711251,-3.85836558919942
ROR,0.01992316779764471,0.02041891820853764,0.02110246144380475
IMPACT,0.1209048104199124,0.4255373194382721,0.6818820554722562
LD_U1,0.15104096855607918,0.24348238676594436,0.3315195436948639
LD_U2,0.14974565130327688,0.24298735112617498,0.3386932914701952
LN_DUR14,-1.8152963687375794,-1.7961199064793203,-1.775338241589241
DUR14,0.1627896554755382,0.1659415092754161,0.1694261328430898
PERIOD,7.073075417377367,7.073092013996828,7.073109073267567
T0,1792.7920687419098,1792.793937409414,1792.7957084567254
ECC,0.1203575676767378,0.2890760539272107,0.6066703806889504
OMEGA,-11.93738863812246,92.05842350597545,192.35196268592355
