,MEAN,LN_SIGLC,TTS,TTS_1,TTS_2,TTS_3,TTS_4,TTS_5,LN_ROR,ROR,IMPACT,LD_U1,LD_U2,LN_DUR14,DUR14,PERIOD,T0,ECC,OMEGA
0,7.98646775908699e-06,-7.27268151180689,1699.3877397654153,1725.7090503768175,1883.5946893557862,1909.9063409888686,2436.2603074091394,2620.517777494029,-3.3141361485150163,0.03636544936001266,0.31234602176860204,0.24917687096045715,0.37795177816356595,-1.5270412707640433,0.2171772864460963,26.31776266204966,1699.3787758480219,0.030077549576787425,-46.32578543669497
1,-5.364861340827633e-06,-7.264564815622326,1699.3852331343944,1725.712649442663,1883.5959713908355,1909.906746663837,2436.260907527454,2620.5196218270416,-3.3415896231629576,0.0353806710619212,0.11925363884791171,0.23814707967158433,0.3238833244603363,-1.5311345861747976,0.21629012826046856,26.317788873990207,1699.3793014901664,0.023198128142357003,99.28288066439403
2,-1.3397905049987292e-05,-7.249245890365121,1699.3844209950669,1725.7118371611014,1883.5958669800893,1909.9127800675433,2436.261098670868,2620.5189095182195,-3.3503608150285857,0.03507169742211448,0.1076338340838738,0.306971619899294,0.35526449542815763,-1.5348492281285853,0.21548817827651606,26.317767938566487,1699.3802077076898,0.03073224204318015,27.42285621277152
3,-8.276839049204161e-06,-7.260196451197084,1699.3820678427214,1725.7090064013262,1883.5976812535373,1909.9080040050108,2436.25852683954,2620.519186530575,-3.325085652614772,0.03596943774508858,0.2848470022989946,0.18911483725906875,0.35483253267623227,-1.5321726550601351,0.2160657207035185,26.317811169280674,1699.37789841659,0.3695314418704099,-15.623506469126385
4,3.966551255145281e-06,-7.2743048049610675,1699.3859505516255,1725.7086504606355,1883.5962099433511,1909.9135911829937,2436.2578558449063,2620.5170199680733,-3.3201953722272703,0.03614576918472191,0.44491959422107125,0.30953747890746497,0.17927298073489295,-1.5312571237455628,0.21626362621735218,26.317696800713026,1699.380205115876,0.06978815381476558,-87.39703954699146
5,-9.70689901346387e-06,-7.265030233619622,1699.3864991465846,1725.7089777196773,1883.6011791590356,1909.9129805732916,2436.261474479067,2620.519413969677,-3.344971486257163,0.03526122057265551,0.02044305464348506,0.2398896847028129,0.19614354424286295,-1.5521402916145075,0.21179418705939929,26.317758908094778,1699.381261884641,0.08661984043974588,32.46259201201877
6,-1.1174914463817824e-05,-7.267897826947129,1699.3867133099695,1725.710696127336,1883.5990269829917,1909.9104137310846,2436.2610009884283,2620.5196008066614,-3.3501949687103036,0.03507751441635804,0.34078862161118695,0.32998220802736244,0.38047226110502197,-1.5282621838067467,0.21691229366398443,26.317758781102846,1699.3807513732245,0.5417384942798901,200.04396272249753
7,-7.29866105347817e-06,-7.2694685892595095,1699.3876701182562,1725.7093104198134,1883.5964724758571,1909.9098484588123,2436.258909258075,2620.51868321516,-3.3272540230393415,0.03589152718010303,0.3155746268887357,0.3081027274072963,0.23635699443092673,-1.540823674108981,0.21420459396656946,26.31773280611607,1699.3800003771341,0.40027971964456677,193.2496790854793
8,5.953046024972162e-06,-7.269685210741152,1699.3837237003172,1725.714147000803,1883.5949845676791,1909.9094869595015,2436.258749404907,2620.518878488577,-3.335120967072258,0.03561027827971238,0.3762925371298762,0.19059752886409354,0.5293549098063086,-1.5307074313609057,0.21638253736504415,26.317738394783465,1699.379772822315,0.15033430581897336,-21.397219660543563
9,-6.910984585122434e-06,-7.251934264896951,1699.387329392312,1725.7091981309688,1883.5986758653476,1909.907340384999,2436.2598222864517,2620.516275782818,-3.323424645224964,0.036029232893334345,0.4588357139496398,0.23934120181566043,0.33163309431522014,-1.5265619300264972,0.21728141332089237,26.317701595588293,1699.3800359652369,0.2378468972516756,-30.93583592522426
10,-1.1483097582361706e-05,-7.251624039416457,1699.385542468088,1725.7129903347436,1883.597992696522,1909.9090837297472,2436.2606803944077,2620.517419660823,-3.334557186381095,0.035630360327416864,0.19952937334429197,0.18762270194815645,0.3960760655991651,-1.529047195524755,0.2167420817895771,26.3177111060276,1699.3807553180247,0.00426358188654318,-52.82582030624292
11,1.8210072284918093e-06,-7.276726411672288,1699.381264395737,1725.711319570517,1883.5944475669546,1909.9128242436832,2436.2615424659557,2620.51898326357,-3.331490800029002,0.035739784460638954,0.15815200457414585,0.26885967464625127,0.3672400697394407,-1.5434056340850721,0.2136522396634611,26.317827575735752,1699.378667170549,0.6005202927045787,198.5212319891861
12,-7.976787804667408e-06,-7.268500127762212,1699.3833461985173,1725.711966878784,1883.596928201831,1909.9087594988976,2436.2618185952224,2620.5184816599462,-3.3386252762430093,0.035485707250144,0.2872100870024956,0.371920634057777,0.1666728983674841,-1.5297999217884224,0.2165789957194566,26.317793925297824,1699.3792634891113,0.35286675139436646,-11.73676726371163
