,idx,calculated,observed,ttv,ttverr1,ttverr2,significant
0,0,1688.7066679595396,1688.7195194590904,18.50615935320093,4.991290703092077,-3.7546170929888723,True
1,1,1694.9654348085464,1694.970991151965,8.001134522892244,4.160789868760953,-3.8505588756126556,True
2,2,1701.224201657553,1701.228137143047,5.667099111233256,3.89087751402228,-4.950512461896443,True
3,3,1707.48296850656,1707.4867527370807,5.449291949880717,3.892132384095547,-3.8149802786147045,True
4,4,1713.7417353555666,1713.7494456005238,11.102752738443087,6.520364641981619,-5.608455516091523,True
5,5,1720.0005022045734,1720.0038228946912,4.781793769616343,3.584240185274597,-3.3208382118862754,True
6,6,1726.25926905358,1726.2615210894317,3.2429316263005603,5.462754232989365,-4.8939742962079285,False
7,7,1732.518035902587,1732.5201598083859,3.0584243504927144,4.0909882000279065,-4.287601304782753,False
8,30,1876.4696734297422,1876.4582077667912,-16.51055464939418,3.2912938295727265,-3.4803215384365815,True
9,31,1882.7284402787488,1882.730973952825,3.648490669693274,15.412105923467166,-6.582467820002556,False
10,32,1888.9872071277557,1888.9709289732982,-23.440542418793484,12.91069152240088,-14.916285407714396,True
11,33,1895.2459739767623,1895.234159337002,-17.01308125491778,4.120445292515113,-5.570179451837408,True
12,34,1901.5047408257692,1901.490619638991,-20.33450896076829,4.062948689217319,-5.148153331640703,True
13,35,1907.7635076747758,1907.753811013311,-13.96319250943634,4.2583770840121735,-4.954285832088685,True
14,37,1920.2810413727893,1920.2712011942062,-14.169857159649837,18.52082924265941,-5.182286322492394,False
15,117,2420.9823892933296,2420.992198495429,14.125251023142482,5.7677657043945825,-8.36169073349348,True
16,118,2427.2411561423364,2427.259348297592,26.196703568275552,4.739674127136021,-4.06645425496937,True
17,120,2439.7586898403497,2439.7754156169503,24.085118304938078,3.120461790150939,-3.5713168497544876,True
18,121,2446.0174566893565,2446.027966201301,15.133697199780727,3.741967102192861,-3.7126876003111864,True
19,148,2615.004161612539,2614.9928786860223,-16.247414184108493,4.987334446483422,-4.762522191049867,True
20,149,2621.262928461546,2621.255639723387,-10.495782948783017,9.900624836905001,-3.692599006093337,True
21,150,2627.5216953105523,2627.51633419569,-7.720005401788512,4.1495289622197955,-4.801173546211478,True
22,151,2633.780462159559,2633.7729813411897,-10.772378452020348,12.831170290730482,-4.5015016891918425,False
