,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
0,8.16770441698818e-06,-7.250871525987135,1686.0656607666258,1698.5881918429416,1723.6222316606395,1736.1409091172725,1873.8424883786479,1886.3588197339543,1911.3938835193774,1923.908641075134,2424.6430742202474,2437.1641818892213,2612.467707807191,-3.1022376317319216,0.04494851156529365,0.5728387905908147,0.2196579699725747,0.3078905796923561,-1.7437157561771255,0.1748694197961948,12.518598638293064,1686.062977846402,0
1,-4.883587623926842e-06,-7.251702306384562,1686.0682527045512,1698.5886621735715,1723.622527228722,1736.1398071189915,1873.8420115306806,1886.360398245349,1911.3937453564013,1923.9101811923292,2424.644222890444,2437.1645680630877,2612.4655101263925,-3.096544510208456,0.04520513871556842,0.5532687757568154,0.2367353335651885,0.25595736856083406,-1.7583245201941196,0.17233336313798922,12.518580503511858,1686.0637937441668,0
2,4.1648260305216945e-07,-7.260610326134431,1686.0682024888865,1698.5896158583948,1723.6223640771236,1736.1387889347995,1873.8419451055554,1886.3607513139523,1911.3923782991496,1923.9087590951362,2424.6450281163684,2437.163838910425,2612.4666509027397,-3.0712635292348325,0.04636253741138119,0.6939277240347884,0.2733483330495363,0.21872603791805934,-1.739452890895787,0.1756164557000588,12.51859107835593,1686.0633930022536,0
3,-1.7164052555508787e-05,-7.232839322234053,1686.0687491588305,1698.5875514643292,1723.6192095365109,1736.1412060237144,1873.841006266816,1886.3610739275723,1911.3956705447226,1923.9084007372412,2424.64277663357,2437.1651396869484,2612.468914860448,-3.1002599725699445,0.045037492358847464,0.6161381948554693,0.2725584867416144,0.2538054444590059,-1.7391255409258184,0.17567395315193932,12.518607920458203,1686.0631062034045,0
4,-2.2317057993893816e-05,-7.2389169390269394,1686.0691529779176,1698.589102559181,1723.6214219473088,1736.139153481895,1873.8418436122658,1886.3586350239018,1911.394540234988,1923.907773325551,2424.6431755915137,2437.164513728345,2612.467628102907,-3.079214332490192,0.04599537953219797,0.6954992951826671,0.22930940073350659,0.3450706061160065,-1.7371665503610967,0.17601843407590495,12.518593899886,1686.063198319676,0
5,1.825501115803921e-05,-7.2685650570272715,1686.0638810006396,1698.5877044748647,1723.6209736952994,1736.1413697735577,1873.844419676359,1886.361461966343,1911.3932140810375,1923.9074545093913,2424.6446356989422,2437.1634163883764,2612.4679697236393,-3.0878732543687546,0.04559882846409228,0.654555016426598,0.2490748204091111,0.16280409902353354,-1.7455011396036424,0.17455748937284904,12.518610132844131,1686.0627613866707,0
6,-8.774268042817325e-06,-7.256305734891866,1686.0650624037041,1698.5897209448567,1723.6223656371312,1736.1407919102223,1873.8410228098624,1886.3590618363644,1911.3949685210018,1923.9090623652087,2424.6423981003863,2437.1617637163417,2612.468059807497,-3.0858491067243565,0.04569122070153449,0.6033235652682768,0.24433962298785317,0.223544843506573,-1.7504239813952405,0.1737002821480589,12.518583148607709,1686.0632191888278,0
7,-1.8968113189093445e-06,-7.2494821455820935,1686.0670269920013,1698.5862175861962,1723.620801878691,1736.1415760790255,1873.8446106730232,1886.361424325086,1911.3944526450782,1923.909284550063,2424.6442549612775,2437.1641133452167,2612.4684859697263,-3.108336453473908,0.04467521285287984,0.49872079094683713,0.20896399179008074,0.23382279712384113,-1.7590506809395037,0.17220826684006588,12.518606666174287,1686.0633687095008,0
8,-1.672562715691219e-05,-7.237520688360322,1686.0679067407534,1698.5886849832718,1723.621992421023,1736.1413213913424,1873.845813255861,1886.361794639745,1911.3939725734017,1923.908898024547,2424.6440061832886,2437.1615108212754,2612.4683657102564,-3.0906692777369598,0.04547151114818366,0.6426715317732615,0.2559159861778546,0.2547075648260093,-1.7469070458781317,0.17431225033522593,12.518576533573482,1686.0642890194088,0
9,-1.0607545937837906e-05,-7.2468709780338205,1686.0678248600175,1698.5886079284974,1723.6207063647455,1736.1410312348119,1873.8435917014267,1886.3608797167055,1911.393593880302,1923.9076259201229,2424.6446357157047,2437.16245076952,2612.4691709308777,-3.097453032127425,0.04516408750698039,0.5939917189230981,0.16860386915215808,0.4448284063712733,-1.74637681227523,0.1744047010558244,12.518600312457938,1686.0633304519588,0
10,-2.6042310949606344e-06,-7.245759146162451,1686.0675999658895,1698.5877570619411,1723.6228117433222,1736.1407172201434,1873.843801226905,1886.360938712548,1911.3942542007176,1923.9081639692715,2424.6458667909737,2437.1658335110865,2612.468634265775,-3.0938011058975063,0.045329324956644136,0.6367836249523643,0.2023381212277262,0.28276533010200433,-1.7429796347034083,0.1749981923214989,12.518616100626524,1686.0635134181855,0
11,-1.3432111437981884e-05,-7.246884224661695,1686.066563243351,1698.5875739998764,1723.6232350418513,1736.1402385844533,1873.8433220923746,1886.3600735109285,1911.3950817427756,1923.9095494398885,2424.6458553523844,2437.1651124841756,2612.469253484013,-3.1204992328006926,0.044135129214636824,0.4160063965541563,0.23027670654340104,0.30689556023707976,-1.7623015429804527,0.17164935049444766,12.51862083602453,1686.0633503714064,0
12,8.294836515804388e-06,-7.259603107180919,1686.0673266554832,1698.586966746895,1723.6204469754643,1736.1416949040463,1873.842055977425,1886.3599078315117,1911.3926218935376,1923.9094447847926,2424.6412979850625,2437.164059380429,2612.4648118379782,-3.1056749848242458,0.044794272898314655,0.5149110863861267,0.30656483473863716,0.2500072430100335,-1.7501883311172308,0.17374121949109614,12.518570700088919,1686.0631924226097,0
13,-5.870567838217178e-06,-7.260690937473788,1686.0662916489462,1698.5880882086014,1723.6206974336098,1736.143315048516,1873.8435390874395,1886.3604129373855,1911.3961888637302,1923.9103249802045,2424.6435327222257,2437.1656490382134,2612.468406842377,-3.1238041014061775,0.0439895091717907,0.44636318898756877,0.23925785400068866,0.41659346590056434,-1.7507587559445108,0.17364214144695117,12.518602244852085,1686.0638584496394,0
14,2.413237028391235e-06,-7.257635788643967,1686.0687685165517,1698.5888631161604,1723.6207574170562,1736.1430272134144,1873.8440775526215,1886.3585001368042,1911.3935559699892,1923.907879053455,2424.642688914021,2437.165816765028,2612.467776389316,-3.0777361550352307,0.04606341914017321,0.708214959665038,0.31013158905624993,0.25169092896338796,-1.7242737007433944,0.1783025057334152,12.518590090912474,1686.0637251444512,0
15,4.332568853876824e-06,-7.2440435655871385,1686.065337474759,1698.5870410813338,1723.6195565550865,1736.141212941967,1873.8433553894972,1886.3591617009001,1911.3931098431115,1923.9073376078634,2424.6429563723786,2437.1682801475354,2612.468374224989,-3.0788082305125637,0.046014062140053005,0.6666578262242192,0.31436679822530245,0.23183575032812387,-1.7270045589528489,0.17781625112025834,12.518635135514952,1686.0620792623547,0
