,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
0,-1.4968102567902928e-05,-7.263552382397402,1699.3828582079987,1725.7150272778522,1883.5949434343192,1909.9094014095874,2436.2595704464916,2620.5180780303517,-3.3432386536829486,0.03532237533444953,0.15750492343443312,0.34738421263356156,0.230761306897584,-1.5335336162630102,0.21577186364975168,26.317734777779215,1699.3798052270072,0
1,-9.787039595147332e-06,-7.266524926750272,1699.3851401496977,1725.7111597543978,1883.5967394457255,1909.9114738700137,2436.2587559273347,2620.517194552061,-3.310420570730493,0.036500819348902945,0.1704023109083502,0.24651718464326144,0.27719407991533473,-1.5403461624952517,0.21430690357297125,26.317701397644026,1699.380342214226,0
2,8.298582607735257e-06,-7.271397155084569,1699.3857836710615,1725.7096729398486,1883.5957480250477,1909.9093638966956,2436.2630230944583,2620.5203047286263,-3.352028017080742,0.03501327453111412,0.14220778633667125,0.3679188520103911,0.21159381639781993,-1.5351495380237783,0.2154234747603219,26.317847157535777,1699.3789951517354,0
3,-8.858849655457049e-06,-7.280144768323098,1699.3839305514732,1725.710230769315,1883.5945549581393,1909.908949182639,2436.260696322384,2620.519983731726,-3.331905040674311,0.03572498265522716,0.0467491425944901,0.2817256755886324,0.3201416577683538,-1.5278714720072726,0.21699706041517655,26.31783385003981,1699.3782452270884,0
4,-1.3994710420891069e-05,-7.2754327336431555,1699.385011953386,1725.709798372745,1883.5942565610358,1909.9104784444082,2436.260370073981,2620.5176638543257,-3.3452084797261494,0.03525286488383225,0.03488180400998262,0.267551873613459,0.2869773604283219,-1.5359003141855456,0.2152618006489153,26.317768716551967,1699.3789751087124,0
5,-2.107375281550147e-05,-7.267690244994494,1699.3859343926174,1725.7114145790688,1883.5971148674018,1909.9113879005758,2436.260519270747,2620.5188257746117,-3.3381424585477757,0.03550284451428653,0.06559162911954927,0.301910964650852,0.27797098138879717,-1.5323309238421419,0.2160315269510425,26.317744195054615,1699.3805675626177,0
6,-2.4654727297420248e-05,-7.263221844305301,1699.38592663594,1725.7122900110367,1883.5968600967092,1909.91291488818,2436.2606617064407,2620.518230560383,-3.3430620078797193,0.03532861543494,0.05484875481641024,0.3405397281936815,0.25895341091632007,-1.533606940813767,0.21575604285481703,26.31771856782001,1699.3811861734846,0
7,1.5260518299368067e-05,-7.2710886754671895,1699.384940251067,1725.7081914572414,1883.597215461676,1909.9082868283374,2436.261116215523,2620.5181944075107,-3.3121293946676302,0.03643849913737402,0.4259336293668133,0.1654450983196607,0.3444516102507331,-1.5347523368270535,0.2155090582181,26.31780216878438,1699.378595547898,0
8,-2.7001467734261564e-05,-7.257138082735521,1699.3901782502223,1725.7118307807898,1883.5968748735881,1909.9112467581822,2436.260529973277,2620.5190902676713,-3.307145549075789,0.036620556286193755,0.5660809398733481,0.35862731139271387,0.1708702448047028,-1.5219954868290697,0.21827588542477203,26.317695435446346,1699.3819685839117,0
9,8.463416583942462e-06,-7.2763308521898775,1699.3803767855522,1725.708130253838,1883.5966495958091,1909.9097624121246,2436.2617758656343,2620.518841271439,-3.3127498812251535,0.036415896551508474,0.5128068160992597,0.20946031645365348,0.3371236744750745,-1.5255507435262012,0.21750123647518,26.317876606770852,1699.3772140415833,0
10,-8.486268676197162e-06,-7.255049387618097,1699.3855205275029,1725.7070568678048,1883.5982210118034,1909.9138979301727,2436.258055451186,2620.517531897436,-3.345799550792643,0.03523203409223397,0.12385575869405975,0.31965229999721356,0.25684511515251884,-1.5481355628013573,0.21264406597421023,26.31772007502311,1699.3800662931806,0
11,-1.6981628440252107e-05,-7.261088896432099,1699.3857505722845,1725.7086193192154,1883.5998972028888,1909.9084432609704,2436.2584358412446,2620.5160676752917,-3.3393892468806086,0.03545860756475048,0.1439279569583559,0.2661808242304722,0.3674519297165244,-1.5245409471801756,0.21772097935813636,26.317691890445396,1699.379925754451,0
12,-2.2560460706717917e-06,-7.26447874679592,1699.3856994504483,1725.7093041769187,1883.59762322599,1909.9077972481648,2436.260177991651,2620.516656530746,-3.3481827310198526,0.035148169776802754,0.09384191897450266,0.22197237221872124,0.33769703506570825,-1.541543686540315,0.21405041950648918,26.317736587845044,1699.3793446973605,0
13,-2.5083766684770558e-05,-7.283211066306589,1699.3862068071264,1725.710789450743,1883.5980300279168,1909.910300941849,2436.2606533674007,2620.5209905438696,-3.3065294133984757,0.03664312646987843,0.47853379880286434,0.27258863420269575,0.3446190787941865,-1.5324148882333402,0.2160133887568943,26.317793366638167,1699.3802158624153,0
14,-2.4881372659575735e-05,-7.281865690145151,1699.385896774937,1725.709347749904,1883.5970023263458,1909.9087544029705,2436.2617438810134,2620.5211709887476,-3.32786002517684,0.03586978342695967,0.4582562074245034,0.39692328019801737,0.3652374495867474,-1.5285464184891957,0.2168506484283476,26.31784514412904,1699.3790249562876,0
15,1.210454109939341e-05,-7.252944690197571,1699.3852146828144,1725.7126246492858,1883.5966816699838,1909.9124064866542,2436.26219350835,2620.5186410355573,-3.334845979356044,0.035620072015327055,0.3062116800568846,0.41065352047025705,0.08365213521856574,-1.522832727535678,0.21809321244951957,26.317756166797775,1699.380837475937,0
16,-8.009144776776339e-07,-7.268217618921782,1699.3859556564662,1725.7137428383692,1883.5953199098697,1909.909614590386,2436.261103280888,2620.5188957216305,-3.343959305612295,0.03529692936645988,0.13912924732549029,0.34484397885015383,0.18758825549103642,-1.535907654599866,0.21526022054391053,26.317745870171436,1699.3804513756777,0
17,1.819090687135934e-06,-7.282781586371212,1699.3865701337972,1725.7071291900843,1883.5988567473219,1909.9071758182479,2436.2618601051786,2620.5198421320306,-3.3253641075298614,0.0359594232727097,0.12351852154120467,0.36058607622897565,0.15923053510246454,-1.5331735416685524,0.2158495716055415,26.31783365356225,1699.3787625825403,0
18,-7.926132503982074e-07,-7.258511705679932,1699.3843783210311,1725.711238789778,1883.5971319461933,1909.9106095999618,2436.2604705847984,2620.5189100950242,-3.3665254661833885,0.03450933312446522,0.009432832200803477,0.34212966917204635,0.4144167540776562,-1.536557811257961,0.21512031316408645,26.317769740783735,1699.3798216358123,0
19,5.743729431721267e-06,-7.264380419242741,1699.3841180895668,1725.7093935631585,1883.5963447580423,1909.9063776829066,2436.2620885467295,2620.5187801961138,-3.2954813151352775,0.03705020792906495,0.6330794849377114,0.18499165644045235,0.34188232194479684,-1.517606273441117,0.21923605050658143,26.317837857926072,1699.3779853433932,0
20,-2.527219506214821e-06,-7.273177790315533,1699.3853506717223,1725.71394281435,1883.5966379982638,1909.9123778521905,2436.2613312417648,2620.520255162378,-3.342216710520059,0.03535849124548057,0.28318128655679414,0.3251092953471817,0.1881838415413033,-1.535719966765227,0.21530062606028164,26.317760821751737,1699.3811318037137,0
21,-4.694284162289778e-06,-7.257817932452556,1699.3860476239124,1725.7069068789347,1883.5973968837193,1909.9070012352627,2436.260260838219,2620.516657257165,-3.3063799670516336,0.036648603060484265,0.5882451838252782,0.2287644065658827,0.32116542036793927,-1.527062523524103,0.217172670878384,26.317765526835185,1699.3784656828725,0
22,-2.4700505849229523e-06,-7.257173338421832,1699.3862046217007,1725.707098476843,1883.5967006112862,1909.9065167368308,2436.261022606404,2620.517121017644,-3.3053489266076372,0.03668640873869813,0.561531912441097,0.24113788365110422,0.28931844197135903,-1.5267344344098168,0.21724393455739907,26.317787528074255,1699.378241558807,0
23,-6.740187002132901e-06,-7.258004071570456,1699.3855234411362,1725.7063044066522,1883.5947663338102,1909.9074727311815,2436.2623226783826,2620.517622531673,-3.305366316562919,0.03668577076923787,0.5491095195904829,0.3005446037215185,0.21632378294633425,-1.524740305081183,0.21767757928690357,26.31783910843038,1699.377453759473,0
24,8.9265188155573e-06,-7.2769902769910395,1699.386860095169,1725.7140645435534,1883.5992307693605,1909.9135776846574,2436.2603668229926,2620.519161765591,-3.3303921128861425,0.03577907288120358,0.3498970789313642,0.19623414194492228,0.32076775261831236,-1.5372355100945356,0.2149745757667417,26.31768535210868,1699.3826864774564,0
25,3.33213755200439e-06,-7.2574204311360475,1699.3854374159328,1725.709861247127,1883.5953598408744,1909.9042849373502,2436.261144662839,2620.5173678236947,-3.3195575169759945,0.036168832308093014,0.28992866866739103,0.36321657869271506,0.15519045691826894,-1.5350172921118954,0.21545196551803414,26.317790747395343,1699.3779978139312,0
26,-1.3050456417266984e-05,-7.276398354478356,1699.3853713574256,1725.710621582955,1883.599161083608,1909.9156371861436,2436.2604732039918,2620.519624363197,-3.308235950960311,0.03658064692518254,0.47676813673976715,0.17110962620403214,0.43099947946928174,-1.520637956935507,0.21857240268426453,26.31774349408616,1699.3815254574192,0
27,3.329290274866061e-06,-7.278202227673478,1699.3870517957469,1725.7135063948642,1883.5991879511569,1909.9074461440032,2436.262581934404,2620.516965153008,-3.3053204749694434,0.03668745254197508,0.3620846736631826,0.03532147926512086,0.2699524416774073,-1.5419509714381516,0.2139632577542861,26.31770484590734,1699.3813427577506,0
28,2.4442227418881975e-06,-7.2789281143326825,1699.3872268863213,1725.713556600557,1883.5988113127805,1909.907283992882,2436.262583595519,2620.5167378524907,-3.305106996441782,0.03669528536136702,0.377291678462758,0.05168960532142153,0.28314138323339066,-1.5395396008507198,0.21447982502808383,26.3177005110767,1699.3813099775823,0
29,8.479344561292109e-06,-7.273939309563672,1699.3844854208705,1725.7117831806888,1883.5972006941315,1909.9089918060943,2436.258177030023,2620.51772302049,-3.339142845656849,0.03546734568554487,0.1470915958974707,0.3134046883232515,0.2533061557309344,-1.530734875894431,0.21637659892873232,26.317714295712683,1699.3798219651665,0
30,-3.441465569904458e-05,-7.281013015297204,1699.386424386171,1725.708744769296,1883.5961761219673,1909.9074286485115,2436.262358026109,2620.520437063032,-3.350661579998348,0.03506115067022606,0.2728678059460753,0.3961026030272534,0.1345059187481783,-1.5273653958243665,0.21710690525179674,26.317850149345563,1699.3785678694644,0
31,2.5487903037607638e-05,-7.2708077679723075,1699.3864776780242,1725.7099922604077,1883.597071166875,1909.9106831350116,2436.2568503437055,2620.5179483571205,-3.3113712503644925,0.03646613525266786,0.39284918340046976,0.1611317830235255,0.38858247889804853,-1.5366865865759134,0.21509261276096311,26.31768923094337,1699.38026228277,0
32,-2.9089412412838593e-05,-7.261234237058344,1699.3847142763154,1725.7099305292322,1883.5977944603637,1909.9075567509526,2436.2650989136605,2620.519575535845,-3.308909891156463,0.03655600206233307,0.5566067999398575,0.34773706087078793,0.17855975222928744,-1.518626406060717,0.2190125146975382,26.317867967944494,1699.378850166459,0
33,-2.890121113243615e-05,-7.264425265636482,1699.3865899038087,1725.7104146164593,1883.5994608995725,1909.906785648877,2436.2647591244277,2620.5201038780738,-3.310953793771004,0.03648136145918716,0.5168419513691883,0.27824483562113556,0.30413021906758986,-1.5195670011576201,0.21880660945196623,26.317839909542855,1699.3797935362227,0
34,1.4040706515254569e-05,-7.273740549030003,1699.3868094934583,1725.708712357569,1883.5973978260206,1909.90930174729,2436.2580041018173,2620.5194477467116,-3.3070848123680645,0.036622780565764644,0.3422474800722646,0.26097046171750216,0.22166300347320544,-1.5387087761094718,0.21465809421818807,26.317750345400388,1699.3795659977063,0
35,-2.115588433383932e-05,-7.261778826631567,1699.3847621837865,1725.712693829162,1883.5963439070886,1909.910651732342,2436.263214270176,2620.517193160223,-3.343490397981036,0.0353134842470514,0.3461818313931583,0.3105293462948191,0.30207940133329436,-1.5254808698252944,0.21751643462249354,26.317755977177484,1699.380356147627,0
36,9.023307558528153e-06,-7.26994194982773,1699.3859198315436,1725.7084861444077,1883.5977649319482,1909.90913965115,2436.2579675492657,2620.518964946423,-3.295534752411822,0.03704822811975609,0.585194891562661,0.23282284597741532,0.3098663553829686,-1.5235346409019017,0.21794018362139142,26.317752152218663,1699.3793038382441,0
37,-1.2709305294446072e-05,-7.270643241351587,1699.386151372205,1725.7110352775544,1883.5984626452264,1909.91052153683,2436.2619695512235,2620.5182163941868,-3.347071277551761,0.03518725704981703,0.16905970714377877,0.30303249296439705,0.1840631649274489,-1.5397899975971787,0.21442612670093947,26.317749856628712,1699.3806863505934,0
38,1.621342173458783e-08,-7.262784527877209,1699.3847653355663,1725.7086666181349,1883.5953807214237,1909.909328379357,2436.259635322466,2620.519168610408,-3.2796424726444102,0.03764171234354577,0.6168205532980829,0.300836685464813,0.2867961518483213,-1.5159134994656092,0.2196074818733536,26.31780379260838,1699.3784075618826,0
39,8.602503955045795e-06,-7.262080059440043,1699.3852684969927,1725.71144191124,1883.5987114002708,1909.9075889004935,2436.263381890557,2620.5191133428,-3.3386664431685587,0.035484246442744255,0.15643732252224865,0.1965809487258483,0.3867471750589886,-1.542167459926686,0.21391694218558763,26.317806031654314,1699.3798049069435,0
40,-2.020836324606238e-05,-7.270515363575087,1699.3855843984588,1725.708733369601,1883.5952350167636,1909.9117063338078,2436.2573223529653,2620.5178632276456,-3.2948532549716765,0.03707348499765293,0.6463996033449605,0.32961280846721586,0.1364433946279624,-1.511101938372818,0.2206666828504534,26.3177245616143,1699.3793673886191,0
41,-1.6119852586685248e-05,-7.271732377413157,1699.386276073524,1725.7088962571456,1883.5948684370212,1909.9116564782717,2436.2572848933914,2620.5178231883306,-3.292629409119999,0.03715602245474729,0.686417672658618,0.33961110188633836,0.09451395965301312,-1.5109995259065465,0.2206892830269182,26.31771532609002,1699.3795490944287,0
