,15th,50th,85th
MEAN,-3.725611482169405e-06,2.416057604231942e-06,8.794975663941075e-06
LN_SIGLC,-7.246096447816433,-7.240387307857114,-7.234465308584276
TTS,1688.7172265740664,1688.7195194590904,1688.722750751586
TTS_1,1694.9686227770594,1694.970991151965,1694.9735941765223
TTS_2,1701.224931245217,1701.228137143047,1701.2305304008635
TTS_3,1707.4844122936975,1707.4867527370807,1707.4891469787103
TTS_4,1713.745753976306,1713.7494456005238,1713.7537964571125
TTS_5,1720.0018793930274,1720.0038228946912,1720.0059728450406
TTS_6,1726.2583573315355,1726.2615210894317,1726.2651013313825
TTS_7,1732.5174534382124,1732.5201598083859,1732.522708918998
TTS_8,1876.456134053953,1876.4582077667912,1876.4601185128126
TTS_9,1882.7265745875031,1882.730973952825,1882.741603059797
TTS_10,1888.9606450974047,1888.9709289732982,1888.9798065689665
TTS_11,1895.2304957669214,1895.234159337002,1895.236731226323
TTS_12,1901.487266981207,1901.490619638991,1901.4931470301817
TTS_13,1907.7506023056505,1907.753811013311,1907.7564890643664
TTS_14,1920.2678232716348,1920.2712011942062,1920.2840015801428
TTS_15,2420.9865260147194,2420.992198495429,2420.996002448661
TTS_16,2427.2568118652316,2427.259348297592,2427.2623913992975
TTS_17,2439.773268588688,2439.7754156169503,2439.7771827396114
TTS_18,2446.0257064827015,2446.027966201301,2446.0302420636162
TTS_19,2614.9898131994423,2614.9928786860223,2614.996107031234
TTS_20,2621.25339593478,2621.255639723387,2621.262399788462
TTS_21,2627.5132397696157,2627.51633419569,2627.518928536988
TTS_22,2633.7701123567517,2633.7729813411897,2633.7818031619167
LN_ROR,-3.64959653967173,-3.6297781302994157,-3.6062639033217265
ROR,0.0260016172838101,0.026522068199482912,0.02715310421803505
IMPACT,0.08505919295409088,0.2829226592325287,0.555538900762624
LD_U1,0.22104676786534871,0.3013797977689394,0.384552431070227
LD_U2,0.15277820027825828,0.24949444813759547,0.34444001981376454
LN_DUR14,-1.9411659940797485,-1.9287161775742154,-1.914337782251161
DUR14,0.14353648947086126,0.1453346626637364,0.1474394372770594
PERIOD,6.258753034689071,6.2587668490067525,6.258782297992474
T0,1688.705426637142,1688.7066679595396,1688.7079221018853
ECC,0.11029074526380757,0.27486239063035267,0.5995299144906716
OMEGA,-55.627797573478674,-18.344593669812944,234.7687837582703
