,idx,calculated,observed,ttv,ttverr1,ttverr2,significant
0,0,1690.0625625175053,1690.0558919829905,-9.605569701307104,6.329145863411055,-7.308976388515106,True
1,1,1699.0159624004543,1699.0255249054137,13.770007141501992,7.423361255170783,-10.827481727659036,True
2,2,1707.9693622834036,1707.9664115155172,-4.249105756462086,17.53978934344706,-7.541173786639511,False
3,3,1716.9227621663526,1716.9157369430245,-10.116321592504391,6.05564580885216,-17.69717287918518,True
4,4,1725.8761620493017,1725.8885356533808,17.817989873947226,13.289421531778677,-13.134499998430249,True
5,5,1734.829561932251,1734.8405972435655,15.89084829298372,11.960571033775732,-8.332604261170394,True
6,21,1878.0839600594368,1878.0786437279862,-7.655517288803821,9.209752936137702,-8.221525036216477,False
7,22,1887.0373599423858,1887.0266718772268,-15.390813828962564,6.636758908999012,-7.189906933736444,True
8,23,1895.9907598253349,1896.0085681393334,25.64397215792269,10.89698869888396,-24.794206774399726,True
9,24,1904.9441597082841,1904.9270401700185,-24.652135102551256,8.002607996692095,-8.098488621117024,True
10,26,1922.8509594741822,1922.8510138215977,0.0782602782783215,5.956374072758469,-7.560410440691518,False
11,82,2424.2413529193327,2424.2378022850676,-5.112913341799867,10.223606971244298,-8.372408684627784,False
12,84,2442.148152685231,2442.1445210269344,-5.229587946814718,5.725571496676408,-8.403768275577747,False
13,103,2612.2627504612637,2612.2558837168567,-9.888111946129357,16.82548134059582,-15.349391149314192,False
14,104,2621.216150344213,2621.2270185834423,15.650264490104746,8.713262077021039,-9.884947254615977,True
15,105,2630.1695502271623,2630.169883840625,0.48040338639111724,7.357818848340442,-6.365489367705815,False
16,107,2648.0763499930604,2648.079049723303,3.887611549216672,6.9165602123757735,-6.65457411854087,False
