,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,TTS_0_14,TTS_0_15,TTS_0_16,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
0,1.3941194296407948e-05,-6.784344115085511,1690.0513588808471,1699.0159078173672,1707.961097718783,1716.914999592439,1725.8949038674334,1734.8406791970217,1878.0740660799972,1887.0297852170997,1896.0131970682623,1904.9265789288822,1922.8522597241736,2424.2398670824145,2442.143718782637,2612.2466323524936,2621.231586917314,2630.169546420274,2648.078962772551,-3.5313892483385807,0.02926423232767326,0.21665673192335672,0.33321344524167507,0.27138172303699104,-2.1261541063682556,0.11929520942693125,8.953403531447755,1690.061659994318,0
1,5.153860416839838e-05,-6.774911002835199,1690.0569404373598,1699.0198068518469,1707.9612857642728,1716.9098903316058,1725.896731482366,1734.8388240380752,1878.074857037773,1887.0255835111423,1896.015438412302,1904.9157170863107,1922.850201000985,2424.232964753138,2442.1445571902314,2612.248001915703,2621.229217809937,2630.1674944096685,2648.0818088196706,-3.4674541490409325,0.031196350909335833,0.833074729045457,0.2927983238463088,0.17740622031128694,-2.0606498390252592,0.12737117223674732,8.95339703600016,1690.0610025338979,0
2,3.714266291503169e-05,-6.779899957254424,1690.0589947591272,1699.0118705121097,1707.96577059088,1716.9128919208933,1725.8937942130428,1734.8412832838908,1878.0816898405897,1887.0284914230076,1896.006932501236,1904.9271808741407,1922.8531808169391,2424.2414833363155,2442.14534979203,2612.2419882341196,2621.2298643855233,2630.169800354392,2648.077031722583,-3.5049962769858554,0.030046885208943535,0.525977257217004,0.40391648857175744,0.3860295755338412,-2.065289878725543,0.1267815339712848,8.953382147365314,1690.0627047674855,0
3,5.593302060883085e-05,-6.775491239219729,1690.046422707732,1699.0273944489645,1707.9635845210792,1716.9097884567682,1725.8962298986887,1734.841376537105,1878.0751215205805,1887.026831094588,1896.0132015248907,1904.9317336870508,1922.8460645778277,2424.24715572323,2442.1436778372445,2612.2528494569256,2621.229414580234,2630.172238290098,2648.0773103204615,-3.4587993058514006,0.03146752221440178,0.7460959844748851,0.2749081954665753,0.521955505346702,-2.0284014313150744,0.13154563789810275,8.953416801861717,1690.061997944146,0
4,3.64773292311429e-05,-6.775283792237085,1690.0548576668614,1699.021526755619,1707.973823897464,1716.9074463557652,1725.8905823082282,1734.847476903542,1878.0856460984394,1887.0374001854468,1896.0014982038579,1904.9305547270542,1922.8441858865556,2424.2459107805907,2442.140004910149,2612.2602706207585,2621.2187710275334,2630.173048988413,2648.0882668004583,-3.5971063319483703,0.02740290273547489,0.43333010204936745,0.6499062836706859,0.3235984285636764,-1.9474942102808908,0.14263102753388576,8.953408471773253,1690.0635768427694,0
5,5.3914242535008427e-05,-6.779843474350916,1690.0559618510915,1699.0260970130319,1707.981212764268,1716.9169930285461,1725.8858072696405,1734.8462241923153,1878.0720385737272,1887.0215493230992,1896.0039569176217,1904.9290672886168,1922.849254069743,2424.243537319107,2442.1430444059915,2612.2722282978507,2621.2298451565875,2630.170969799875,2648.0653721195786,-3.5157734759384507,0.029724802640532032,0.368742283259623,0.4334119976261761,0.316065708241817,-2.060168154412131,0.12743253974927657,8.9533971937573,1690.0635746270866,0
6,4.8667326737493446e-05,-6.782282099506494,1690.0539528884462,1699.0266385714044,1707.9796818269044,1716.9179000352763,1725.8858234482777,1734.8427994436502,1878.0760219072483,1887.0225354298586,1896.0120061884008,1904.9293854017278,1922.8485595635425,2424.2433235695307,2442.144917421114,2612.274503240821,2621.232933661222,2630.173403107019,2648.0651837503815,-3.5389152622382274,0.02904481600920424,0.2465401881761242,0.39591557176430414,0.26958537877040367,-2.093014562240169,0.12331483469262448,8.953413793895479,1690.0638407662152,0
7,4.9520046866458915e-05,-6.782080219422711,1690.0529529892622,1699.028818500188,1707.975111742799,1716.914531561762,1725.8826730455557,1734.8460716693232,1878.0728962151452,1887.0191121098453,1896.0082982028364,1904.9275991730813,1922.8474589953657,2424.2435168515244,2442.144922067434,2612.275281270442,2621.227823974009,2630.1723409380434,2648.068248133394,-3.5325610568721717,0.02922996033453139,0.2988402676785337,0.36543246875254076,0.2769102287778209,-2.0558794540029073,0.12798023334204056,8.95342677729104,1690.0620049940956,0
8,5.260574930682142e-05,-6.778827990497555,1690.058873738073,1699.0236821359513,1707.977252189557,1716.9138599722532,1725.8960364930574,1734.8396517527958,1878.0819194639812,1887.031614473881,1896.0075882151352,1904.9318037120308,1922.8480866317402,2424.2294533873005,2442.145414647463,2612.242464617855,2621.2280776523116,2630.1698568804154,2648.0749503363477,-3.5692906800353943,0.028175832274206156,0.08679659312029998,0.3958601043577654,0.27714943724614116,-2.0552327100341805,0.1280630305574846,8.953323503849193,1690.0659386790662,0
9,5.099490738460894e-05,-6.778416201334651,1690.0584725634333,1699.0239166687336,1707.977280639936,1716.9130817578703,1725.8965162833163,1734.8387766884616,1878.0820188255475,1887.031384772514,1896.0084877941422,1904.9328126234238,1922.8480777789418,2424.2299762765892,2442.1452483475296,2612.2413674159675,2621.228337315325,2630.170191443446,2648.074620517714,-3.5711306187334206,0.02812403813368936,0.08223597603979683,0.39371563359902284,0.28728725167528024,-2.053779555797811,0.12824926117099275,8.953322867537056,1690.0659643856682,0
10,4.172912538745586e-05,-6.779269539745857,1690.057455691724,1699.0286263112919,1707.9778407271476,1716.9110549540467,1725.885401810452,1734.8388953281815,1878.072642167323,1887.0191280263002,1896.0086594244433,1904.925125655303,1922.847865863348,2424.2314459595273,2442.1432340689094,2612.2384690283843,2621.2273773638262,2630.1716202388266,2648.0809013800226,-3.574058039674,0.028041827626613697,0.055162013953097194,0.46200328846014216,0.23134497018265776,-2.0478205404792744,0.12901578206953684,8.953360676288094,1690.062323516281,0
11,6.16075081625251e-05,-6.781887745836433,1690.0553395674842,1699.0260841418633,1707.9747630863237,1716.9209168010987,1725.8723117769111,1734.8410846924385,1878.081195743773,1887.029563213341,1896.0098871257858,1904.934230987651,1922.8534585172874,2424.25177838799,2442.148053636882,2612.2429748163954,2621.2266979529363,2630.17035381319,2648.0839838783936,-3.5236585441406887,0.029491342179843054,0.1079391186074302,0.33886129881980476,0.2883953794078862,-2.072842354842902,0.12582762618097584,8.953395193429033,1690.0642188026209,0
12,6.707261016137841e-05,-6.77913028173566,1690.0594527829935,1699.0224791054688,1707.9643188786176,1716.9059414589383,1725.873118917151,1734.839603587787,1878.0823895202866,1887.0263390703747,1896.0101019944834,1904.9355830844195,1922.8526057942458,2424.246502824873,2442.1444474104765,2612.2554887387037,2621.229273537385,2630.1700957963367,2648.077640627255,-3.5412510482311,0.028977052705900848,0.10195874476744944,0.3300243354559218,0.42254658655734567,-2.066133042299416,0.12667468145340618,8.953433524884053,1690.0609987831072,0
