,15th,50th,85th
MEAN,-7.999207723022095e-06,8.91833590422911e-06,2.5475069756543067e-05
LN_SIGLC,-7.128397643507045,-7.114765786346007,-7.10127050201515
T0,1521.879910047944,1521.8835241670772,1521.8873383752673
LN_PER,3.2469703037278177,3.246975037223932,3.246979362425161
LN_ROR,-3.5677286977740597,-3.5360235827881166,-3.498191753811172
ROR,0.02821987681385668,0.02912892585754109,0.03025203712458689
IMPACT,0.08466799928378863,0.28295066996273144,0.5794604851365999
PERIOD,25.712321266573248,25.7124429760341,25.71255418776457
LD_U1,0.24620828229937852,0.3374276141311129,0.4346329599893197
LD_U2,0.13703126111011765,0.23767660187305872,0.3397847555234441
LN_DUR14,-1.5536689455829258,-1.5307328993832274,-1.49921447705868
DUR14,0.21147067436734152,0.21637702659992694,0.22330550287089115
ECC,0.038030370499079987,0.1896078278835977,0.5604231374615627
OMEGA,-46.13358795636795,82.05392472811542,226.3261110413617
