,MEAN,LN_SIGLC,T0_0,LN_PER_0,LN_ROR_0,ROR_0,IMPACT_0,PERIOD_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,QUALITY
1116,1.92663949883904e-06,-7.128577149504198,1517.9458677332814,-0.8061619247835937,-4.1679955443998,0.015483264556373862,0.5738757106577361,0.44656874570000626,0.26464928067019056,0.12839373188403824,-2.8763714952576662,0.056338818071101325,0
1117,-5.948025049599024e-06,-7.132521855684314,1517.944768364197,-0.8061606186644534,-4.1509808794780065,0.015748961073428863,0.10362657417239703,0.4465693289723734,0.35491008391405554,0.14765630282661735,-2.8788497260455297,0.056199370340804605,0
1118,-5.58729365942143e-06,-7.1313428386116415,1517.9453464461214,-0.8061609440931937,-4.201412050457621,0.014974417252071005,0.03832649197441981,0.44656918364590287,0.3687312065703363,0.2705217992127833,-2.8673536072163315,0.05684917292772878,0
1119,1.913924884410483e-06,-7.127463686519208,1517.9454795981926,-0.8061618597075199,-4.15787676957455,0.015640731567011335,0.10785793313829158,0.4465687747609479,0.22217116908571466,0.16067638631766323,-2.904516447777898,0.05477527090263128,0
1120,-2.77229450725662e-06,-7.124499610788554,1517.9446557076183,-0.8061605893799855,-4.153636188925872,0.015707198179537907,0.17786187696975464,0.44656934204991877,0.30311762917797136,0.18240052679874208,-2.8773562566202537,0.05628336508830982,0
1121,-3.3977663416786014e-06,-7.123798128227664,1517.9446696759985,-0.8061607484228184,-4.146348445927603,0.015822086332271754,0.221960012593999,0.4465692710262712,0.30619573758650653,0.18552493890334176,-2.875064753510358,0.05641248647897799,0
1122,3.624698924023527e-06,-7.129248053430516,1517.9458018739158,-0.8061618466089571,-4.2036503030683265,0.014940938204822085,0.24554854659960612,0.44656878061035704,0.41466194314381566,0.36164680954032224,-2.878613855697106,0.05621262766931196,0
1123,-4.211873816327684e-06,-7.129318492133907,1517.9442846155757,-0.806160108193565,-4.099322775014816,0.016583902632866278,0.8562425309192263,0.4465695569330737,0.19588399199334283,0.16568709914538182,-2.865468993199596,0.05695641269691337,0
1124,-1.5898651379385037e-06,-7.131500017530977,1517.944639047908,-0.8061608913663116,-4.183798952408218,0.015240499519233132,0.2948583922197184,0.4465692071921042,0.31154353986943795,0.36481078721330795,-2.8618031265570987,0.05716559048497881,0
1125,2.6712088668842674e-06,-7.125910139776317,1517.9457890344072,-0.8061615998933517,-4.161030353695752,0.015591484896869663,0.05704920506788779,0.4465688907858577,0.33215300818545024,0.16347526318717143,-2.8907327622718024,0.05553550337658896,0
