,value,err_upper,err_lower,units
PERIOD,1.4520526832246816,1.6416759966997319e-06,-1.7217684000758737e-06,days
T0,1739.4740294825576,0.0004654611568639666,-0.00046271973201328365,days
ROR,0.0179587639055517,0.0004981194687344315,-0.00046113125046779585,
IMPACT,0.25845935715552604,0.25295198673763686,-0.17274470216317095,
DUR14,0.0629454310143895,0.0008809690538003068,-0.0007635538978318368,days
ECC,0.15159815552676503,0.3416433346930653,-0.12329346960333432,
OMEGA,86.82407478676251,139.3808545843099,-132.43225625520972,deg
R_PL,1.2028332205216645,0.04920763898026714,-0.04662153770689148,R_earth
