,idx,calculated,observed,ttv,ttverr1,ttverr2,significant
0,0,1715.309026277722,1715.2958937987821,-18.910769673530012,29.056173277876223,-10.142348416626144,False
1,2,1732.8401578843655,1732.8429984929294,4.090476332057733,8.905594004684934,-8.426494123020776,False
2,3,1741.6057236876873,1741.610858294479,7.393833780006389,11.538282217540992,-23.376811837071514,False
3,5,1759.1368552943306,1759.140494571873,5.240559660960571,10.32777591709629,-8.720706345892435,False
4,22,1908.1514739507998,1908.150628789036,-1.2170329396758461,9.53481677232204,-17.363076534833343,False
5,23,1916.9170397541216,1916.9086937225484,-12.018285465383087,13.414811395585058,-9.396034042161926,False
6,24,1925.6826055574434,1925.689169861913,9.452598436109838,19.91493374238983,-8.702256509070901,True
7,25,1934.448171360765,1934.4517072013778,5.091610482450051,9.167811258783106,-14.827783334561174,False
8,27,1951.9793029674083,1951.9812572461285,2.814161357055127,8.91230656004094,-11.022316990856481,False
9,106,2644.459001429824,2644.4528339837925,-8.881122285602032,10.753823742002373,-10.849981075496062,False
10,108,2661.9901330364673,2661.995039883582,7.0658598453883315,19.41592740410576,-12.907026291014631,False
