,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
0,2.411227428649902e-05,-7.027399200472934,1715.2976647016792,1732.8431212236258,1741.6193657985625,1759.1380148433898,1908.1454271938287,1916.9089383549228,1925.6863370198882,1934.4131168363808,1951.9840979349199,2644.4548509190154,2661.98265800431,-3.775082562721967,0.022935196971465895,0.23821749585117766,0.32255675215928226,0.2973548557350236,-1.795047396295308,0.166119578707635,8.765517214657494,1715.3063776157894,0
1,9.056868004099486e-06,-7.033514514081256,1715.2931497825236,1732.841716785715,1741.6205185383603,1759.137898715789,1908.1427560035502,1916.9128030144836,1925.68851924902,1934.4094299222454,1951.978603940849,2644.4495805916185,2662.0167171550975,-3.7068811892731257,0.024553983203850962,0.7432110580696148,0.21355899345188978,0.18097313614275556,-1.8320401065722776,0.16008664059780392,8.76567617815711,1715.3030374759135,0
2,7.651706030699049e-06,-7.036300028235151,1715.2893602668216,1732.8431899392585,1741.6142086059708,1759.1446388954678,1908.13603060562,1916.9107598987866,1925.6898883234498,1934.400112560866,1951.975667264503,2644.4475753050306,2662.013782542777,-3.7311292774094023,0.0239657565620956,0.7533040321191047,0.2633791651391568,0.12616310810667697,-1.846691672861359,0.15775821973048054,8.76566584620009,1715.3009542972293,0
3,2.3425419787284276e-05,-7.026770619517464,1715.2953558047338,1732.844379187276,1741.613942257116,1759.1365035275505,1908.157237248286,1916.906936179787,1925.6833502221268,1934.412880605653,1951.9855072780842,2644.4570863661884,2661.9804921658542,-3.8142384834805187,0.022054502928792224,0.2737525768756081,0.2921999906377548,0.3796291714193565,-1.8088369992202047,0.16384457741124508,8.765527408401688,1715.3060649949157,0
4,1.8575723049622465e-05,-7.026822375730089,1715.2956106476875,1732.8416747682993,1741.6158620448875,1759.1372635252656,1908.1538689334773,1916.9016488300613,1925.686429152737,1934.4035027104162,1951.988830738235,2644.455307184129,2661.9856479996092,-3.792970858428773,0.022528573132625535,0.5171701073768972,0.2885870889919042,0.3748497250854417,-1.8150159860347705,0.16283530527853823,8.76555114772401,1715.3045909609114,0
5,1.4188431180602728e-05,-7.036701788162201,1715.2938903557615,1732.835422463197,1741.6167458323732,1759.139772477939,1908.149974310794,1916.905523887565,1925.6867520205344,1934.4084063737532,1951.9745141406586,2644.463097225607,2661.987345460121,-3.761067962725874,0.023258887481401782,0.5592600380360746,0.36299130648095534,0.31601332082677747,-1.8129498373841082,0.16317209503385682,8.76561029485958,1715.3023538928858,0
6,2.1731245082081063e-05,-7.027580983691975,1715.2986619996836,1732.8474692782338,1741.6061344534019,1759.1487461898569,1908.1461275764814,1916.9077556843756,1925.690174053259,1934.4099158710858,1951.9786269505328,2644.445967435089,2661.999764361239,-3.7194589392906603,0.024247083441370613,0.7776077490109197,0.15436195279742648,0.2832898052920074,-1.8437324717242851,0.15822574944975343,8.765557098880873,1715.3056495217584,0
7,9.044258167411367e-06,-7.039432172716762,1715.2991663145965,1732.8486569767588,1741.6041716574089,1759.1393494178537,1908.1402421944995,1916.9117962634368,1925.7068815353766,1934.4147178436094,1951.9782191021675,2644.4415723572743,2662.0082108568226,-3.7186861905262774,0.02426582758646456,0.7392190685643646,0.15466363341761658,0.2693400430948636,-1.9013654139388703,0.14936453550621348,8.765586413716235,1715.3059701625184,0
8,1.3130956149955182e-05,-7.025414171693311,1715.3006516060236,1732.8493276319552,1741.6009286169303,1759.1379449466556,1908.1495267367288,1916.910507769482,1925.6869517984883,1934.420743198208,1951.9776040438878,2644.4593101814617,2662.000477983339,-3.812465714486466,0.022093635143703834,0.22357266230617473,0.2233572889097868,0.22511150240351396,-1.9110166747889665,0.14792991350373091,8.765641454036372,1715.3043338973284,0
9,1.3891877159710007e-05,-7.042718979686449,1715.2995140614555,1732.850413416396,1741.6062836589697,1759.137605345904,1908.1400014617334,1916.912072768695,1925.7203468424832,1934.4221250614644,1951.9812710625267,2644.4409493831504,2662.0016383746556,-3.715075871511866,0.02435359330098325,0.4697677811737653,0.17357041446310495,0.25438187052630545,-1.9307730614841119,0.14503603336274126,8.765534207091191,1715.309356362816,0
10,9.839902866685093e-06,-7.030156719845896,1715.3021158134045,1732.8490807031758,1741.6070877021227,1759.1408264157951,1908.1480344830725,1916.9123098588293,1925.6989004470809,1934.424498501372,1951.9820052250664,2644.4550770883025,2662.0005839313753,-3.8009676283129092,0.022349135733486545,0.12673942103647762,0.24050836676370113,0.33575211713710695,-1.9280026618835568,0.14543839823001964,8.765593026670341,1715.3082659971212,0
11,-2.832443001968598e-06,-7.0273975355299285,1715.2988779821715,1732.8490335152346,1741.6099654096179,1759.1480829884292,1908.1409186778092,1916.9133400832914,1925.6968941112173,1934.4208159219443,1951.9837586835542,2644.4434940238557,2662.002823519018,-3.7302325917342514,0.023987255950355186,0.3481149932485287,0.3269817397501309,0.2775243228505655,-1.939966671560747,0.14370873928587646,8.765541613551182,1715.3087407491803,0
12,1.4587536753821699e-05,-7.035162907784026,1715.3060747870502,1732.8498489234576,1741.5999762054287,1759.1370028951906,1908.1443228272976,1916.9149205845072,1925.6943347770978,1934.433609529765,1951.9761987031366,2644.455223713883,2662.0062310520925,-3.7604460891735734,0.023273356066731397,0.19654832872653719,0.19438137613078266,0.22230041050067006,-1.9319182895665192,0.1448700290988892,8.765633755627215,1715.3067362097743,0
13,5.721011430324847e-06,-7.030590168550545,1715.3014101722028,1732.8486409943569,1741.61669423774,1759.1491520308775,1908.141512118789,1916.9146371038278,1925.6970807074804,1934.4365858775982,1951.983013881538,2644.4501497819665,2662.0055677659,-3.7927761568609233,0.022532959908178052,0.20901161967815302,0.34777665156984106,0.28595722120734246,-1.9015450353583383,0.14933770884572123,8.765561882215374,1715.3114177552702,0
14,1.4906578696914076e-05,-7.018947336430935,1715.298112864917,1732.8500286388876,1741.6094629901545,1759.14383815086,1908.1439791137648,1916.9125509079106,1925.695145647415,1934.432491401871,1951.9830415564302,2644.450376637862,2662.0047738704643,-3.719529391038284,0.02424537525214055,0.2632676868162171,0.23302527954211394,0.19527846250102399,-1.9435318591044624,0.14319730290368124,8.765588341388856,1715.3087112728526,0
15,1.3308593637747651e-05,-7.030979017858536,1715.302933364654,1732.8492446680975,1741.6139542260894,1759.1449359834971,1908.137187526334,1916.9134734322272,1925.6947347096138,1934.439801566939,1951.9746701023237,2644.447883684696,2662.002100121491,-3.808090357279738,0.022190514475741694,0.05471216225348629,0.30067237026313887,0.06501196597550551,-1.9110556739776514,0.1479241444696166,8.76554673896962,1715.309754040131,0
16,1.2317185257903716e-05,-7.031473246657823,1715.3030302534376,1732.8482860721272,1741.6111805967846,1759.1480318377473,1908.1420561303985,1916.9153765290946,1925.696542510901,1934.4374788936723,1951.9734253730571,2644.4477558551716,2662.001568140095,-3.811534486555266,0.02211421893646527,0.06628486106373124,0.3270666250284888,0.07309187730565636,-1.894861805899659,0.15033910958890337,8.765541244282872,1715.3102729922632,0
17,3.2822319072762405e-05,-7.027094744022486,1715.2997043657076,1732.8347957566127,1741.6139950910765,1759.1334485627774,1908.1587960815646,1916.9059468163105,1925.6887598243618,1934.4463460070583,1951.9883211682104,2644.4546814712176,2662.0041334362577,-3.7332059499300216,0.023916039175240253,0.5659580545736138,0.23036765756014366,0.2661972999796365,-1.8080797160762616,0.1639687011404172,8.765632647022414,1715.3077877598564,0
18,3.2397611753420336e-05,-7.029550983300305,1715.2924654671779,1732.8332775715955,1741.6108513233503,1759.1402535162604,1908.146228113773,1916.9063283930172,1925.6835595907912,1934.460994244576,1951.9728436947364,2644.4523742090682,2661.993888389297,-3.7612264790220835,0.023255200860906707,0.3532578260077507,0.21224302861737643,0.22843422984514072,-1.837352604891002,0.15923843562739837,8.765589563544852,1715.3058786446065,0
19,7.126186046041812e-06,-7.032686548233858,1715.2983311288049,1732.8583695780828,1741.6091507912702,1759.1418931700348,1908.1527555666996,1916.9030996985991,1925.688971369741,1934.4347184753897,1951.9890059369116,2644.4521315155557,2662.007388778198,-3.7206690391927313,0.024217759793922475,0.7219186995906133,0.3090402821770839,0.27004383520160546,-1.818489156210837,0.16227073155048483,8.765597761641548,1715.3095080220862,0
20,4.45956785443948e-06,-7.023736653672903,1715.2894727798039,1732.8368922059121,1741.612100873493,1759.1410077335172,1908.150193454225,1916.9127796496846,1925.6888610591668,1934.447652605922,1951.9760007903162,2644.4486395415947,2662.008850685327,-3.726120753460043,0.02408609072451701,0.7856919039335688,0.3292081101233928,0.34849338638676897,-1.8064101451695378,0.164242687169362,8.765638785658435,1715.306097302437,0
21,2.0739303030511585e-05,-7.0143605317867905,1715.2978450485396,1732.8457550867745,1741.6136531477532,1759.1334778934759,1908.153310652874,1916.904032034912,1925.687632371051,1934.4360812811142,1951.9770533140093,2644.4510308273484,2662.0157578735248,-3.662540716703072,0.025667216685959456,0.8950645037967047,0.30877252366606944,0.15376043340604184,-1.7720467299874676,0.16998471971731705,8.76566943111677,1715.3054250723721,0
22,1.4063791506083786e-05,-7.023731950211123,1715.2923589358384,1732.8395536736944,1741.6179413058944,1759.1440303893896,1908.1513875989706,1916.9096891795866,1925.6960376687505,1934.4501680972394,1951.9839741197068,2644.448898321702,2662.0140015568063,-3.685946173652652,0.025073439668447314,0.859239599126243,0.3599219780093468,0.17752485773128823,-1.8107575919673153,0.1635302006956717,8.765632880384246,1715.3095179195466,0
23,1.2641933407825028e-05,-7.037749075482,1715.2943699119128,1732.8306741900165,1741.6050639414186,1759.1368535732774,1908.153165753656,1916.9068769463013,1925.684130361461,1934.4535689972386,1951.983077334331,2644.4502323968736,2661.99716554703,-3.7311725928215633,0.023964718497954614,0.7166059530788224,0.5622882072031448,0.2825648147398172,-1.7854425998116616,0.16772281048543386,8.765608861397057,1715.3054656155941,0
