,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
0,2.1070063692715066e-05,-7.638965085638852,1875.9963870226036,1882.5465500212347,1889.0676682038156,1895.5778144107055,2580.949984391008,2587.4871535175225,2600.5325875110834,-3.8223822815488613,0.021875624872447205,0.8760416519312462,0.32017901946253113,0.21189154896537765,-2.01973168761842,0.13269106295934927,6.527290003733188,1876.0061834044411,0
1,1.369324039686235e-05,-7.630455387265994,1875.9989953069357,1882.552518040217,1889.0562244116009,1895.580543181983,2580.955451837602,2587.482196938387,2600.5412107003044,-3.959311288469647,0.019076247800309018,0.3062206465787764,0.28810727765244004,0.45065456373050905,-2.1215286978122254,0.11984827660408977,6.527318557082389,1876.0061060502155,0
2,1.516934544672613e-05,-7.634377828153421,1876.0013684258709,1882.5477933747443,1889.0565087759987,1895.5744860787802,2580.942438681861,2587.488402946445,2600.5440556198655,-3.818165643802337,0.021968061206320402,0.8475744098319776,0.33586523768683896,0.3251922372745295,-2.1203716802809076,0.11998702341198525,6.527325636719648,1876.0040416056006,0
3,3.7176052318823485e-06,-7.627415586205208,1875.9919550745321,1882.5494059100877,1889.057972963729,1895.575116213151,2580.9571016368423,2587.4813394170355,2600.540768839386,-3.9362546822779247,0.01952119106317649,0.6378688634363091,0.43519432923338597,0.27884375368873204,-2.0860566877174884,0.12417583573424289,6.527351799704177,1876.0025941362244,0
4,1.6647611808870074e-05,-7.63223561920519,1876.0094404499876,1882.5438033706582,1889.0679663940705,1895.5745921030584,2580.9477729587165,2587.4834669128277,2600.5299256581775,-3.9178308044826418,0.019884180672155218,0.3608469684874139,0.2633494332015547,0.26350451108324835,-2.071085525159991,0.12604887818371674,6.527245287913612,1876.0081488120502,0
5,1.88029897863103e-05,-7.6350293744658195,1876.0118258142481,1882.5419974375388,1889.067610780492,1895.5734797624827,2580.9472414615043,2587.4855354082233,2600.5286676222,-3.9164523891669543,0.019911608230273943,0.1849601089868664,0.28085018744401435,0.32120330537713504,-2.080081021229699,0.12492009060920087,6.527247877883653,1876.0079381533644,0
6,-1.7726783394641164e-07,-7.638234822540413,1876.0159405741872,1882.5474576069623,1889.0571457360286,1895.5775021569455,2580.954714869403,2587.4869591365573,2600.5357511648594,-3.9543133979288245,0.019171827448097152,0.6613447285174052,0.21801453666902537,0.08911619826569828,-2.174470750992257,0.11366829658725107,6.527289657249042,1876.0086751033946,0
7,3.235864325210352e-05,-7.6296577964436585,1875.9994360789633,1882.5544438910802,1889.0565912116108,1895.5757855090735,2580.9488773920875,2587.4755538126356,2600.530247777578,-3.958067887984842,0.01909998196855249,0.10982032566479064,0.3743371681836887,0.49623648999295766,-2.0675741615294063,0.12649225961139457,6.527247741867975,1876.0057414127325,0
8,1.714969582122272e-05,-7.642810030763989,1875.995517565136,1882.546926891113,1889.059054985741,1895.5771295964907,2580.9549344274697,2587.4937621360714,2600.5382742593306,-3.904897858841511,0.02014301181678039,0.6926195302596015,0.1778727520266823,0.13906853647581174,-2.0940851490887735,0.12318288609618352,6.527365796555701,1876.0036319731066,0
9,1.5559138175833264e-05,-7.6440703739802895,1875.9963426946329,1882.5494759303645,1889.0587388638046,1895.5775183676767,2580.95365260862,2587.4914027720656,2600.539837235636,-3.910367100903822,0.02003314552582576,0.7442273022952187,0.1951148578456301,0.16053407346963344,-2.082809344621009,0.12457973271827302,6.527351539430839,1876.0045077575573,0
10,2.3892947590925873e-05,-7.631513969357317,1876.0065381638062,1882.5473903593331,1889.0576693298858,1895.5765871379801,2580.9552322583354,2587.4822999844687,2600.5454011557963,-3.870149597650978,0.02085524929553333,0.7057022248795478,0.19868303152493372,0.3813410092518015,-2.0414613890017175,0.12983882713124445,6.527331029658227,1876.0060792119655,0
11,2.265124588410395e-05,-7.624030605826057,1876.003359309132,1882.5450734459132,1889.0652670718111,1895.5758612042475,2580.9516244450074,2587.481739426974,2600.5380381525174,-3.9837619796452484,0.01861547640140327,0.01743510177918547,0.39609453509745096,0.415249533656999,-2.0454568250524585,0.1293210993633616,6.527292280920013,1876.0064773183317,0
12,2.6866086645249904e-05,-7.615770495389564,1876.0027009578694,1882.547455894269,1889.06370826597,1895.5705861322583,2580.950901788067,2587.4801251251206,2600.5434361574544,-3.926330458343965,0.019715888245987745,0.08633286600520604,0.29378717232180773,0.4570484210870276,-2.0920685881257213,0.12343154252676293,6.527313659702671,1876.0051645686162,0
13,2.8914351012919375e-05,-7.64139371078944,1875.9995242770615,1882.5498743754724,1889.0545704711012,1895.5764943010956,2580.9547529189713,2587.4889954639066,2600.5472713931435,-3.9244683299900283,0.0197526359643792,0.033648035788639126,0.3434516144711859,0.3016843929473516,-2.093761578159688,0.1232227509462906,6.527374364034489,1876.0040636590334,0
14,1.1718974398482145e-05,-7.645297538962189,1876.0004973954856,1882.5483240070682,1889.0604196108084,1895.5765887617065,2580.9562911103953,2587.4875971283295,2600.5432306803564,-3.9270380242278082,0.01970194289030599,0.06512659447674458,0.2982232462422014,0.22696036700849587,-2.0988920861148688,0.12259217461392062,6.527349578592032,1876.0054556349157,0
15,2.640121330343611e-05,-7.642895414326789,1876.0000274840356,1882.5435100748687,1889.060817221071,1895.5694272780752,2580.9623364971903,2587.486370559915,2600.542395409984,-3.8578372055947607,0.021113614584758533,0.15523004843870963,0.14371546225140408,0.23511649699756565,-2.200527048382914,0.11074477512364451,6.527388978222044,1876.002423685568,0
16,3.046507004058318e-05,-7.648469490157707,1875.9981169565447,1882.547533994417,1889.0615715662807,1895.5675163401108,2580.959040751688,2587.4869153455456,2600.542242233131,-3.849574354813552,0.021288795983700197,0.2583330837462482,0.281809323017163,0.35671451920823727,-2.1767328217620134,0.11341146145523345,6.5273779046044815,1876.00267386426,0
17,3.284385469790075e-05,-7.645291428275587,1875.9983002989773,1882.5467638477307,1889.0582176372588,1895.5749246439268,2580.962149150417,2587.48741058585,2600.5432512806024,-3.9243884890196634,0.01975421309696092,0.3542656018475508,0.2998603163284095,0.2776561459481368,-2.133495134265823,0.11842266656571629,6.527384467956322,1876.0035150210508,0
18,1.4445075131233027e-05,-7.632260571491305,1876.0021633642907,1882.5523529981538,1889.0622397858526,1895.5727748771203,2580.9634656402177,2587.4840125731116,2600.527159614913,-3.8969825882526408,0.02030308186895477,0.4935551836872764,0.21304978755182646,0.3603330806021703,-2.1390765724928773,0.11776353891883842,6.527300208743035,1876.0065570190689,0
19,1.3569411898979805e-05,-7.632365929104628,1876.0022110328327,1882.5421670490618,1889.0591610948723,1895.579721382314,2580.9621021737253,2587.4869302910824,2600.5203780994025,-3.883017591755121,0.020588603349167487,0.5116201196786359,0.24740490231911094,0.29292990123550733,-2.158239805267928,0.11552829446853287,6.5272987611901465,1876.004983555112,0
20,1.0430834063843999e-05,-7.6349349416375025,1876.0027796905035,1882.5414491527436,1889.0577798593695,1895.5744169636314,2580.9594036745434,2587.491708289955,2600.5420883298098,-3.912068836811222,0.019999083393343314,0.6256516368640427,0.24936702572014902,0.3022177193151965,-2.2180570303223544,0.10882033816977546,6.5273895589163855,1876.003073326069,0
21,1.384646239252105e-05,-7.646655376728293,1876.0042213593151,1882.5473168023486,1889.0609313088348,1895.56639061336,2580.9601644564505,2587.4837937478082,2600.538672313489,-3.905683936152116,0.020127184073953745,0.06352170017089577,0.1716114757541627,0.2061363813222128,-2.2184283221809475,0.10877994156409315,6.5273502760960955,1876.0037854836448,0
