,MEAN,LN_SIGLC,T0,LN_PER,LN_ROR,ROR,IMPACT,PERIOD,LD_U1,LD_U2,LN_DUR14,DUR14,ECC,OMEGA
8038,1.928872139696506e-07,-6.3888621803804115,1877.5644819479369,2.3263558941133033,-2.405304057994733,0.0902380538363523,0.17824639326571254,10.240555785982249,0.3561592147725674,0.0799423538941908,-1.8929328131283834,0.150629392531377,0.12459570676746967,-8.470306824818445
8039,-1.573601909045153e-05,-6.433989492672583,1877.5639018788672,2.3263576780427475,-2.4122069379540245,0.08961729635505819,0.12877230587400135,10.240574054427535,0.3877900910052978,0.02128392942345192,-1.9017142218041845,0.14931244506673555,0.06452350865305262,166.02949909918337
8040,2.5298869941261844e-05,-6.377189801965948,1877.5644029316707,2.3263559864284895,-2.43531262241494,0.08757036630897154,0.024564210316696446,10.240556731341107,0.427987979273869,0.1714247083846625,-1.8802556371187737,0.15255110304737735,0.12075715182107458,-3.950714267441172
8041,-2.9088190054848893e-05,-6.390499795908153,1877.5647585288477,2.326356016549808,-2.4079167377261874,0.09000259842082084,0.19148433465076978,10.24055703980018,0.1746562024401439,0.3001215008676561,-1.888704183881556,0.15126769701142054,0.23114830348370122,-8.82623414318191
8042,0.0001015717147103161,-6.401039156615087,1877.5642134947063,2.326357167595894,-2.42189201274829,0.08875353568212763,0.027627023104398494,10.240568827160065,0.2965485619760577,0.2983352844165612,-1.8830761666308904,0.1521214343905381,0.04192063595640782,168.12580051389
8043,3.0783508188265855e-05,-6.412473378554802,1877.5645166615604,2.3263567034428054,-2.4055907332120654,0.09021218853030538,0.3155543368197459,10.24056407396952,0.35581133039850954,0.11410848264251827,-1.8865610179490797,0.15159223643303385,0.22593815021947222,-14.206326449357922
8044,3.7138848274369864e-05,-6.421006361865711,1877.565272130863,2.326355179448962,-2.4090425169071326,0.08990133238158227,0.2723534950925595,10.240548467424807,0.3640611340250952,0.15382098993476534,-1.883538002000867,0.15205119555224336,0.18261674786101953,-17.793867235441603
8045,3.8026711732960686e-05,-6.399234732251877,1877.5647901638563,2.326354141919438,-2.3973999122820584,0.09095413483887219,0.415239429871434,10.240537842558942,0.29815209069690196,0.23512652413770585,-1.8710515446758287,0.15396167908009778,0.8169707521475477,215.1231258243236
8046,2.197330412895049e-05,-6.412027450026522,1877.5653015152775,2.3263532670890363,-2.39684216506473,0.09100487840420882,0.28542756189887725,10.240528883829029,0.28474441794282646,0.16967966148474245,-1.8902307918406385,0.15103694671864182,0.06985747074461278,188.02798304859414
8047,-1.8106060760625636e-05,-6.401262714531221,1877.5649272721405,2.32635544769311,-2.4250549004152457,0.08847326168994828,0.21974830796114575,10.240551214392378,0.26381013030576117,0.3992727317057938,-1.8699886926684979,0.15412540455232074,0.6431313587389182,-23.7438807994341
8048,1.8725212939103526e-05,-6.395304840139534,1877.5641090202503,2.3263556483246264,-2.4060249238707083,0.09017302774298902,0.4292065081930658,10.2405532689699,0.3441388581028775,0.1433568943705692,-1.8649655462558727,0.15490154673122533,0.10691959371063528,-72.98808909772161
8049,3.826443668480943e-05,-6.404582774329409,1877.5646538603694,2.3263544757038397,-2.431249076439783,0.08792693649755422,0.19527413866099227,10.24054126069131,0.29277208424598467,0.3044666390143569,-1.8767573829018183,0.15308570011995568,0.11745074084161412,4.153493545790261
8050,9.1299424771914e-05,-6.398144676071903,1877.5649470971903,2.3263558047220565,-2.408044208348316,0.08999112646479118,0.2463184470888717,10.24055487056624,0.48337528469780233,-0.02168037850485538,-1.8805088959376473,0.15251247302710486,0.02359379168377694,214.28604163582207
8051,2.0772371882260595e-05,-6.428448631854421,1877.5642810505283,2.326356503115947,-2.4094217564328217,0.08986724470703636,0.065169829021062,10.240562022509696,0.351027967399802,0.1345791559703311,-1.886278006840378,0.15163514479142198,0.12477366662618279,182.3906634761238
8052,2.8491657345111424e-05,-6.403470204879273,1877.5646066231895,2.3263567387273367,-2.4279784190322737,0.08821498618287102,0.2617447721757615,10.240564435303028,0.33147232558828965,0.22057628194142898,-1.8716552834695972,0.15386875449559426,0.10595240881611286,201.78717687798624
8053,5.132614100138784e-05,-6.375375879053131,1877.5657773725418,2.326353898958567,-2.4191590220434325,0.08899643003298542,0.2023023622095354,10.24053535450925,0.4009653469777199,0.17154107028706878,-1.8820460455255963,0.15227821863018423,0.19357066420215718,190.58093786566394
8054,7.139593002745456e-05,-6.41155364904709,1877.5649666817205,2.3263553741283975,-2.411030107666687,0.08972282278484858,0.3117913706646268,10.240550461049198,0.2996794877119755,0.26571647349410576,-1.8794980878250263,0.15266671181189143,0.7245266626621751,-26.959259081911878
8055,4.4201078698877004e-05,-6.411366561091108,1877.5650372656053,2.3263548517217205,-2.4147498304196993,0.08938969870817641,0.3603605812476968,10.240545111318658,0.36577819318317184,0.18455700484349968,-1.8745249755555466,0.15342783150773598,0.08746388199804912,-44.88336633934481
8056,4.425733283893319e-05,-6.406517641323147,1877.564710313715,2.3263562082583182,-2.4204974657870646,0.08887739299796013,0.10051195919164488,10.240559003002305,0.2585460447616268,0.2865765722499898,-1.8872802200774248,0.1514832501702245,0.11136765343404113,186.54396376706964
8057,4.089861455412651e-05,-6.41915086132896,1877.5642391446188,2.3263561756237223,-2.4089233966998456,0.08991204208478931,0.061680516601763505,10.240558668805805,0.3024009376299168,0.112809196481368,-1.8958260984406972,0.15019420858160887,0.012753669700980175,-35.94336878806531
8058,7.528098847412366e-05,-6.399956270906965,1877.5654828819506,2.3263530990456207,-2.428186618353302,0.08819662179443616,0.12435186031283338,10.240527162975722,0.4780433455616,0.09154620372409106,-1.874677619890167,0.153404413405849,0.1973740838543995,189.88433711459047
8059,1.2292686158865137e-05,-6.3849327655489825,1877.5653075335292,2.326354000580393,-2.421916611911785,0.08875135244624562,0.2905880426971635,10.240536395171207,0.3699969304463011,0.18668887279244029,-1.8723925311545306,0.1537553569187456,0.09372893124225898,217.9031559548336
8060,-1.487050117954222e-05,-6.401362933491826,1877.5643970672152,2.3263551126510915,-2.4194879529524083,0.08896716117033976,0.06607153105504618,10.240547783378002,0.3288503544929715,0.24225429179494662,-1.8842172602498792,0.15194794859303648,0.17818068581374413,187.78878298433298
