,X,Y,YERR,TREND,MASK,OUTLIERS
0,1468.2765156441103,0.000368595123291,0.0005330875283107,1.7606933062669534e-08,False,True
1,1468.2779045547768,0.0011430978775024,0.0005332784494385,-1.6710243203672988e-07,False,True
2,1468.2792934649765,0.0001493692398071,0.0005330718122422,-3.5246739403966285e-07,False,True
3,1468.2806823756423,-0.0007055401802062,0.0005327307153493,-5.384861111811618e-07,False,True
4,1468.2820712858434,-0.0005217194557189,0.0005329845589585,-7.251561398685354e-07,False,True
5,1468.2834601965094,0.0009104013442993,0.000532986712642,-9.124766431635716e-07,False,True
6,1468.2848491067098,-0.0004937648773193,0.0005328906117938,-1.1004473595155068e-06,False,True
7,1468.2862380173756,7.200241088867188e-05,0.0005331366555765,-1.289067281600722e-06,False,True
8,1468.287626927576,0.0009988546371459,0.0005331792053766,-1.4783356150193522e-06,False,True
9,1468.289015838242,0.0009437799453735,0.0005331427091732,-1.668251561561863e-06,False,True
10,1468.2904047484424,-1.6093254089355469e-06,0.0005329492269083,-1.8588121057576024e-06,False,True
11,1468.2917936591084,0.0002353191375732,0.000533135025762,-2.0500126203294733e-06,False,True
12,1468.2931825693086,0.0004491806030273,0.0005330995190888,-2.241847809908318e-06,False,True
13,1468.2945714795096,0.0007659196853637,0.0005332569126039,-2.4343120717698445e-06,False,True
14,1468.2959603901754,-0.0002022981643676,0.0005330318235792,-2.6273987334750034e-06,False,True
15,1468.2973493003751,-4.732608795166016e-05,0.0005329714040271,-2.8210996509033795e-06,False,True
16,1468.2987382110418,-0.0002483129501342,0.0005327201797626,-3.015407036255542e-06,False,True
17,1468.300127121243,0.0003113746643066,0.0005330787971615,-3.2103131595698545e-06,False,True
18,1468.3015160314426,-0.0005819797515869,0.0005329069099389,-3.4058108404181903e-06,False,True
19,1468.3029049421084,-0.0001959204673767,0.0005328952684067,-3.6018927906706515e-06,False,True
20,1468.3042938523097,0.0006840229034423,0.0005331895663402,-3.7985524773753243e-06,False,True
21,1468.3056827625096,0.0002005100250244,0.0005331749562174,-3.99578389777367e-06,False,True
22,1468.3070716731756,0.0005048513412475,0.0005330668063834,-4.193579999814119e-06,False,True
23,1468.308460583376,0.0002583265304565,0.0005331934080459,-4.391932783939166e-06,False,True
24,1468.3098494935764,-0.0001656413078308,0.000532891601324,-4.590833503876197e-06,False,True
25,1468.3112384042429,-2.092123031616211e-05,0.0005328689585439,-4.790272915157507e-06,False,True
26,1468.3126273144433,0.0006628036499023,0.0005332140717655,-4.99024179967042e-06,False,True
27,1468.314016224643,0.0003579854965209,0.0005330551648512,-5.1907310277345175e-06,False,True
28,1468.3154051353094,0.0002946853637695,0.0005331952124834,-5.391730316726463e-06,False,True
29,1468.3167940455105,0.000655174255371,0.0005332554574124,-5.5932282694555555e-06,False,True
