,MEAN,LN_SIGLC,TTS,TTS_1,TTS_2,TTS_3,TTS_4,TTS_5,TTS_6,TTS_7,LN_ROR,ROR,IMPACT,LD_U1,LD_U2,LN_DUR14,DUR14,PERIOD,T0,ECC,OMEGA
0,-6.771581151313982e-06,-7.225137847745209,1933.1661732920907,1953.544722242301,1973.9309763707731,2646.493411213336,2687.2599595465877,2728.020438289723,2829.92278426533,2850.3032802256434,-3.098242594764096,0.04512844170511401,0.17707576850893542,0.3319434193811932,0.24351347752769836,-1.2909002753353034,0.2750230751126286,20.38083791667404,1933.1664560451195,0.27004250925608764,124.13886607231585
1,-7.621733889068568e-06,-7.225050603009494,1933.1639193258477,1953.547258293027,1973.9296844069622,2646.4965928372817,2687.2579532668246,2728.021423659802,2829.9240798327032,2850.3031044703516,-3.087598103620196,0.045611376742132455,0.15295094462445277,0.36394359937824317,0.196559189789973,-1.2954020717021821,0.2737877598873337,20.380860779202674,1933.166159739333,0.5582921745613015,-0.04272197122083733
2,2.2173039647263925e-06,-7.22985493483263,1933.1649658376416,1953.5466516403153,1973.9305192233478,2646.4946067448423,2687.258862395721,2728.0215924621248,2829.9215461416516,2850.3050834414635,-3.090367787811833,0.04548522241747603,0.017053639249935817,0.315804478663787,0.18387503981463782,-1.3038248633498615,0.2714913871407413,20.380845119086715,1933.166533589063,0.2427616348325205,49.818363651491026
3,6.644384268018491e-07,-7.206534611184275,1933.164608019765,1953.5460829464369,1973.9308571928893,2646.4924284111225,2687.2620432030176,2728.0160681196,2829.9218283801133,2850.298159185846,-3.0937787572992406,0.04533033801483742,0.2708913742182627,0.3186799114179666,0.3384346055153882,-1.2821214524269147,0.2774480827670042,20.380785441091753,1933.166578864646,0.2205822734688246,24.665422225319862
4,1.3803475566194785e-05,-7.230258879902966,1933.1640534017301,1953.5458283956032,1973.9309899702118,2646.495244837611,2687.259057734673,2728.0167060342797,2829.9232212471857,2850.302060342869,-3.0723831405126623,0.046310658439187094,0.4597218191554291,0.3325217068602804,0.24163694922082102,-1.2862212905149046,0.27631291913343575,20.380826661423043,1933.1661687119108,0.09368631838748215,50.64557768166831
5,-5.1138609754175016e-06,-7.218090950876154,1933.1663526069096,1953.5440366873752,1973.9285002059532,2646.4948786890654,2687.258937654713,2728.021317163663,2829.9205248866356,2850.29765291839,-3.0805243745668403,0.045935163101320474,0.15096278545167152,0.3075265009462629,0.17073060126525208,-1.2978043656701985,0.27313083058781557,20.380814619920972,1933.165854121094,0.18208742341557765,114.35900209666593
6,5.814409562651503e-07,-7.229547284791199,1933.1645639820385,1953.5441614612903,1973.9303579008483,2646.4940355047474,2687.2581976811307,2728.019516055397,2829.924845048211,2850.3008216952912,-3.0624915024835175,0.04677101981978219,0.35108993510944514,0.2565949097813829,0.13434712178360098,-1.2965600187837472,0.27347091163196385,20.380848858135106,1933.1655226409407,0.7772064470444915,-20.248596589814664
7,-5.84319122567198e-06,-7.21856557730724,1933.1656760626877,1953.5464297392696,1973.929084957265,2646.493316143279,2687.261194832575,2728.021280642496,2829.9239262231736,2850.302700963459,-3.0661089996127244,0.04660213145062608,0.3923987129997161,0.32533328028039654,0.10633113744579603,-1.2927559305412644,0.2745132003337413,20.380854993136147,1933.1662557446955,0.14369411346968597,36.510953040285514
8,1.257293759030612e-07,-7.2195006270845985,1933.1660202222654,1953.545347098909,1973.929403659463,2646.49281073348,2687.2588678809016,2728.0178378683695,2829.923644090527,2850.301522502131,-3.0866050142600407,0.045656695414098024,0.3821378616567082,0.37077763264633856,0.17694354565004922,-1.2824399047957051,0.2773597428346076,20.380821886413678,1933.166076389259,0.14489695896973043,139.8435332512715
9,1.3302386471220114e-05,-7.211264732323671,1933.165624913133,1953.546452726907,1973.9301266848245,2646.494884341183,2687.259187716538,2728.017525417316,2829.923126615682,2850.303470950799,-3.0849082794634595,0.04573422847582501,0.018073963783501307,0.2844731114695471,0.2564542172684545,-1.2971937593198033,0.2732976569348914,20.38082673314704,1933.166571567192,0.7493333439420576,193.99977950599265
