,15th,50th,85th
MEAN,-5.626997851257734e-06,2.0937133155594645e-06,1.0109476561835935e-05
LN_SIGLC,-7.23161981740384,-7.224647416609713,-7.217407933737328
TTS,1933.1638902393283,1933.1651088805988,1933.1664842512057
TTS_1,1953.543429325938,1953.5448581501746,1953.5463760278753
TTS_2,1973.929035764624,1973.930303003865,1973.931536792022
TTS_3,2646.493169372238,2646.494298802817,2646.4954689921333
TTS_4,2687.257585381357,2687.2588911028815,2687.260291227674
TTS_5,2728.0170290084475,2728.018535523795,2728.0199774012
TTS_6,2829.9216942065636,2829.923048942766,2829.9244313081217
TTS_7,2850.2997835781243,2850.301562015511,2850.3034053678043
LN_ROR,-3.089437325613158,-3.076093730971966,-3.061187962516839
ROR,0.045527564393282954,0.04613913697161605,0.046832027467714504
IMPACT,0.1458626243873459,0.38133372339713206,0.530125394981922
LD_U1,0.23336311250399655,0.29532238925454646,0.3574112630485311
LD_U2,0.1540801479441971,0.2391036293351514,0.33104715817936947
LN_DUR14,-1.2954275689170458,-1.287277965454216,-1.2764683316990086
DUR14,0.27378077915098786,0.27602110040644967,0.27902097195269293
PERIOD,20.38080428528794,20.380831225910754,20.380856604056692
T0,1933.1652365321097,1933.1660021284813,1933.1667976438805
ECC,0.09025964364704216,0.22341179516938295,0.5578014826404435
OMEGA,1.1858254604542213,93.65869534639052,180.3818773006669
