,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
2183,-1.9033495677732204e-06,-7.231737634969964,1933.1637218423275,1953.5442937539106,1973.931235547665,2646.494637158321,2687.2589654745047,2728.0175124071575,2829.923112265935,2850.300918625833,-3.0736793350179723,0.04625066970511369,0.2823648175167317,0.26759723101525945,0.15662052260255077,-1.2887313805824572,0.2756202185537046,20.380833388419344,1933.165652403316,0
2184,3.777818651103201e-06,-7.219070904485381,1933.166880135679,1953.5451824276151,1973.9292053108238,2646.4944337379816,2687.2592044362386,2728.019740747801,2829.9229074436835,2850.302055231721,-3.0811636573028895,0.04590580692901904,0.3192473041488831,0.35349716368302286,0.2921640541970518,-1.2840313411406994,0.2769186935032763,20.380831793094508,1933.1663444341698,0
2185,7.198139143914237e-06,-7.223837261477716,1933.1674844000227,1953.544499722854,1973.9295821972194,2646.49452187716,2687.260016647938,2728.019626850945,2829.922425784503,2850.3016009087028,-3.0827678597344663,0.045832223758850585,0.3566775297547617,0.29915116278944587,0.34897698433101443,-1.2873724494964012,0.27599502204502163,20.380826110075887,1933.1665072554931,0
2186,8.552087767560117e-06,-7.2251252354702995,1933.1675181105675,1953.5442490035161,1973.9301166684186,2646.4934155466362,2687.260606346987,2728.018922537589,2829.922592397236,2850.301553804039,-3.077469331900481,0.04607571156594433,0.3584481638553662,0.28036398670329654,0.32056550094974523,-1.287105101596607,0.27606881859875626,20.380819813526816,1933.1665690336304,0
2187,-4.371550806509608e-06,-7.230050558113021,1933.1634389574024,1953.5449494782029,1973.9307143679086,2646.495575527758,2687.2580756941293,2728.017491493234,2829.923269140333,2850.3017230945243,-3.066600871535989,0.04657921480709004,0.51177384678317,0.3087776332974337,0.1278641707743453,-1.2815779248421175,0.27759892444292955,20.380840381940462,1933.1655800274477,0
2188,-3.484691421804143e-06,-7.222714614839943,1933.1661318579127,1953.5443883321177,1973.9328254455231,2646.4926405213423,2687.2590109103708,2728.019867289532,2829.922614067044,2850.299561188239,-3.081792778243319,0.04587693570729001,0.23324550678793637,0.23812835626152729,0.20935417680194623,-1.2966083510415802,0.27345769448476287,20.380791357211365,1933.1670492622723,0
2189,1.4471017918862946e-05,-7.2188161075346615,1933.1669837695797,1953.5472928171012,1973.930551020615,2646.494075771899,2687.2564258815987,2728.019079988603,2829.9234338372,2850.3004407148637,-3.067690930861808,0.046528468362942464,0.4301975339476433,0.22743452696935607,0.16781322650570973,-1.2949738642781121,0.27390502294340074,20.380779860435332,1933.1674965166355,0
2190,1.51166618315821e-05,-7.2142658041565415,1933.1669619079307,1953.5466309546011,1973.9298393281247,2646.4945450157234,2687.2563377341085,2728.0194273362313,2829.9235497808277,2850.3001744943167,-3.068332722953243,0.04649861634034121,0.35851325128199796,0.21768177555126011,0.23693734509914122,-1.291370499149399,0.27489378311375556,20.38079299501967,1933.1670610703595,0
2191,-1.740926593226032e-05,-7.229321846904536,1933.16360401187,1953.544668867709,1973.9316655729626,2646.4934700593294,2687.2619986767345,2728.018094768411,2829.923094137926,2850.3030599818626,-3.0774741571014266,0.0460754892419137,0.36797287841714615,0.2983388631396935,0.2530522229126295,-1.2845499272447969,0.27677512454651115,20.3808529945479,1933.1658122729473,0
2192,-1.412617032072608e-05,-7.229296588076032,1933.1643359364423,1953.5450750118782,1973.932191645215,2646.493836957708,2687.261640609366,2728.017551804598,2829.9233342546386,2850.3021050375805,-3.078810743295705,0.046013946516838676,0.3870666433387965,0.2758829449348379,0.28260643812212183,-1.2826245711572997,0.277308528548969,20.3808314690852,1933.1664103791406,0
2193,-4.4808526395017175e-06,-7.221201799701414,1933.1662709599736,1953.5436451766977,1973.9297363358119,2646.49360504507,2687.2598512780855,2728.0204317212538,2829.922209605813,2850.30138446491,-3.081696079633704,0.04588137215768215,0.2525879193817044,0.3700621078093276,0.14105631265780016,-1.2946039200444357,0.2740063712726728,20.380839749907352,1933.1658331695528,0
2194,5.093327572722041e-07,-7.22923747198161,1933.166089085027,1953.5449051744533,1973.9292291577437,2646.492517480138,2687.2589389239492,2728.0196062823056,2829.921970181504,2850.3005258792364,-3.084569467245679,0.04574972641650095,0.1929457604919735,0.28060576838509066,0.2547204645037846,-1.2914059622424643,0.2748840347027974,20.3808165845376,1933.166001937903,0
2195,4.336223649370415e-06,-7.219953945646827,1933.163894693051,1953.5448174879082,1973.930802333574,2646.496266584821,2687.2573929483647,2728.0177191885446,2829.924463149858,2850.3011108869164,-3.065668205072599,0.04662267794378605,0.4984540870919816,0.37988512600212143,0.18103418063481858,-1.276211945131894,0.279092518352533,20.380840940831337,1933.1657195355342,0
2196,-8.74295773640673e-07,-7.229587007632746,1933.1656021977478,1953.5468296351069,1973.9296110257678,2646.492606833969,2687.2601174880783,2728.0192560352775,2829.9219900082103,2850.3004239744378,-3.085947384281886,0.045686730500610014,0.27199373805688176,0.22160611241532147,0.2998739996991082,-1.2959492227295986,0.273637997608246,20.380804528727953,1933.166639733353,0
2197,8.657032681150811e-07,-7.229953199357151,1933.1662348074137,1953.5457489511343,1973.9287586779276,2646.4940225915875,2687.2598261918433,2728.0194930580437,2829.921750718214,2850.30194647223,-3.054991139761278,0.04712313829073284,0.5494623891907201,0.29317039887254004,0.20065460723875095,-1.2800971345823022,0.27801029472776634,20.38082811501025,1933.1662092651643,1
2198,5.135296178337018e-06,-7.2190841957991205,1933.164010644154,1953.5441761296624,1973.931572858468,2646.49437297991,2687.2584305499663,2728.0181381842463,2829.9244635067453,2850.3014839078837,-3.091122635952683,0.04545090093728051,0.1797984998401481,0.3156859340575049,0.23034090164476284,-1.2939371542654263,0.27418913026621844,20.380841470546727,1933.165728780007,0
2199,6.031495990902777e-06,-7.219515825731951,1933.1636730562516,1953.5446070303888,1973.932818006816,2646.4939222745725,2687.2583438855654,2728.018523296054,2829.9243422933573,2850.30161334615,-3.08248855550632,0.045845026680603626,0.26608292003461015,0.2900122264887519,0.25399654963235596,-1.2891015291864452,0.27551821699360823,20.380830938359416,1933.166145337774,0
