,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,TTS_0_14,TTS_0_15,TTS_0_16,TTS_0_17,TTS_0_18,TTS_0_19,TTS_0_20,TTS_0_21,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
0,2.093022400175851e-05,-7.63744129370317,1687.644517888527,1703.5720918967556,1719.5012213550876,1735.4196924338594,1846.8921431733418,1862.7985634232878,1878.7304268689154,1894.6642163855145,1910.5755479911559,1926.5014433266551,2022.0404392383132,2404.2025505738734,2420.125574435756,2436.0467350853687,2595.182558238222,2643.0715868763778,2658.985039976027,2754.5273414581393,2834.1408444751182,2850.085375608111,2945.6005861818235,2961.521938130871,-3.8493534058733414,0.021293500240292272,0.38350882723929997,0.25032630777468,0.3235077530107786,-1.7153574447600246,0.1798994051194695,15.9233991940377,1687.6485668602438,0
1,1.785813101810576e-05,-7.635856420487797,1687.646605036644,1703.5736560453795,1719.4982562951593,1735.4197067305263,1846.8906365767477,1862.799166582854,1878.732472822,1894.6626369709893,1910.575062364015,1926.4924374693812,2022.040596445372,2404.2025837021183,2420.1230878565684,2436.0458520426887,2595.181097404689,2643.076418684937,2658.9855959086094,2754.520055647429,2834.1422284374707,2850.0819926968297,2945.60277501288,2961.5172003617836,-3.8485829404333245,0.021309912468039663,0.09216006385214692,0.20004976869761304,0.3653707030730926,-1.7158509764065824,0.1798106409756049,15.923389339666333,1687.64799691356,0
2,1.377855293244575e-05,-7.643618076679637,1687.653685152536,1703.5685046074814,1719.4961638927657,1735.41909729864,1846.8874389760776,1862.803067507078,1878.7350589296993,1894.6630235991124,1910.5772879176766,1926.502656461488,2022.0461316733024,2404.1988324774834,2420.1286840342527,2436.0485171931214,2595.1851573001827,2643.0764931213334,2658.9848915063426,2754.509475701435,2834.143474122553,2850.0799860701673,2945.5994650163793,2961.515402568415,-3.8326937552779072,0.02165121393341843,0.625386017081187,0.18669236119085686,0.3230536950949141,-1.7197819365792102,0.17910519994600982,15.9233400407106,1687.6503274094025,0
3,1.8703814645430673e-05,-7.627909909953002,1687.6364321449366,1703.575630562361,1719.502070689798,1735.4208495359906,1846.8887814793654,1862.8032156908964,1878.732908452392,1894.6659417720289,1910.5802352030757,1926.4868008880107,2022.043910750604,2404.2053064844845,2420.1231887163326,2436.048632557497,2595.192485539973,2643.0735935074367,2658.9906023999893,2754.5308034275863,2834.1381810854773,2850.0801517086006,2945.6040664816087,2961.519505317572,-3.851587883116763,0.02124597351703796,0.19119490206096934,0.35714560349893065,0.16635251718856403,-1.7033821198182009,0.18206671014281567,15.923422069247414,1687.6483309890818,0
4,1.8654464042371472e-05,-7.639258248879439,1687.6497818389043,1703.5706630194782,1719.4998106811845,1735.4221659245748,1846.888848840782,1862.800885559414,1878.7320797699865,1894.6656969666224,1910.5765465106033,1926.4857198586224,2022.0468095543465,2404.201172521084,2420.128414253715,2436.0525311930674,2595.192598754599,2643.0749727543293,2658.9888792924953,2754.513385423432,2834.1420734598387,2850.0807449459217,2945.6001909168335,2961.515328383163,-3.832153305221376,0.021662918495793517,0.4036611292288686,0.18093453656635905,0.29482260622222745,-1.718423508251878,0.1793486668519202,15.92337619937195,1687.6493399599328,0
5,1.809700533811773e-05,-7.636306917343331,1687.6525442475406,1703.57086430328,1719.5013379611084,1735.4227378408843,1846.889669016114,1862.7991406526514,1878.730977013859,1894.6637605438727,1910.5749197875714,1926.4832686555746,2022.0473297905182,2404.2027601584327,2420.1290996439034,2436.0516215785374,2595.1934367173044,2643.0779784645647,2658.9897309825515,2754.517901455187,2834.142703938162,2850.0778123575933,2945.5984908148585,2961.514094434489,-3.84241102083249,0.02144184224568819,0.34515309461215576,0.23285707410128875,0.3126636997552015,-1.7189324748936663,0.17925740758917363,15.923378734681421,1687.6493799406787,0
6,8.94575553045004e-06,-7.646615771240746,1687.6506235602503,1703.57275587342,1719.49646517828,1735.4216314352477,1846.8850778784317,1862.8081299508985,1878.7332434429354,1894.66572197991,1910.5816047758165,1926.4862100264304,2022.047624522442,2404.1946081276974,2420.126773651197,2436.0407680650364,2595.1771357096377,2643.0736236852727,2658.9837900627317,2754.51582126803,2834.141375026946,2850.0637478883064,2945.602303207347,2961.5182919524045,-3.8540292613183187,0.021194167325407933,0.24892765360501645,0.29423747427615154,0.16044322177791193,-1.73986105003876,0.17554479086433217,15.923304366027748,1687.6500082942182,0
7,1.99495041248254e-05,-7.64104417000541,1687.6510011214416,1703.5723277807137,1719.4999253522021,1735.4243189688718,1846.880734948436,1862.8006751172754,1878.7291189519067,1894.6624722895597,1910.5810714212155,1926.4997311652653,2022.0481434517962,2404.200982308633,2420.1205562718133,2436.0461999983067,2595.189778320197,2643.07193293718,2658.9831200630806,2754.5171904369586,2834.142641195882,2850.066880739518,2945.603739087085,2961.5207663250985,-3.8202848776555114,0.02192155504344625,0.5110916971896704,0.24090609531181628,0.09846894618645718,-1.7374323114852588,0.17597166143444187,15.923339966332641,1687.6499124916352,0
8,1.509254769408297e-05,-7.640982757563548,1687.6433513757436,1703.570919360581,1719.4970655566474,1735.4210407952942,1846.8907359609557,1862.80576053592,1878.7356067272733,1894.6657167046126,1910.5800494525872,1926.490664012592,2022.046675043407,2404.197077128444,2420.127725122909,2436.0479075734115,2595.180920371669,2643.0773446452695,2658.9873398497684,2754.5201170003875,2834.1378895220723,2850.0675119324537,2945.603877946383,2961.518423213659,-3.7786848359902434,0.02285272675382349,0.7707799694914511,0.258483115894353,0.286255735602589,-1.6920669578905188,0.18413852379824266,15.923345519411248,1687.6497320462074,0
9,1.4915558512028894e-05,-7.62909530293715,1687.640191182878,1703.576062632198,1719.4989991250848,1735.42351134341,1846.8882256978486,1862.8046626506714,1878.7353925556345,1894.66487745369,1910.5790899406563,1926.4854337635945,2022.048051676479,2404.1971583107397,2420.1265446130647,2436.0345261321922,2595.1825348111975,2643.068547132959,2658.993626685679,2754.5154961979083,2834.144927821957,2850.068588227402,2945.6052634923244,2961.5254919420327,-3.7563626317106626,0.02336858612787391,0.8023130679020588,0.40912207482648233,0.09668191040593888,-1.7099760039688534,0.18087013273038763,15.923365617695609,1687.6487150467174,0
